trend_peak_season,coeficient_peak_season,intercept_peak_season,all_peak_season,00s_peak_season,10s_peak_season,test_peak_season,eff_peak_season,trend_season_length,coeficient_season_length,intercept_season_length,all_season_length,00s_season_length,10s_season_length,test_season_length,eff_season_length,trend_size,coeficient_size,intercept_size,all_size,00s_size,10s_size,test_size,eff_size,trend_total_ba,coeficient_total_ba,intercept_total_ba,all_total_ba,00s_total_ba,10s_total_ba,test_total_ba,eff_total_ba,trend_n_fires,coeficient_n_fires,intercept_n_fires,all_n_fires,00s_n_fires,10s_n_fires,test_n_fires,eff_n_fires,trend_mx_grw,coeficient_mx_grw,intercept_mx_grw,all_mx_grw,00s_mx_grw,10s_mx_grw,test_mx_grw,eff_mx_grw,trend_dur,coeficient_dur,intercept_dur,all_dur,00s_dur,10s_dur,test_dur,eff_dur,trend_fsr,coeficient_fsr,intercept_fsr,all_fsr,00s_fsr,10s_fsr,test_fsr,eff_fsr,trend_log_size,coeficient_log_size,intercept_log_size,all_log_size,00s_log_size,10s_log_size,test_log_size,eff_log_size,trend_log_n_fires,coeficient_log_n_fires,intercept_log_n_fires,all_log_n_fires,00s_log_n_fires,10s_log_n_fires,test_log_n_fires,eff_log_n_fires,trend_log_mx_grw_km2,coeficient_log_mx_grw_km2,intercept_log_mx_grw_km2,all_log_mx_grw_km2,00s_log_mx_grw_km2,10s_log_mx_grw_km2,test_log_mx_grw_km2,eff_log_mx_grw_km2,trend_log_tba,coeficient_log_tba,intercept_log_tba,all_log_tba,00s_log_tba,10s_log_tba,test_log_tba,eff_log_tba,trend_log_dur,coeficient_log_dur,intercept_log_dur,all_log_dur,00s_log_dur,10s_log_dur,test_log_dur,eff_log_dur,trend_log_fsr_km2_dy,coeficient_log_fsr_km2_dy,intercept_log_fsr_km2_dy,all_log_fsr_km2_dy,00s_log_fsr_km2_dy,10s_log_fsr_km2_dy,test_log_fsr_km2_dy,eff_log_fsr_km2_dy,aoi,fire_rotation,koppen
ns,NA,NA,180.2,184.8,162.5,ns,0.2185,ns,NA,NA,97.66,91.08,118.1,ns,0.1145,-,-0.1486,301,3.096,3.527,2.105,ns,0.04652,-,-11.21,22620,3173,2519,654.6,-,0.718,-,-4.098,8287,1025,714,311,-,0.6559,ns,NA,NA,6.807,6.746,6.946,ns,0.02164,+,0.06119,-119.6,3.659,3.634,3.714,ns,0.01855,ns,NA,NA,2.667,2.618,2.779,ns,0.01941,-,-0.01631,33.51,0.7974,0.8327,0.7164,ns,0.04652,-,-0.09838,201.5,6.933,6.572,5.743,-,0.6559,ns,NA,NA,1.263,1.257,1.277,ns,0.02164,-,-3.464,6999,817.3,594.5,222.8,-,0.718,ns,NA,NA,1.285,1.284,1.289,ns,0.01855,ns,NA,NA,0.9064,0.9006,0.9195,ns,0.01941,afghanistan_Arid,4178.1366838077865,Arid
ns,NA,NA,198.3,198.5,197.4,ns,0.08537,ns,NA,NA,25.74,25.61,26.51,ns,0.1378,ns,NA,NA,15.89,18.81,8.434,ns,0.05584,ns,NA,NA,2256,1919,337.4,ns,0.01046,-,-0.2818,570,142,102,40,ns,0.1783,ns,NA,NA,37,42.58,22.77,ns,0.03573,ns,NA,NA,3.606,3.716,3.325,ns,0.04269,+,0.3517,-698.8,14.04,15.43,10.5,ns,0.03789,ns,NA,NA,1.729,1.791,1.57,ns,0.05584,-,-0.03887,79.71,4.963,4.635,3.714,ns,0.1783,+,0.03136,-60.77,2.497,2.55,2.361,ns,0.03573,ns,NA,NA,245.5,182.7,62.8,ns,0.1151,ns,NA,NA,1.381,1.398,1.338,ns,0.04269,+,0.01799,-34.51,1.966,2.006,1.864,ns,0.03789,afghanistan_Temperate,5876.379965707735,Temperate
ns,NA,NA,301.6,316.5,207.1,ns,0,ns,NA,NA,62.35,34.28,104.4,ns,0.05918,ns,NA,NA,1.694,2.159,0.7168,ns,0.1166,ns,NA,NA,310,267.7,42.29,ns,0.1823,ns,NA,NA,183,124,59,ns,0.129,ns,NA,NA,2.161,2.754,0.9132,-,0.3648,ns,NA,NA,2.29,2.395,2.068,ns,0.1051,ns,NA,NA,1.194,1.457,0.6404,-,0.3952,ns,NA,NA,0.5911,0.6694,0.4265,ns,0.1166,ns,NA,NA,5.215,4.828,4.094,ns,0.129,ns,NA,NA,0.8047,0.9307,0.54,-,0.3648,ns,NA,NA,108.2,83.01,25.17,ns,0.1394,ns,NA,NA,1.052,1.089,0.9741,ns,0.1051,ns,NA,NA,0.6461,0.7377,0.4534,-,0.3952,afghanistan_Boreal,42772.66192768265,Boreal
NA,NA,NA,285.2,285.2,NA,NA,NA,NA,NA,NA,33.14,33.14,NA,NA,NA,NA,NA,NA,0.6982,0.6982,NA,NA,NA,NA,NA,NA,11.87,11.87,0,NA,NA,NA,NA,NA,17,17,0,NA,NA,NA,NA,NA,1.275,1.275,NA,NA,NA,NA,NA,NA,1.941,1.941,NA,NA,NA,NA,NA,NA,0.9054,0.9054,NA,NA,NA,NA,NA,NA,0.4559,0.4559,NA,NA,NA,NA,NA,NA,2.89,2.89,0,NA,NA,NA,NA,NA,0.7462,0.7462,NA,NA,NA,NA,NA,NA,7.751,7.751,0,NA,NA,NA,NA,NA,0.9776,0.9776,NA,NA,NA,NA,NA,NA,0.6264,0.6264,NA,NA,NA,afghanistan_Polar,1117000.332112209,Polar
+,0.7459,-1273,220,217.6,227.1,ns,0.1977,+,0.4755,-939.7,21.52,20.82,22.01,ns,0.2602,ns,NA,NA,2.604,2.767,2.222,ns,0.05865,-,-3.098,6269,1560,1162,397.7,ns,0.4059,-,-1.488,3011,599,420,179,ns,0.375,ns,NA,NA,4.445,4.554,4.189,ns,0.005595,ns,NA,NA,3.721,3.733,3.693,ns,0.02258,ns,NA,NA,1.871,1.871,1.869,ns,0.04122,-,-0.01812,37.37,0.8625,0.8862,0.8067,ns,0.05865,-,-0.08819,180.2,6.397,6.043,5.193,ns,0.375,ns,NA,NA,1.234,1.227,1.25,ns,0.005595,-,-1.249,2528,516.6,372.2,144.4,ns,0.385,ns,NA,NA,1.347,1.346,1.349,ns,0.02258,ns,NA,NA,0.8804,0.8706,0.9035,ns,0.04122,albania_Temperate,375.0905666981336,Temperate
ns,NA,NA,225.8,221,232.7,ns,0.09129,ns,NA,NA,23.24,19.44,26.21,ns,0.07505,ns,NA,NA,3.133,3.773,2.534,ns,0.009491,ns,NA,NA,1147,667.7,478.8,ns,0.1564,ns,NA,NA,366,177,189,ns,0.1988,ns,NA,NA,7.096,7.942,6.303,ns,0.03779,ns,NA,NA,5.257,5.35,5.169,ns,0.01313,ns,NA,NA,2.562,2.795,2.345,ns,0.03176,ns,NA,NA,0.8468,0.8749,0.8205,ns,0.009491,ns,NA,NA,5.905,5.182,5.247,ns,0.1988,ns,NA,NA,1.55,1.585,1.517,ns,0.03779,ns,NA,NA,309.9,154.9,155.1,ns,0.1356,ns,NA,NA,1.496,1.501,1.492,ns,0.01313,ns,NA,NA,1.092,1.12,1.066,ns,0.03176,albania_Boreal,510.3037359604214,Boreal
ns,NA,NA,208.3,205.2,212.1,ns,0.3226,ns,NA,NA,30.87,32.52,28.23,ns,0.05203,-,-0.07715,157.8,3.64,3.774,3.487,ns,0.05317,-,-12.18,24740,5493,3038,2455,ns,0.1145,ns,NA,NA,1509,805,704,ns,0.05203,-,-0.06399,130.4,1.823,1.959,1.667,ns,0.05126,-,-0.02692,57.65,3.451,3.442,3.46,ns,0.01568,ns,NA,NA,0.7512,0.8038,0.6911,-,0.05565,-,-0.01499,31.07,0.9238,0.9596,0.8829,ns,0.05316,ns,NA,NA,7.32,6.692,6.558,ns,0.05203,-,-0.01221,25.23,0.7021,0.7341,0.6656,ns,0.05126,-,-2.018,4146,1394,772.5,621.6,ns,0.09366,-,-0.005355,12.08,1.285,1.287,1.282,ns,0.01568,ns,NA,NA,0.4513,0.4711,0.4286,-,0.05565,algeria_Arid,8732.174035807004,Arid
ns,NA,NA,221.8,224.2,218.9,ns,0.1769,ns,NA,NA,25.76,27.04,23.85,ns,0.09366,-,-0.03423,71.11,2.764,2.889,2.627,ns,0.01028,ns,NA,NA,14110,7679,6431,ns,0.1561,ns,NA,NA,5106,2658,2448,ns,0.07285,-,-0.01171,24.86,1.476,1.567,1.377,ns,0.006829,-,-0.01991,44.03,3.922,3.972,3.868,ns,0.01543,ns,NA,NA,0.5576,0.5717,0.5423,ns,5.314e-4,-,-0.007665,16.25,0.8888,0.9058,0.8703,ns,0.01028,ns,NA,NA,8.538,7.886,7.803,ns,0.07285,-,-0.004567,9.781,0.6605,0.6763,0.6433,ns,0.006829,ns,NA,NA,4538,2408,2130,ns,0.1353,-,-0.005946,13.34,1.375,1.382,1.368,ns,0.01543,ns,NA,NA,0.3887,0.3947,0.3823,ns,5.314e-4,algeria_Temperate,3399.0990868737344,Temperate
NA,NA,NA,200,200,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,31.61,31.61,NA,NA,NA,NA,NA,NA,31.61,31.61,0,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,8.372,8.372,NA,NA,NA,NA,NA,NA,19,19,NA,NA,NA,NA,NA,NA,1.661,1.661,NA,NA,NA,NA,NA,NA,3.485,3.485,NA,NA,NA,NA,NA,NA,0.6931,0.6931,0,NA,NA,NA,NA,NA,2.238,2.238,NA,NA,NA,NA,NA,NA,3.485,3.485,0,NA,NA,NA,NA,NA,2.996,2.996,NA,NA,NA,NA,NA,NA,0.9786,0.9786,NA,NA,NA,algeria_Boreal,1517360.2175065635,Boreal
+,0.4979,-785.8,224.9,222.7,227.8,ns,0.3018,ns,NA,NA,37.91,36.71,39.32,ns,0.1353,-,-0.1234,254,5.819,6.574,5.023,ns,0.004307,-,-1268,2610000,1178000,683300,494400,ns,0.4475,ns,NA,NA,202400,103900,98430,ns,0.2602,-,-0.04603,94.7,2.229,2.45,1.995,ns,0.00207,ns,NA,NA,2.305,2.284,2.327,+,0.01183,-,-0.01168,24.41,0.9185,0.9848,0.8485,ns,0.00171,-,-0.00423,9.349,0.8086,0.8195,0.7971,ns,0.004307,ns,NA,NA,12.22,11.55,11.5,ns,0.2602,-,-0.003976,8.673,0.6598,0.673,0.6459,ns,0.00207,ns,NA,NA,163600,85180,78460,ns,0.1977,ns,NA,NA,1.043,1.037,1.05,+,0.01183,-,-0.002338,5.179,0.482,0.4941,0.4693,ns,0.00171,angola_Arid,21.907156668301944,Arid
