name_lwr,kg,n_pix
afghanistan,Arid,151
afghanistan,Boreal,80
afghanistan,Polar,13
afghanistan,Temperate,8
albania,Boreal,2
albania,Temperate,10
algeria,Arid,832
algeria,Temperate,26
angola,Arid,90
angola,Equatorial,219
angola,Temperate,108
antarctica,Polar,24165
argentina,Arid,599
argentina,Boreal,5
argentina,Polar,44
argentina,Temperate,470
armenia,Arid,4
armenia,Boreal,9
australia,Arid,2236
australia,Equatorial,272
australia,Temperate,280
austria,Boreal,36
austria,Temperate,3
azerbaijan,Arid,26
azerbaijan,Boreal,9
azerbaijan,Temperate,2
bangladesh,Equatorial,18
bangladesh,Temperate,28
belarus,Boreal,113
belgium,Temperate,17
belize,Equatorial,6
benin,Arid,1
benin,Equatorial,38
bhutan,Polar,5
bhutan,Temperate,8
bolivia,Arid,78
bolivia,Equatorial,227
bolivia,Polar,8
bolivia,Temperate,53
bosnia_and_herzegovina,Boreal,11
bosnia_and_herzegovina,Temperate,11
botswana,Arid,206
brazil,Arid,198
brazil,Equatorial,2366
brazil,Temperate,271
brunei,Equatorial,2
bulgaria,Arid,1
bulgaria,Boreal,18
bulgaria,Temperate,30
burkina_faso,Arid,48
burkina_faso,Equatorial,39
burundi,Equatorial,10
cambodia,Equatorial,63
cameroon,Arid,8
cameroon,Equatorial,141
cameroon,Temperate,1
canada,Arid,50
canada,Boreal,4775
canada,Polar,1917
canada,Temperate,36
cape_verde,Arid,1
cayman_islands,Equatorial,1
central_african_republic,Arid,4
central_african_republic,Equatorial,199
chad,Arid,365
chad,Equatorial,66
chile,Arid,115
chile,Boreal,4
chile,Polar,89
chile,Temperate,95
china,Arid,1196
china,Boreal,938
china,Equatorial,9
china,Polar,729
china,Temperate,929
colombia,Arid,4
colombia,Equatorial,329
colombia,Polar,1
colombia,Temperate,41
comoros,Equatorial,1
conus_ak,Arid,1166
conus_ak,Boreal,2107
conus_ak,Equatorial,12
conus_ak,Polar,203
conus_ak,Temperate,968
costa_rica,Equatorial,14
costa_rica,Temperate,2
croatia,Boreal,2
croatia,Temperate,26
cuba,Equatorial,39
cyprus,Temperate,2
czech_republic,Boreal,37
czech_republic,Temperate,1
democratic_republic_of_the_congo,Equatorial,742
democratic_republic_of_the_congo,Temperate,23
denmark,Temperate,27
djibouti,Arid,7
dominican_republic,Arid,1
dominican_republic,Equatorial,13
dominican_republic,Temperate,2
east_timor,Equatorial,6
ecuador,Arid,4
ecuador,Equatorial,59
ecuador,Polar,7
ecuador,Temperate,15
egypt,Arid,362
el_salvador,Equatorial,7
equatorial_guinea,Equatorial,9
eritrea,Arid,40
estonia,Boreal,27
eswatini,Arid,3
eswatini,Temperate,2
ethiopia,Arid,176
