ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,235.0959987069946,49.95769292323033,6.077547589402079,24.310190357608317,4,6.225101525597848,3.25,3.4273834836337578,1.7948906875045494,1.6094379124341003,1.8818236026786233,7.1795627500181975,1.4157401200339865,1.4302757938510804,00s
2004,267.5,0,0.21651592416286466,0.43303184832572933,2,0.5366466832411938,1,0.5366466832411938,0.19599097330197524,1.0986122886681098,0.42715733018521607,0.39198194660395047,0.6931471805599453,0.42715733018521607,00s
2005,336.5293965766392,6.053162919010153,0.29364304877107483,4.111002682795047,14,0.47531563372791447,1.5714285714285714,0.42625079411729105,0.24983315813631377,2.70805020110221,0.3830938519760113,3.4976642139083927,0.8660306183206903,0.3501393158496396,00s
2006,259.9910046243949,62.393185901780065,0.8161539913424741,8.977693904767214,11,1.5416395627656114,2.1818181818181817,1.1129726970008273,0.49923084188610095,2.4849066497880004,0.8437539746411757,5.4915392607471105,1.04364287637265,0.6806172963631297,00s
2008,327.63459377118244,1.9353593263825168,2.460837186186178,226.39702112912838,92,3.1312167343899224,2.5217391304347827,1.586387223070218,0.7060358955868336,4.532599493153256,0.9868935513768464,64.95530239398869,1.1167361439751027,0.7772957014224644,00s
2010,291,0,3.4428824016447064,3.4428824016447064,1,3.863856119336596,4,1.7172693863718205,1.491303355371365,0.6931471805599453,1.5818315634978517,1.491303355371365,1.6094379124341003,0.9996274739915354,00s
2013,321,-0,0.8632718203520774,0.8632718203520774,1,0.8586346931859101,6,0.2862115643953034,0.6223339856205681,0.6931471805599453,0.6198421822672815,0.6223339856205681,1.9459101490553132,0.2517011258112359,10s
2016,110.32576094232513,36.16743649953091,0.49377644756675443,17.282175664836405,35,0.6255767050354487,2.2,0.4866180699953617,0.3584646178745698,3.58351893845611,0.44455011825806734,12.546261625609944,0.9897925481259693,0.37407377113394896,10s
2017,290.5093260952822,15.006190434801598,0.32430857352775333,1.2972342941110133,4,0.5903113515653131,1.25,0.5366466832411938,0.27183627895936135,1.6094379124341003,0.4578384482306229,1.0873451158374454,0.7945134575869864,0.42715733018521607,10s
2019,334,-0,0.6486131470546722,0.6486131470546722,1,0.8586346931859101,2,0.6439760198894325,0.4999344175435087,0.6931471805599453,0.6198421822672815,0.4999344175435087,1.0986122886681098,0.49711771008565403,10s
2020,275.1021653358858,78.3577075673072,1.4368068996626218,21.552103494939328,15,1.760201121031116,1.9333333333333333,1.0780635592223093,0.6547813451296326,2.772588722239781,0.8013913746170986,9.821720176944488,0.9683062718548382,0.6660719657704054,10s
2007,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
