ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,229.55040022640122,8.417708204406186,0.9478516590235914,19.90488483949542,21,4.017183743119794,4.0476190476190474,2.1976391528836996,0.532808858847222,3.091042453358316,1.403193080317628,11.188986035791661,1.327087692718488,1.0463158269661548,00s
2006,210.00000000000003,3.63081490014108e-14,2.5823944575891495,2.5823944575891495,1,8.157029585266146,3,5.509572614609591,1.276031419738878,0.6931471805599453,2.2145218450110766,1.276031419738878,1.3862943611198906,1.873273803467778,00s
2007,218.6921976886376,17.830649856827506,4.6766674731204665,593.9367690862993,127,8.574515351441185,5.7952755905511815,2.892675842652703,0.9694080354745498,4.852030263919617,1.625031652028767,123.11482050526783,1.5593471909337109,1.1374106801403514,00s
2008,247.90145436115796,24.236619496458605,0.44416184061354397,2.664971043681264,6,3.2198800994471632,4.666666666666667,0.9838522526088554,0.3356066421101485,1.9459101490553132,1.218298864295936,2.013639852660891,1.42606898409492,0.678346349309227,00s
2009,284.0894237813084,123.69246265799322,0.2984924303562164,1.492462151781082,5,1.5455424477346384,1.2,1.5455424477346384,0.258254345761445,1.791759469228055,0.915201014077171,1.2912717288072249,0.7742402021815782,0.915201014077171,00s
2011,243.1395952548427,19.86525894377114,3.3227764995814963,46.51887099414095,14,13.799486140487843,6.142857142857143,4.136608925644263,1.0987928519688743,2.70805020110221,1.9989022112785373,15.38309992756424,1.7060866928374643,1.3385156060837717,00s
2012,231.79498164005184,13.460947003006213,2.9384272695526685,326.1654269203462,111,6.406884546227299,5.7657657657657655,2.378948059534227,0.8796788768612978,4.718498871295094,1.5426392986668171,97.64435533160405,1.567921725506177,1.0662849577248357,10s
2013,283.97525885245506,0,0.28837769040628275,0.8651330712188482,3,1.3595049308776912,1,1.3595049308776912,0.25037489967404863,1.3862943611198906,0.8456013761588665,0.7511246990221458,0.6931471805599453,0.8456013761588665,10s
2014,70,-0,0.21651592416298387,0.21651592416298387,1,1.0732933664823878,1,1.0732933664823878,0.19599097330207324,0.6931471805599453,0.7291383412809704,0.19599097330207324,0.6931471805599453,0.7291383412809704,10s
2015,269.3240765794233,33.76554778551209,1.4646865557558753,29.293731115117506,20,5.044478822467223,3.85,2.0245936403650657,0.6879348078017167,3.044522437723423,1.4011142808221204,13.758696156034334,1.3638815696867306,1.0130751039644383,10s
2016,239,-0,0.8623451949188112,0.8623451949188112,1,3.005221426150685,5,1.2020885704602744,0.6218365509950683,0.6931471805599453,1.3875988664204149,0.6218365509950683,1.791759469228055,0.7894062602255787,10s
2017,223.58607083518746,13.896046557637831,2.614288953816668,88.88582442976671,34,5.656887390401291,4.970588235294118,2.36173863211045,0.9196979736265266,3.5553480614894135,1.605683889864046,31.269731103301908,1.505691609309275,1.121227701508819,10s
2018,271.88699660404643,9.107822137479543,2.5228176643742417,20.182541314993934,8,11.537903689685669,5.25,2.2531707269974017,0.5856708971860943,2.1972245773362196,1.5654820162098517,4.685367177488755,1.491717356253149,1.007410001856212,10s
2019,166.05304302841037,87.13249374849852,1.437488442622192,11.499907540977537,8,10.169454647420624,4.625,3.6000725918292766,0.6751144691351195,2.1972245773362196,1.58927356801106,5.400915753080956,1.3522721253804137,1.2023732277977324,10s
2020,210.5000069279295,0,0.28868656555052596,0.8660596966515779,3,1.7172693863718205,1,1.7172693863718205,0.2505905096150563,1.3862943611198906,0.9765107522957006,0.751771528845169,0.6931471805599453,0.9765107522957006,10s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
