ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2005,190,-0,0.21651592416310309,0.21651592416310309,1,0.2146586732964776,1,0.2146586732964776,0.19599097330217125,0.6931471805599453,0.19446310999703625,0.19599097330217125,0.6931471805599453,0.19446310999703625,00s
2006,189,-0,0.21651592416310309,0.21651592416310309,1,0.2146586732964776,1,0.2146586732964776,0.19599097330217125,0.6931471805599453,0.19446310999703625,0.19599097330217125,0.6931471805599453,0.19446310999703625,00s
2009,183,-0,0.4321012228927612,0.4321012228927612,1,0.4293173465929553,1,0.4293173465929553,0.35914275241791616,0.6931471805599453,0.35719695028477844,0.35914275241791616,0.6931471805599453,0.35719695028477844,00s
2012,185.6676231892596,0,0.32430857352781295,0.6486171470556259,2,0.32198800994471644,1,0.32198800994471644,0.2775668628599457,1.0986122886681098,0.27583003014090735,0.5551337257198914,0.6931471805599453,0.27583003014090735,10s
2015,161.00000617141288,5.916058374833094,0.6481498343390226,1.2962996686780452,2,0.4293173465929553,2,0.3577644554941294,0.4909869626728824,1.0986122886681098,0.35719695028477844,0.9819739253457648,1.0397207708399179,0.30444903804800727,10s
2016,222,-0,0.4321012228929996,0.4321012228929996,1,0.2146586732964776,2,0.2146586732964776,0.3591427524180827,0.6931471805599453,0.19446310999703625,0.3591427524180827,1.0986122886681098,0.19446310999703625,10s
2019,174.99932577473675,29.320661882913654,0.43241009803748126,1.2972302941124438,3,0.2862115643953035,3,0.17172693863718205,0.3516893810882583,1.3862943611198906,0.24870772342628364,1.055068143264775,1.290400336969297,0.1571005715810151,10s
2020,295.9980853515972,2.0314482531470905,0.6473776464778582,1.9421329394335747,3,0.643976019889433,1,0.643976019889433,0.46173988215397477,1.3862943611198906,0.4597723906481857,1.3852196464619242,0.6931471805599453,0.4597723906481857,10s
2003,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2007,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2017,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
