ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,182.2040478152313,41.62420358082105,1.6498896430564174,19.798675716677007,12,0.8944111387369322,2.25,0.6026095047240081,0.48288293479795635,2.5649493574615367,0.5001112226291905,5.794595217575476,0.8714860275179679,0.41595101654859906,00s
2004,198.79563784360727,27.694922050310105,1.5822272434813638,45.88459006095955,29,1.0288812271815193,3.896551724137931,0.35315185654768166,0.6131925031320694,3.4011973816621555,0.5221607589681125,17.78258259083001,1.2219968268745234,0.28862480108824,00s
2005,143.40479211215822,59.24289409524037,1.65774257547295,38.12807923587785,23,2.137253747173122,2.4782608695652173,0.8030933270701581,0.5301672937950551,3.1780538303479458,0.7154925473360345,12.193847757286267,0.9792015810821236,0.5305485061820066,00s
2006,91.37396357780386,47.96223235491431,2.0881227337490498,20.881227337490497,10,1.5026107130780464,5,0.5799191459543843,0.7505104682483829,2.3978952727983707,0.681931545957392,7.505104682483829,1.374216537173846,0.41941440418186593,00s
2007,307,-0,0.2165159241631627,0.2165159241631627,1,0.4293173465937275,1,0.4293173465937275,0.19599097330222018,0.6931471805599453,0.35719695028531856,0.19599097330222018,0.6931471805599453,0.35719695028531856,00s
2008,198.298329249007,12.434672232413185,1.4052739553859028,26.700205152332156,19,1.0281020668428738,3.263157894736842,0.4544613779731781,0.4517862219601443,2.995732273553991,0.4899378458243355,8.583938217242741,1.0887346137750502,0.3500872904794482,00s
2009,209.21618042994905,17.040605594156318,0.9631987677756515,14.447981516634773,15,0.8872558496270369,2.8666666666666667,0.5408664691274824,0.5632930189248262,2.772588722239781,0.5641962199551046,8.449395283872393,1.1242364543324996,0.4171413807295776,00s
2011,213.11260696867862,12.214348571850028,1.3623631034567425,29.971988276048336,22,1.4050385888521992,2.6818181818181817,0.657798737489253,0.5576069432824836,3.1354942159291497,0.6224020749544164,12.267352752214638,1.0248504546564072,0.4591744071581576,00s
2012,240.9720317462482,0,0.28837769040646155,0.8651330712193847,3,0.5724231287916367,1,0.5724231287916367,0.2503748996741882,1.3862943611198906,0.44474536094624995,0.7511246990225646,0.6931471805599453,0.44474536094624995,10s
2013,200.0483517336933,78.07146173719546,0.47558813281230927,2.3779406640615464,5,0.7727712238687096,1.8,0.6010442852312186,0.3640105105674935,1.791759469228055,0.5453810148366931,1.8200525528374676,0.9128696382935673,0.4512889825610058,10s
2014,140.5439909908363,107.25939287329291,0.4070477989177635,10.583242771861851,26,0.7017687396243623,1.8076923076923077,0.5413251415063218,0.31345422960837843,3.295836866004329,0.5048912395378743,8.14980996981784,0.8843938759936398,0.4246529719619614,10s
2015,193,-0,0.005209824454843998,0.005209824454843998,1,0.4293173465937275,6,0.1073293366484318,0.0051963002714962205,0.6931471805599453,0.35719695028531856,0.0051963002714962205,1.9459101490553132,0.1019511132284894,10s
2016,204,-0,0.4330278483263254,0.4330278483263254,1,0.8586346931874551,1,0.8586346931874551,0.3597895822415216,0.6931471805599453,0.6198421822681127,0.3597895822415216,0.6931471805599453,0.6198421822681127,10s
2017,306.06414107012307,95.87846415181082,0.4183954853640683,6.694327765825093,16,0.7244730223769151,2.1875,0.6031685116857187,0.321607359135835,2.833213344056216,0.5317839374432201,5.14571774617336,0.9817467246841108,0.46324516370800123,10s
2018,303.33539871200503,18.731438692175704,0.46818654358687,2.80911926152122,6,0.5724231287916367,2,0.4412428284435533,0.36701271782436895,1.9459101490553132,0.44474536094624995,2.2020763069462137,1.0397207708399179,0.3572463164987315,10s
2019,310,-0,0.647686521622777,0.647686521622777,1,1.2879520397811826,1,1.2879520397811826,0.4993721959317368,0.6931471805599453,0.8276571116637548,0.4993721959317368,0.6931471805599453,0.8276571116637548,10s
2020,67.61632248487106,10.971445706974604,0.3458671034010887,1.7293355170054436,5,0.8586346931874551,1.4,0.686907754549964,0.2892975736513188,1.791759469228055,0.5941804053437643,1.446487868256594,0.8317766166719344,0.5182233469988523,10s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
