ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,202,-0,0.2165159241631627,0.2165159241631627,1,0.4293173465937275,1,0.4293173465937275,0.19599097330222018,0.6931471805599453,0.35719695028531856,0.19599097330222018,0.6931471805599453,0.35719695028531856,00s
2014,310.9956956483313,0,0.32430857352820036,0.6486171470564007,2,0.7513053565390232,1,0.7513053565390232,0.27756686286023463,1.0986122886681098,0.5584799461772357,0.5551337257204693,0.6931471805599453,0.5584799461772357,10s
2016,345,-0,0.2165159241631627,0.2165159241631627,1,1.073293366484319,1,1.073293366484319,0.19599097330222018,0.6931471805599453,0.7291383412819018,0.19599097330222018,0.6931471805599453,0.7291383412819018,10s
2017,286,-0,0.2165159241631627,0.2165159241631627,1,0.4293173465937275,1,0.4293173465937275,0.19599097330222018,0.6931471805599453,0.35719695028531856,0.19599097330222018,0.6931471805599453,0.35719695028531856,10s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2006,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2007,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2020,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
