ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,187.19857206848835,14.982254901224282,0.3906433799164772,11.719301397494316,30,0.2647456970656557,2.4,0.21251208656351284,0.3095650174375394,3.4339872044851463,0.23167390338128055,9.286950523126182,1.0478220302814987,0.19045029973763153,00s
2004,266.7999985220374,6.637159098656368,0.3608572069383462,1.0825716208150387,3,0.2862115643953035,1.3333333333333333,0.2862115643953035,0.3051900459282285,1.3862943611198906,0.24870772342628364,0.9155701377846855,0.8283022165960001,0.24870772342628364,00s
2008,143.57144101346492,4.284495629349121,0.37889986728507274,1.515599469140291,4,0.268323341620597,2.75,0.23478292391802238,0.3130669630215622,1.6094379124341003,0.2351465700689718,1.2522678520862487,1.0691665297540138,0.20588607326209857,00s
2010,331,-0,0.21651592416310309,0.21651592416310309,1,0.2146586732964776,1,0.2146586732964776,0.19599097330217125,0.6931471805599453,0.19446310999703625,0.19599097330217125,0.6931471805599453,0.19446310999703625,00s
2011,229.69985508246052,0,0.20528705531965194,0.4105741106393039,2,0.2146586732964776,2.5,0.1609940049723582,0.18667435973866442,1.0986122886681098,0.19446310999703625,0.37334871947732884,1.1512925464970227,0.1482071116126757,00s
2013,200.99999999999997,0,0.21651592416286466,0.21651592416286466,1,0.2146586732964776,1,0.2146586732964776,0.19599097330197524,0.6931471805599453,0.19446310999703625,0.19599097330197524,0.6931471805599453,0.19446310999703625,10s
2014,170,-0,0.03682647767464817,0.03682647767464817,1,0.2146586732964776,1,0.2146586732964776,0.03616458417042759,0.6931471805599453,0.19446310999703625,0.03616458417042759,0.6931471805599453,0.19446310999703625,10s
2015,318.26473394175645,22.28826864698022,1.4540464846338033,11.632371877070426,8,0.7244730223756122,3.625,0.3320501352554889,0.6811121126460571,2.1972245773362196,0.4601715369983325,5.448896901168457,1.3595670772786115,0.2729199725223436,10s
2016,224.50000000000028,0,0.21651592416298387,0.43303184832596775,2,0.2146586732964776,1,0.2146586732964776,0.19599097330207324,1.0986122886681098,0.19446310999703625,0.3919819466041465,0.6931471805599453,0.19446310999703625,10s
2017,296,-0,0.21651592416286466,0.21651592416286466,1,0.2146586732964776,1,0.2146586732964776,0.19599097330197524,0.6931471805599453,0.19446310999703625,0.19599097330197524,0.6931471805599453,0.19446310999703625,10s
2018,190,-0,0.21651592416310309,0.21651592416310309,1,0.2146586732964776,1,0.2146586732964776,0.19599097330217125,0.6931471805599453,0.19446310999703625,0.19599097330217125,0.6931471805599453,0.19446310999703625,10s
2019,259,-0,0.6476865216228962,0.6476865216228962,1,0.4293173465929553,6,0.1073293366482388,0.4993721959318092,0.6931471805599453,0.35719695028477844,0.4993721959318092,1.9459101490553132,0.10195111322831514,10s
2020,288,-0,0.4321012228925824,0.8642024457851648,2,0.2146586732964776,2.5,0.18782633913441787,0.34768158461673704,1.0986122886681098,0.19446310999703625,0.6953631692334741,1.1512925464970227,0.17186982451181304,10s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2006,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2007,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
