ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2004,82.7134065910867,6.490859887559985,0.5036541139917473,1.5109623419752418,3,1.7888222774738647,2.6666666666666665,1.01366595723519,0.3744514633483077,1.3862943611198906,0.9660277992520588,1.123354390044923,1.110734836725068,0.6990615760257315,00s
2011,115,0,7.096712974850327,7.096712974850327,1,10.73293366484319,8,4.427335136747815,2.091458173742995,0.6931471805599453,2.4623997307003864,2.091458173742995,2.1972245773362196,1.691448246767336,00s
2014,293,-0,0.8632718203528821,0.8632718203528821,1,3.2198800994529564,5,0.8586346931874551,0.622333985621,0.6931471805599453,1.4398067151923728,0.622333985621,1.791759469228055,0.6198421822681127,10s
2003,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2006,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2007,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2016,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2017,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2020,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
