ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,11,-0,0.2165159241631627,0.2165159241631627,1,1.073293366484319,1,1.073293366484319,0.19599097330222018,0.6931471805599453,0.7291383412819018,0.19599097330222018,0.6931471805599453,0.7291383412819018,00s
2006,246.69254402113583,2.9038023262031696,0.6252770006102137,2.501108002440855,4,2.790562752859229,3.25,1.32372848533066,0.41240571739385545,1.6094379124341003,1.1807120944504361,1.6496228695754218,1.2424533248940002,0.8145338940434654,00s
2007,83.83406851475662,15.157075084696505,1.2506543553855456,10.005234843084365,8,3.7028621143709,5.375,1.2662693455087721,0.6511827996387451,2.1972245773362196,1.3890484644963823,5.209462397109961,1.7147647764944531,0.7869840336727437,00s
2009,257.1822825257207,5.735207543313928,0.5243625472868798,3.6705378310081587,7,1.073293366484319,3.142857142857143,0.7989298457444962,0.37783316810768464,2.0794415416798357,0.71066679159012,2.6448321767537926,1.179032520797396,0.5856382861833317,00s
2011,145,0,1.7237597644051015,1.7237597644051015,1,7.513053565390232,4,2.146586732968638,1.0020131921826492,0.6931471805599453,2.1416006990693943,1.0020131921826492,1.6094379124341003,1.1463182885083747,00s
2016,258,0,1.0779304936492442,1.0779304936492442,1,3.2198800994529564,4,1.341616708105399,0.7313724434406405,0.6931471805599453,1.4398067151923728,0.7313724434406405,1.6094379124341003,0.8508415917072021,10s
2020,125.32998443505713,1.8752769936978233,2.081524219899299,12.489145319395796,6,4.221620574838321,4.166666666666667,1.7651842688072459,0.8509123087312594,1.9459101490553132,1.3962669855803336,5.105473852387556,1.4059248670626212,0.938927383380399,10s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2017,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
