ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,8,0,2.3689712848739624,7.106913854621887,3,0.57242312879060675,9.333333333333334,0.2420872815510274,1.0591119186164888,1.3862943611198906,0.43714100078332385,3.1773357558494664,2.010228420087088,0.21663728215354353,00s
2004,351,0,2.1530771109986304,2.1530771109986304,1,0.8586346931859101,9,0.2385096369960861,1.1483788366541758,0.6931471805599453,0.6198421822672815,1.1483788366541758,2.302585092994046,0.2139087511007635,00s
2006,19.291342063658373,36.72063214107457,0.5039629891355832,1.5118889674067497,3,0.35776445549412916,2.3333333333333335,0.27190098617553815,0.3924892371132902,1.3862943611198906,0.30295233685553075,1.1774677113398706,1.0593512767826485,0.23671291225996385,00s
2007,206.7494390999655,145.51382904514998,0.7911011789646148,2.3733035368938444,3,0.57242312879060675,2.3333333333333335,0.31006252809491197,0.538429242400187,1.3862943611198906,0.4269328005209282,1.615287727200561,1.1552453009332422,0.26499043944552203,00s
2008,315,-0,0.4321012228927612,0.4321012228927612,1,0.2146586732964775,3,0.1431057821976517,0.35914275241791616,0.6931471805599453,0.19446310999703606,0.35914275241791616,1.3862943611198906,0.13374892838484864,00s
2009,16.417186829697243,2.38303489869102,1.0357429602562904,5.178714801281452,5,1.1162251011416833,4.8,0.5752852444345599,0.6333136563044486,1.791759469228055,0.6085161449602159,3.1665682815222427,1.4561394390769484,0.39426478980258767,00s
2011,327.2142452149821,6.564777008012666,1.0357400593351362,5.178700296675681,5,0.4722490812522505,3,0.3230101941032709,0.6271974631255914,1.791759469228055,0.3771792286237304,3.1359873156279576,1.2476649250079015,0.2781142200311002,00s
2013,181.99999999980227,275.9376479817865,0.8632718203530311,1.7265436407060621,2,0.6439760198894325,3,0.5151808159115461,0.6223339856210799,1.0986122886681098,0.48851956627602977,1.2446679712421598,1.2424533248940002,0.3891604293826795,10s
2016,206.91553368091354,231.95477135595553,0.43210122289228436,1.296303668676853,3,0.35776445549412916,1.3333333333333333,0.35776445549412916,0.35150197388356763,1.3862943611198906,0.29534797669324203,1.054505921650703,0.8283022165960001,0.29534797669324203,10s
2018,18,0,1.0788571190810203,1.0788571190810203,1,0.429317346592955,6,0.1788822277470646,0.7318182807233955,0.6931471805599453,0.3571969502847781,0.7318182807233955,1.9459101490553132,0.16456672491777888,10s
2020,357,0,0.21651592416286466,0.649547772488594,3,0.2146586732964775,1,0.2146586732964775,0.19599097330197524,1.3862943611198906,0.19446310999703606,0.5879729199059257,0.6931471805599453,0.19446310999703606,10s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2017,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
