ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,271.03598319440164,70.01776097302472,1.347654145188598,745.2527422892946,553,0.693661933419179,3.2567811934900543,0.3462265392740174,0.6015534841448866,6.317164686747284,0.42868422255278366,332.65907673212234,1.2185336910153775,0.2776915531697782,00s
2004,257.84579081258875,74.3489669993865,1.2177653832288897,498.06604174061584,409,0.6486995603776202,3.2762836185819073,0.3481902682413945,0.5938421608015267,6.016157159698354,0.4210685828525891,242.88144376782444,1.21798686698263,0.2777559437136756,00s
2005,285.3465156304075,79.25045533279103,1.5625135348151171,496.8793040712073,318,0.7864067748125684,3.779874213836478,0.36180653445407845,0.6879059850736323,5.765191102784844,0.47616127582107987,218.75410325341508,1.3314443403492198,0.2908379380110972,00s
2006,258.3263165554849,95.51460930315947,1.50228895496641,572.3720918422023,381,0.7251068570408584,3.356955380577428,0.34818612673361465,0.6144310279100925,5.945420608606575,0.4342835134464021,234.09822163374523,1.2154912868458052,0.280673194993566,00s
2007,258.247587514488,90.10809695839643,1.486932783549528,683.9890804327829,460,0.756905148014972,3.5478260869565217,0.35587598618872196,0.6404077711214825,6.133398042996649,0.4486730717581925,294.58757471588194,1.2749476731500577,0.2789492872056812,00s
2008,274.492258942069,76.70381986297788,1.9262491993201496,654.9247277688509,340,0.9994255289068367,3.2441176470588236,0.41579813656258763,0.6479135889856589,5.831882477283517,0.4800347403480072,220.29062025512403,1.217194408448977,0.3105186275114478,00s
2009,233.68977990331948,92.0672588562104,1.1971348273604714,391.4630885468742,327,0.5737360258749898,3.434250764525994,0.3046846970407349,0.5697010451552267,5.793013608384144,0.38894282622404264,186.29224176575914,1.2347124715688258,0.2530282599559684,00s
2010,261.23710610374616,78.65964611321893,1.8695173130058962,626.2882998569752,335,0.8932363897769856,3.5701492537313433,0.44441479407644163,0.7065553033097648,5.817111159963204,0.49868859694147744,236.6960266087712,1.273653541213189,0.3213847286155695,00s
2011,274.46745141550593,83.01772314067415,1.1735562936485913,571.521915006864,487,0.5778593854038655,3.5790554414784395,0.3063201110517842,0.5886130000641108,6.1903154058531475,0.4006640215901055,286.65453103122195,1.261549169222909,0.25496080368094287,00s
2012,248.84863450094304,84.74022742420063,2.0416581710244497,424.6648995730855,208,0.8441865132524947,3.6923076923076925,0.39594961978561183,0.6910055894908597,5.342334251964811,0.48136053442015103,143.7291626140988,1.2977944008716322,0.30162911424420896,10s
2013,253.7984912402922,60.284279826302054,1.1906219770025308,163.1152108493467,137,0.6565108329286441,3.167883211678832,0.34529990207165706,0.5984395803417161,4.927253685157205,0.42113797739666187,81.9862225068151,1.238360851594031,0.2729717083116716,10s
2014,246.79819743118205,75.11448388078507,1.6767307654420096,278.3373070633736,166,0.7008734995583796,3.7228915662650603,0.33889789424943584,0.6071646246281531,5.117993812416755,0.40432205543169436,100.78932768827342,1.2957708702082034,0.25870030304896663,10s
2015,253.7498107034046,76.41992728305351,2.4528400272415865,493.0208454755589,201,1.1854284943238331,3.9800995024875623,0.5008377377424881,0.8124254873860276,5.308267697401205,0.5729900575511261,163.29752296459154,1.3797434673037026,0.351817680861381,10s
2016,251.7445124983429,69.39469035090369,1.8933056877278693,340.7950237910165,180,0.9242248433598353,3.933333333333333,0.4143844416233958,0.7638074831262172,5.198497031265826,0.5249651140216915,137.4853469627191,1.3548534047363865,0.3172782766879741,10s
2017,278.2978389947342,34.582801143350096,2.5573933508149786,519.1508502154406,203,1.121935233337749,3.87192118226601,0.4474718726432564,0.7705947009388854,5.318119993844216,0.5341815006976502,156.43072429059373,1.3162645013218692,0.32498325037481224,10s
2018,237.00389147831623,66.34848458298544,1.9153324283934834,375.40515596512273,196,0.8849194286916027,3.8418367346938775,0.3971709228826027,0.700304695952638,5.2832037287379885,0.4811862937842634,137.25972040671707,1.3224386888281452,0.3012360964825629,10s
2019,271.79707737891675,58.64155496286797,3.361433277380494,998.3456833820068,297,1.423830257219062,4.457912457912458,0.5336084159415555,0.908243791044117,5.697093486505405,0.6348328287463231,269.74840594010277,1.4562559742707741,0.37119554274195443,10s
2020,275.07721785192024,42.03794848561375,3.5987543035628478,1489.8842816750189,414,1.28432254530284,4.3478260869565215,0.5499877013890522,0.8590246711343266,6.028278520230698,0.5922197867155463,355.6362138496112,1.375985946543491,0.3702258318463292,10s
