ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,234.07308467279586,62.52353610379722,1.990755028702544,155083.79824598556,77902,0.9001131790929727,3.553169366640138,0.38116255577196356,0.6330546281931412,11.263219742028738,0.4490596753854317,49316.22164550208,1.2424877729353536,0.2846577028064931,00s
2004,244.36013548949268,54.940319531442704,2.3283837556711453,200373.72086179172,86057,1.0048276836832943,3.6482796286182415,0.404494507984129,0.657401839980162,11.362776766522268,0.46529374635249754,56574.03014317279,1.2554682333280507,0.2930056064475877,00s
2005,240.31337404881296,46.2904135620249,2.6125957600442655,220492.6317646958,84396,1.0662733899633805,3.8783117683302524,0.41410102979122754,0.6951419699978953,11.343287134928612,0.48635410378307753,58667.20169994238,1.2934261046161866,0.2995240415395818,00s
2006,231.6105704110637,56.548124473685554,2.1957110751188917,118603.52943362202,54016,0.9827819264831191,3.7871371445497632,0.4073176133095275,0.6883304826469862,10.89705409081744,0.4827277774451455,37180.85935065961,1.2910575378192202,0.299603872921973,00s
2007,235.68788451355024,47.613019579836866,4.0630862346473045,355987.30044862366,87615,1.4310504719106643,4.077110083889745,0.514853145818116,0.796345170954708,11.38071890864812,0.5595336636064533,69771.78215319673,1.3343274766820548,0.34056240509259506,00s
2008,249.2956973569766,53.918598972910665,2.6826784014172507,146914.1999752143,54764,1.1327317588910482,3.882714922211672,0.442161529383651,0.7212377280358584,10.910806582757846,0.5054209557249821,39497.86293815575,1.306088873000273,0.31215000688608474,00s
2009,230.679510436907,77.18568536793467,1.7477517758095438,86384.37927116248,49426,0.8036910020947097,3.7063893497349576,0.35443513072766103,0.62368300399534915,10.80825211257166,0.43497975961852064,30826.156155474135,1.2625529404814453,0.27400930898282655,00s
2010,230.57394191593033,45.59262499893971,5.117997070279574,356371.2540006371,69631,1.702579828872179,4.270583504473582,0.5765971647384248,0.8536623202162456,11.15097951077556,0.6023009531804936,59441.36101897739,1.3690509283745471,0.3611094281505148,00s
2011,240.1613669281669,55.43962621940837,3.072731397927574,134514.9624070754,43777,1.2767427351861416,3.9664435662562534,0.48307665949092693,0.7669738577486076,10.6868866870731,0.5399812421532094,33575.8145706608,1.3306189370564805,0.3300982538092478,00s
2012,238.6869791201917,48.38797579671688,4.28187080585598,235896.8264362176,55092,1.5748649503077907,4.144848616859072,0.5489553753764111,0.8236638593209319,10.916777945328233,0.5815693771225496,45377.28933770878,1.3483209423223927,0.352681248720493,10s
2013,229.8902953570322,70.77052885506203,2.649283933199272,95011.26969632549,35863,1.1727367816497676,3.968881577112902,0.45360916089843994,0.7475634135564889,10.487489285835276,0.529290686322109,26809.866700376366,1.3208830378120968,0.3217810866999937,10s
2014,241.04928248863612,55.02188115494965,3.1542964891753744,153043.31135829998,48519,1.2788204521186943,3.990725282878872,0.47863839224557014,0.7675092691290106,10.789731363057987,0.5404222296221405,37238.78222887047,1.3261106889039826,0.3288973897572474,10s
2015,252.9829304903728,60.85703391736383,2.8637187730857114,198372.6631304203,69271,1.141470604737876,3.9593625037894644,0.438725454001667,0.7212311321135537,11.145796063127637,0.5051631041163173,49960.401752637976,1.3029557146528612,0.309505727556532,10s
2016,222.78656509447237,69.20039269446883,3.0362212940092226,154804.7788963542,50986,1.2359735362579338,3.9564390224767583,0.4604944725518821,0.7449819097601054,10.839325977252653,0.5263252616511875,37983.64765102874,1.3109296929389211,0.3209897178708979,10s
2017,243.06404572303128,51.92816884570354,3.6444399903119433,201490.15374437638,55287,1.3318800559431798,3.934270262448677,0.48799374056310463,0.750820724643671,10.92031116577123,0.5319436858605687,41510.62540337464,1.3038837077824839,0.3269232242715183,10s
2018,217.5813572468617,74.88792232751028,2.359970308053022,84777.2133761887,35923,1.0382409550034724,3.82668485371489,0.425740522177729,0.711354089933878,10.48916087479084,0.504450017834324,25553.972972694704,1.2963830044326707,0.3103001499629232,10s
2019,225.13036937596087,70.02146266508068,3.7731646249558333,191065.51027851348,50638,1.441974873136311,4.133496583593349,0.5063440890126958,0.7909933637351371,10.832477309387691,0.5581411900956471,40054.321952819875,1.3382519236474086,0.3357720788283507,10s
2020,227.61424950873402,62.56912719058389,4.1307613747521925,209978.99296277817,50833,1.4865766607371647,4.075069344717015,0.5147208509793259,0.7829988569626486,10.836320701029594,0.5565747251192373,39802.18089598232,1.324690505916116,0.33698722629226036,10s
