ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,226.14100915152116,46.05451824095108,1.7035037183007686,448.02147791310216,263,3.6336897852316277,3.4372623574144487,1.5737084441164813,0.656310857288635,5.575949103146316,1.103409856836794,172.60975546691103,1.2306906881441027,0.8107265004409474,00s
2004,222.36737564580034,26.36651190049194,1.0677808428675184,936.4437991948137,877,1.8394069895359508,3.3933865450399088,0.9889166713841135,0.5321510705942877,6.777646593635117,0.868779057400337,466.6964889111903,1.2177748695306305,0.6401180955193432,00s
2005,211.44398911584045,45.76388200665992,0.8484841339449263,507.3935120990659,598,1.5539421349505875,3.1036789297658864,0.8826148332008663,0.47422469920364047,6.395261598115449,0.7797317757533979,283.586370123777,1.1510301843944704,0.5880596748724609,00s
2006,190.0199260616756,77.01693682116633,1.2050327731689,1147.1912000567927,952,2.3217860913170476,3.1281512605042017,1.2240126496132775,0.5526890374297901,6.859614903654202,0.918491483589836,526.1599636331603,1.1601265375533645,0.6983035885519587,00s
2007,174.3157344532465,65.67928347940851,2.1452683533565784,600.675138939842,280,4.514731882296273,3.9035714285714285,1.7370674294778545,0.7779314767996534,5.638354669333745,1.2543120317202798,217.82081350390294,1.3620405094404078,0.8699340982066293,00s
2008,231.16300605052166,37.665973888935035,1.14049015113266,590.7738982867178,518,2.32933668455502,3.305019305019305,1.287065036874615,0.5794565912563681,6.251903883165888,1.0123758044144784,300.15851427079866,1.2217869432924535,0.7551804599592664,00s
2009,224.06867114645297,42.27197480478017,1.2980194964729885,275.18013325227355,212,2.3582077835259256,3.207547169811321,1.1958154392042524,0.5761676186529201,5.3612921657094255,0.957404880290319,122.14753515441905,1.205543596141849,0.7095437575204755,00s
2010,265.1603047918018,38.17418139171622,1.1162089896656404,399.60281830029925,358,2.465576716746133,3.036312849162011,1.3862506321556667,0.5517805224584167,5.883322388488279,1.02436427995486,197.53742704011316,1.151056333487496,0.7812134359410057,00s
2011,241.35844386572057,83.20933063318925,1.4545568668280928,677.8234999418913,466,3.3576117374635728,3.4055793991416308,1.6071624958290398,0.6621403499533036,6.1463292576688975,1.138095828055647,308.55740307823953,1.2263788461859928,0.8466782960287564,00s
2012,246.01588957899918,35.77625824503508,2.2144648440906147,1315.3921173898252,594,4.118989155274834,4.0353535353535355,1.667853520179847,0.7606668384970856,6.38856140554563,1.2194403983789996,451.8361020672688,1.3263536614459517,0.8659180792979319,10s
2013,265.7798773154441,18.52139262612488,1.3314600323994965,560.544673640188,421,2.98635593704862,3.3064133016627077,1.279801739640493,0.5834316257587884,6.045005314036012,1.03959378542957,245.6247144444499,1.1972965410278957,0.7468836110373892,10s
2014,234.22462421342053,49.73075328748755,1.3923038129142975,267.3223320795451,192,2.585966204868503,3.3333333333333335,1.3082856976813089,0.5933079427823041,5.262690188904886,0.9766734576906012,113.91512501420239,1.189912460296794,0.7407468627110719,10s
2015,236.92458198157402,29.115119899965414,1.666501630624789,413.2924043949477,248,3.4752200535699895,3.274193548387097,1.4282968693407778,0.6075865770878766,5.517452896464707,1.0685651155022362,150.6814711177934,1.186554551537806,0.7869692375692915,10s
2016,240.5048009599556,30.873406842072107,1.4558693472755286,473.15753786454684,325,2.780655429471294,3.68,1.3106724192176296,0.6258427433654715,5.786897381366708,1.0614437299441453,203.39889159377825,1.2745002521262345,0.7634106119681282,10s
2017,244.409685480054,47.77858898883687,1.2613842174776035,586.5436611270856,465,2.5837518160008277,3.556989247311828,1.3479261919469236,0.6285600319170904,6.1441856341256456,1.0719820407945206,292.28041484144705,1.266104031602189,0.7875873046044527,10s
2018,262.8042253289163,29.73622819488483,1.3301558406082155,340.51989519570316,256,2.575065569115166,3.2734375,1.3962488024008013,0.606046774019762,5.54907608489522,1.052395348699537,155.14797414905908,1.1998436224870028,0.7915139784101056,10s
2019,260.43982578229065,29.866477773796188,1.7643930545396382,1370.9334033772989,777,3.2731994352852847,3.9266409266409266,1.4371673222708359,0.6883156297128872,6.656726524178391,1.1357380213772894,534.8212442869134,1.312089426625409,0.804766737445391,10s
2020,199.98228782377234,73.84215194161781,1.0743501021308017,90.24540857898734,84,2.35613448546848,3.2023809523809526,1.1525815956382126,0.5705355822436684,4.442651256490317,0.9888972894895057,47.92498890846815,1.213248350849718,0.7038713419681726,10s
