ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,280.1631559569495,104.69287346757164,7.4739277536838555,10896.986664871061,1458,3.1272735798974516,2.5713305898491083,1.1712899056020751,0.9562435358960563,7.285506548522785,0.7919230613992696,1394.20307533645,1.0957990466505712,0.5597828189487464,00s
2004,290.2776436735478,81.08692245435454,5.780719104528508,10815.725444572838,1871,2.893589737685979,2.5558524853019775,1.0885964117567277,0.9223088197915155,7.534762657037537,0.7702530182229224,1725.6398018299253,1.094846078511199,0.5472264746828699,00s
2005,293.08861063280364,89.00820016715444,5.27733990998147,8512.349274800112,1613,2.529325942140643,2.6323620582765033,1.0544771188168527,0.9651447737746933,7.3864708488298945,0.7941882549080547,1556.7785200985804,1.1144963480895183,0.5555373593935067,00s
2006,271.2313660994349,108.82102628173382,6.072756103142868,9819.646618782017,1617,2.6661748883651577,2.4675324675324677,1.028264881377293,0.8863256046028251,7.388946097618437,0.7424794330416169,1433.188502642768,1.0930769472609858,0.5229475312731939,00s
2007,285.33403553173525,99.18985329687928,3.784680357899803,7455.820305062612,1970,1.9150386716678158,2.43248730964467,0.8345149056034059,0.8310540156064634,7.58629630715272,0.6796301975162987,1637.176410744733,1.0801005667857393,0.48453917932773083,00s
2008,273.5357573580105,100.54166707474167,5.994483799679891,10364.46248964653,1729,2.776161129891579,2.5754771544245227,1.0711154715969917,0.9255719557837868,7.455876687491824,0.7721807084946031,1600.3139115501674,1.099438885345753,0.5483710712843389,00s
2009,287.55193160895055,115.93237113883706,3.4945762514030254,4934.341666981072,1412,1.8863206928206064,2.4801699716713883,0.9022011973691718,0.9018387544757979,7.253470382684528,0.7346907505256529,1273.3963213198265,1.1094444363167757,0.5285320883427969,00s
2010,248.31686162060134,138.77793598116034,3.722866548670234,7996.717346543662,2148,2.0285644363338933,2.505586592178771,0.8775285871085975,0.8697896842666072,7.67275789664251,0.7182994818909274,1868.3082418046722,1.0966289635082946,0.5061763953511584,00s
2011,250.90750153104946,130.03863045667,4.041678401304433,7048.687131874932,1744,2.020425528762433,2.5372706422018347,0.8965521969299333,0.8837099099595356,7.4645098346365275,0.7213170738506404,1541.1900829694303,1.1052213912697642,0.5108727249912756,00s
2012,256.6224676244162,126.54586919710283,2.8372364692236856,7297.37219884332,2572,1.6055166789285937,2.2519440124416796,0.7512357592890548,0.7540562099678015,7.8528278122817445,0.6265082815240285,1939.4325720371855,1.0357418208928737,0.4592199871473461,10s
2013,267.16001849847436,114.04951036652243,4.159327029442323,8559.8950265923,2058,2.191229061522063,2.5719144800777456,0.9428244719965233,0.9234478637708324,7.629975707027789,0.7614677019070011,1900.4557036403733,1.1171873072274616,0.53287377130504,10s
2014,277.43909962263194,108.05866900338759,3.1399037654007267,6424.243104009887,2046,1.7696226014133387,2.444770283479961,0.824116405198731,0.8516055961541913,7.624130585661289,0.6986783182245815,1742.3850497314754,1.087968148609631,0.4990298814987263,10s
2015,271.7563761352053,107.18871097156001,4.149630238775614,9170.682827694107,2210,2.047027846028629,2.295475113122172,0.8978095521454915,0.8181315998072992,7.701200180857446,0.6784746037826277,1808.0708355741313,1.0372887137973383,0.49570238964969837,10s
2016,294.20687054954806,85.42261500954638,4.144522368308414,7522.308098479772,1815,2.2680492439705535,2.3774104683195594,0.9736832435462269,0.877947950837391,7.504391559161238,0.7419182275662661,1593.4755307698647,1.0602216521703975,0.5350440708998393,10s
2017,278.31194101211315,101.58328608658466,3.908175110181576,7843.707446134423,2007,2.0249789045950246,2.5261584454409567,0.87270320499293,0.8782941889728998,7.60489448081162,0.712903334610643,1762.73643726861,1.0986831655450082,0.5011772761422443,10s
2018,264.2081497725189,121.83267341778784,4.291186702025867,7818.54217109113,1822,2.232238135536973,2.5515916575192095,0.9584524263408265,0.9218666388281294,7.508238774678663,0.7533955238761209,1679.6410159448517,1.11365439609311,0.5292368954170339,10s
2019,255.47224217227736,131.8355186070509,3.412327148249641,6309.392897113586,1849,1.9156748339995564,2.4040021633315307,0.9007997305725727,0.8670177922264443,7.52294091807237,0.7151123197327719,1603.1158978266953,1.077300215622324,0.5167259264436338,10s
2020,247.05456756834008,136.39991400666383,4.5376651584723255,8317.540235479773,1833,2.510440796211999,2.6835788325150025,1.0767972777831618,1.032115944888792,7.51425465281641,0.8481756920230735,1891.8685269811558,1.1499334180164709,0.591050132275196,10s
