ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,261.9827071788034,107.1736615702,2.8393229153520276,2129.492186514021,750,1.3082730608509316,2.074666666666667,0.6699685496099161,0.6282476775274188,6.621405651764134,0.5254529553966719,471.18575814556414,0.9969164956974053,0.39923126337088066,00s
2004,237.50740210514482,111.5665646924022,2.2071970615077214,1439.0924841030344,652,1.0861333791488947,1.9294478527607362,0.5918346371303577,0.5697006370446801,6.481577129276431,0.46490052066385196,371.44481535313145,0.9570208942503368,0.36629453301337955,00s
2005,229.22951116849862,118.8118012195851,2.2841746223800645,1308.8320586237771,573,1.310054765301539,1.9441535776614312,0.689879908109226,0.6356697657346756,6.352629396319567,0.5272601613050933,364.23877576596914,0.9716987075014341,0.4079335571365268,00s
2006,200.7760657541635,129.4046086558114,2.59532325207016,1178.2767564398525,454,1.3886619459730276,2.2180616740088106,0.7035221557728085,0.707779770365133,6.12029741895095,0.5825665113604195,321.3320157457703,1.0365011357867822,0.43412139253857385,00s
2007,218.74703983456718,118.05193474672777,2.015535288823811,1795.8419423420155,891,1.2371181676514165,1.9775533108866443,0.6651977747285298,0.6363160983552378,6.79346613258001,0.5353171748537925,566.9576436345169,0.9744276322601144,0.41275320825205536,00s
2008,152.4833607934502,107.44647187219417,1.7945652759129043,1848.4022341902914,1030,1.0170236171716605,2.0436893203883497,0.5577322388198818,0.5916267123069546,6.93828448401696,0.4782809358186736,609.3755136761632,0.9874193156262469,0.37133222276086486,00s
2009,207.40275537232964,99.48216316674576,1.5718810834805974,1215.0640775305017,773,0.9088975908141926,1.9495472186287193,0.5132932574324729,0.5554153503701559,6.651571873589727,0.44560169431338426,429.3360658361305,0.9663585434956365,0.34802361591224723,00s
2010,238.64826723078664,93.09881408249838,1.2135212366298673,942.9060008614069,777,0.7774124924791348,1.7966537966537968,0.4676807360978677,0.5121438419487171,6.656726524178391,0.4249505463815433,397.93576519415313,0.9260990563495536,0.33798153514724916,00s
2011,172.81167346843623,98.91051956524284,1.7749849800904165,1139.5403572180473,642,1.0950267212553955,1.8457943925233644,0.5442435389242423,0.5249734817446746,6.466144724237619,0.43053024800270157,337.0329752800811,0.9397760633729517,0.34192315585516564,00s
2012,225.6157107686144,115.80976479149382,1.7926634369774745,1215.4258102707277,678,1.0049065325118285,2.0368731563421827,0.5452928060626145,0.5789481833000146,6.520621127558696,0.4732695877968832,392.5268682774099,0.9935391983263874,0.3616005902428475,10s
2013,184.49047299253925,118.43278298379508,1.5587833114613914,1543.1954783467775,990,0.9952356671018503,1.8828282828282827,0.5323664889460421,0.5541230417688449,6.898714534329988,0.4612457247779771,548.5818113511565,0.9505440856479739,0.3570752337320225,10s
2014,172.01209235581294,119.37018702547655,1.4181598440111425,1255.0714619498613,885,0.8622729757841555,1.9062146892655367,0.4851518156080314,0.5338050820330071,6.786716950605081,0.4330709853038018,472.4174975992113,0.9550352870443117,0.3370258103699381,10s
2015,177.8668574559472,109.26981243637896,1.917033325709197,1251.8227616881056,653,1.2100437617217976,2.0428790199081166,0.6429651846361605,0.6529629393621306,6.483107351457199,0.5390719332843854,426.3847994034713,0.9926409508875158,0.4087764106603361,10s
2016,207.28227000024393,105.07133146219833,1.541702710735761,977.4395186064725,634,0.9679954999284373,1.9842271293375395,0.5144271690314809,0.552056705973813,6.453624998892692,0.45868607763757174,350.0039515873974,0.9738269299425049,0.35357351207930565,10s
2017,248.26345795568344,95.68981551073372,1.2687642060239128,938.8855124576954,740,0.7614581316260183,1.8067567567567568,0.4476063695761455,0.5022649540801919,6.608000625296087,0.4123445653761895,371.676066019342,0.9229604592692099,0.32853585542351627,10s
2018,235.87174986135275,101.54244429730194,1.6701637528761053,1476.424757542477,884,1.0553242015231803,1.919683257918552,0.5714464001510321,0.5738203950457041,6.785587645007929,0.48331013869832606,507.25722922040245,0.9534225536891499,0.3738714107368538,10s
2019,211.0359684912906,131.0106039394296,1.8656258988484675,1027.9598702655057,551,1.1964006999881716,2.092558983666062,0.6032856068850954,0.6501668737644049,6.313548046277095,0.5441306525788634,358.2419474441871,1.0037852629111135,0.4006216717798522,10s
2020,220.36709845883243,97.77754593284213,1.2552932533401562,1778.7505399830013,1417,0.8446977856747767,1.78969654199012,0.5202904852331558,0.5277616690525089,7.257002707092073,0.44947860870729217,747.8382850474051,0.9270718076551395,0.3594462790179027,10s
