ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,184,-0,0.43210122289308905,0.43210122289308905,1,0.4293173465937275,5,0.171726938637491,0.35914275241814514,0.6931471805599453,0.35719695028531856,0.35914275241814514,1.791759469228055,0.158478676498341,00s
2005,184,-0,0.026253249418344813,0.026253249418344813,1,0.2146586732968637,1,0.2146586732968637,0.025914548082381965,0.6931471805599453,0.19446310999735394,0.025914548082381965,0.6931471805599453,0.19446310999735394,00s
2012,169,-0,0.43210122289288044,0.43210122289288044,1,1.2879520397811826,1,1.2879520397811826,0.3591427524179994,0.6931471805599453,0.8276571116637548,0.3591427524179994,0.6931471805599453,0.8276571116637548,10s
2014,92,-0,0.2165159241631925,0.2165159241631925,1,0.4293173465937275,1,0.4293173465937275,0.19599097330224463,0.6931471805599453,0.35719695028531856,0.19599097330224463,0.6931471805599453,0.35719695028531856,10s
2018,279,-0,0.2165159241631925,0.2165159241631925,1,0.4293173465937275,1,0.4293173465937275,0.19599097330224463,0.6931471805599453,0.35719695028531856,0.19599097330224463,0.6931471805599453,0.35719695028531856,10s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2006,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2007,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2016,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2017,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2020,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
