ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,196.05284345889362,149.99193388808862,2.432715512681579,350.31103382614737,144,1.6531699214291222,3.6527777777777777,0.7472515001839215,0.8365490122964911,4.976733742420574,0.7185237825283517,120.46305777069473,1.3101425525909973,0.45665349930633625,00s
2004,172.44545019635743,125.31165400255942,3.8762546343438755,779.127181503119,201,2.59085542993659,3.746268656716418,0.868977097415249,0.9598329896406528,5.308267697401205,0.8426696421197525,192.92643091777123,1.309006559574156,0.5074654459385872,00s
2005,158.55419337960117,124.2042549963207,3.1893407426189757,813.2818893678387,255,2.006006346923553,4.152941176470589,0.7253070041584331,0.9075977329254018,5.545177444479562,0.7775407414474276,231.43742189597745,1.351003846380031,0.4618964602038722,00s
2006,169.7625750258882,130.78976492181025,4.713025131671454,1352.6382127897073,287,3.253537382716646,4.289198606271777,0.9743383087012504,1.0496598683647163,5.662960480135946,0.9100532566411346,301.25238222067355,1.4330543210540874,0.5367560879404344,00s
2007,159.47896655694296,126.2841341780839,3.5884043972228628,1065.7561059751902,297,2.2788511680262418,4.420875420875421,0.7402650607096003,0.9908526516532573,5.697093486505405,0.8231830044331842,294.2832375410174,1.4824607977783082,0.46443613540736595,00s
2008,165.18830916280328,135.93438307398912,3.8372143655769664,932.4430908352028,243,2.3002929434733645,3.950617283950617,0.8890652110751026,1.027310442570311,5.497168225293202,0.8426240651874893,249.6364375445856,1.3851112832819996,0.5221487577786418,00s
2009,134.95014686213707,109.4043280826393,2.897343736506322,1100.9906198724022,380,1.9036834973924457,4.015789473684211,0.6420238720787749,0.8724230142185607,5.942799375126701,0.7158398422154217,331.52074540305307,1.3691274070074066,0.4194676023397349,00s
2010,127.92120270354023,118.68484620425122,3.8709876615079923,905.8111127928702,234,2.4153687469642113,3.8547008547008548,0.843828113406691,0.9900971899324514,5.459585514144159,0.8067223251009445,231.68274244419362,1.3727153405273531,0.49432800819568057,00s
2011,148.77392311755463,119.38524438971113,3.608055317760204,1046.3360421504592,290,2.259097485864998,4.1689655172413795,0.8247472759421939,1.0168321374793265,5.673323267171493,0.83900939213148,294.88131986900464,1.4289630465557637,0.5000745348755581,00s
2012,148.0208090407712,122.86494926518445,2.8207259068976307,564.1451813795261,200,1.9995455417566885,4.035,0.7028375073228311,0.9413133238101824,5.303304908059076,0.7856709685884178,188.26266476203648,1.3916054899978978,0.46511311877733824,10s
2013,135.89307425569984,110.01129194825677,2.8077692364567586,800.2142323901762,285,1.9183706697758889,3.8701754385964913,0.6998276985197359,0.9019731439720989,5.655991810819852,0.7558887992229109,257.0623460320482,1.3647674360810504,0.4574638214711228,10s
2014,102.01629078354614,71.73549289094062,2.9746175423840264,571.1265681377331,192,2.054909591244405,3.921875,0.743052632332081,0.873593668372006,5.262690188904886,0.7532705540605955,167.72998432742517,1.3367730771130206,0.4554096424170104,10s
2015,76.04848209502636,59.024336185272226,2.4913929594628565,239.17372410843424,96,1.560747437093139,3.3541666666666665,0.6195683078421012,0.8245551544307258,4.574710978503383,0.6817792465049559,79.15729482534968,1.2478333705427096,0.42770832740413267,10s
2016,105.5050821249705,78.45079355742484,3.032305064987056,636.7840636472819,210,2.1373870755377835,4.257142857142857,0.7577575393670709,0.9766708525743649,5.351858133476067,0.8302460327315868,205.10087904061663,1.455565558987362,0.4754250481047792,10s
2017,102.22341729383223,107.5444241686201,4.399161291427862,765.4540647084478,174,2.705439485857329,4.724137931034483,0.9155465683869293,1.1401368271608059,5.1647859739235145,0.9582679150991508,198.38380792598022,1.4970606570070235,0.5523995690307358,10s
2018,77.39817066745125,75.89324143610206,3.3325341901451857,596.5236200359882,179,2.22813304460813,3.7486033519553073,0.780025326364108,0.9210037186702481,5.19295685089021,0.803956143838423,164.85966564197443,1.3245723222123258,0.49484912747617776,10s
2019,119.31752320479463,99.09691976970113,2.9451877139035285,491.84634822188923,167,1.8046753132230808,3.62874251497006,0.7208745272927095,0.9120529809053838,5.123963979403259,0.7321977603229255,152.3128478111991,1.319231568382184,0.46145912954139534,10s
2020,116.05675165520026,118.80450073151856,3.737201435387137,751.1774885128144,201,2.1679458049345746,3.572139303482587,0.9137111712139385,1.0429013334196542,5.308267697401205,0.8582454697297368,209.6231680173505,1.3124406251149852,0.5456773379607034,10s
