ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,95.23861153128503,89.09298324954938,4.682309902722411,1203.3536449996595,257,2.597620521214184,4.0505836575875485,0.9287287467155302,1.0588431144896864,5.552959584921617,0.8661139596893156,272.12268042384943,1.3877587528975457,0.5287192132828505,00s
2004,94.57990840703074,93.318485504681007,4.6739793375090235,1804.156024278483,386,3.4523343104262505,4.474093264248705,0.9255421708623123,0.9600303119655452,5.958424693029782,0.8442878284761303,370.57170041870046,1.4308082595592984,0.49100677432735546,00s
2005,86.16691032136593,89.63582656438918,4.921378116474006,1875.0450623765964,381,2.9494439756090816,4.79002624671916,0.8997510373990134,1.0529252645817266,5.945420608606575,0.9000142038442541,401.1645258056378,1.5075099499914664,0.5055832597946088,00s
2006,111.96070422108718,110.19429264431318,5.195080362557441,2280.6402791627165,439,3.6183922150203505,4.956719817767654,0.9880397745157655,1.1295665603401817,6.0867747269123065,0.9817321093631223,495.8797199893397,1.5089328472253627,0.5608703641853323,00s
2007,90.73256440966695,88.8951354001627,4.523780768376089,2121.653180368386,469,2.701312344980406,4.669509594882729,0.8182920757954318,1.0780730114713497,6.152732694704104,0.8704487646284993,505.616242380063,1.4967522676436742,0.4870633981928105,00s
2008,108.21253722266707,104.36988811372204,3.900273627506367,1599.1121872776105,410,2.787421406415723,4.2317073170731705,0.9463435459707459,1.0087877376388341,6.018593214496234,0.8886370386398025,413.602972431922,1.411638093001643,0.5389644950748466,00s
2009,97.62532498161023,72.29029861068761,4.285411768026197,1842.7270602512647,430,2.5115064775687874,4.609302325581395,0.805368655991173,1.003381222394678,6.066108090103747,0.859877337770161,431.4539256297116,1.4521859213086148,0.49290351057505927,00s
2010,83.38156629371217,75.62314001714724,4.220365976900528,1654.383462945007,392,2.6427111156346954,5.025510204081633,0.743865051555579,1.0408262604733745,5.973809611869261,0.8478274076369254,408.0038941055628,1.543682105072054,0.46222204236128356,00s
2011,100.97018640994403,85.88423379066553,3.5354298265292963,1672.258307948357,473,2.5323369915313845,3.909090909090909,0.8765761617621637,0.9513948948920129,6.161207321695077,0.8141685329914911,450.0097852839221,1.3701230971104783,0.49299828107780086,00s
2012,79.16097398224014,76.1414175760371,4.126587004061868,1514.4574304907055,367,2.7461102755503055,4.46866485013624,0.7786068627542038,0.9883026417489619,5.908082938168931,0.8113395592885058,362.707069521869,1.4608768450455767,0.4637790327112986,10s
2013,97.93996082197293,82.84385268411576,4.075811985136013,1316.487271198932,323,2.768631680969429,4.3343653250774,0.9080071246082209,1.0735930800047029,5.780743515792329,0.924404457542284,346.77056484151905,1.4456206172107626,0.5392700912109579,10s
2014,108.1182753859701,93.1622848554739,4.277916737205251,1005.310433243234,235,3.149545129898956,4.5574468085106385,0.9864704309236125,1.081413478387827,5.4638318050256105,0.9335458992097413,254.1321674211394,1.4784175851240864,0.5525434629864552,10s
2015,64.76250363037153,47.344790540325114,4.666483127918305,625.3087391410529,134,3.6139549772899504,4.567164179104478,1.0217727201406002,1.0304460909158097,4.90527477843843,0.9758470334505588,138.07977618271852,1.452299971950792,0.5678213854978948,10s
2016,83.06330124275529,72.11190582209161,5.151720947957337,1457.9370282719262,283,3.509631382836755,4.5265017667844525,1.0322307675477977,1.0903268308712422,5.648974238161206,0.9490007078322503,308.5624931365615,1.4355786887127124,0.5632684914572117,10s
2017,97.26430599436495,112.73906634862749,5.585711786479877,1279.1279991038919,229,3.6857550366888634,4.925764192139738,1.0999115195207059,1.1770915553477472,5.438079308923196,1.0410501935418652,269.55396617463407,1.5354812544748009,0.60529701260873,10s
2018,114.12089051100516,120.54320113970745,4.602169251564175,1058.4989278597602,230,3.2198800994471632,4.791304347826087,0.9713353890286752,1.0555649304371735,5.442417710521793,0.9316971003522533,242.7799340005499,1.470493143091241,0.5388082780128045,10s
2019,81.14400279488919,89.16612751261805,3.6278965316469414,928.741512101617,256,2.560810891591572,4.3125,0.7983221964534524,0.9791780013012858,5.54907608489522,0.8585318693833047,250.66956833312918,1.442283960164268,0.49791615189142296,10s
2020,71.32604746949927,86.27154554127735,4.409936727566534,1477.3288037347888,335,2.742504840922161,4.062686567164179,0.9270179461918793,1.0162421683612457,5.817111159963204,0.8594130472955497,340.4411264010173,1.40336888875838,0.5200112869831467,10s
