ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,210.81820974649324,19.826810908943227,2.1940864031191465,8.776345612476586,4,2.039257396316538,3.25,0.7987091468906441,0.9276467273349408,1.6094379124341003,0.8295654048360313,3.710586909339763,1.3701597308354978,0.49113731326414667,00s
2004,208,0,1.077930493648529,1.077930493648529,1,0.6439760198894331,2,0.5366466832411942,0.7313724434402962,0.6931471805599453,0.4971177100856543,0.7313724434402962,1.0986122886681098,0.42960256385753437,00s
2005,223.6528100522334,8.500541924429365,1.5823231496689318,7.911615748344659,5,1.0732933664823883,3,0.6725971763289634,0.8487766433565486,1.791759469228055,0.6946823581241571,4.243883216782743,1.1536641991587544,0.5075638266207789,00s
2006,193.99382850286074,18.88248073103882,2.930475683159321,76.19236776214235,26,2.716257827482352,4.1923076923076925,0.8530103676800171,0.8643377428521611,3.295836866004329,0.8444239095763756,22.47278131415619,1.4355950606741095,0.4901769028799881,00s
2007,271,0,4.162885078713774,4.162885078713774,1,4.293173465929554,2,2.8978920895024487,1.641495547023749,0.6931471805599453,1.6664179650442128,1.641495547023749,1.0986122886681098,1.360435917147131,00s
2008,229.33312910777894,8.642367533619838,1.1116327861901916,4.446531144760766,4,1.9855927279924186,1.75,1.1806227031306273,0.6755048742851844,1.6094379124341003,0.9331969896945878,2.7020194971407374,0.9222198635284841,0.7135684914628374,00s
2010,210.00617978712862,7.112757882076202,3.2434828312732664,22.704379818912862,7,4.63049423825259,3.857142857142857,2.4741237426273615,1.2277695379469196,2.0794415416798357,1.3218510602473,8.594386765628437,1.3906903123579983,0.9184788808795742,00s
2011,226.79463168423572,3.438554917843952,3.7146694006266117,18.57334700313306,5,2.01779152898689,4,0.7108779730668352,1.2306941828059959,1.791759469228055,0.9201755972002187,6.153470914029979,1.4909439898728003,0.509713214950287,00s
2012,233.8217511884632,11.435544759420596,0.9207725686719417,1.8415451373438834,2,1.1806227031306273,1.5,0.6976406882135524,0.5805414990572508,1.0986122886681098,0.6703906992520919,1.1610829981145017,0.8958797346140275,0.4870367948237797,10s
2015,219.83542051559598,6.870625709623907,8.722195073012823,26.16658521903847,3,5.724231287906071,12,1.1665676709505006,2.2693591322426045,1.3862943611198906,1.8922532275064037,6.808077396727814,2.5377749931802134,0.7268303549552364,10s
2016,254,-0,0.18262405359521508,0.18262405359521508,1,4.937149485818987,3,2.719009861755384,0.16773574378443204,0.6931471805599453,1.7812291336508579,0.16773574378443204,1.3862943611198906,1.3134574666617576,10s
2017,259.03936089302334,19.850985877436088,1.821302241501987,14.570417932015896,8,2.1734190671268365,2,1.2208712043737169,0.8404403789866373,2.1972245773362196,0.8606323675751459,6.723523031893098,0.98706908770538,0.6608700768212553,10s
2020,32.171707902095235,0,0.050712734223634,0.101425468447268,2,5.58112550570842,7,0.8173541790904342,0.04905487407198707,1.0986122886681098,1.3374964450467905,0.09810974814397413,1.666102255087602,0.5391255904494187,10s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
