ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,204.49580860507672,6.76292808303931,0.48611337575460223,3.888907006036818,8,0.6439760198905913,2.625,0.4650937921432048,0.3665693352257282,2.1972245773362196,0.48166577845332165,2.9325546818058257,1.0955066586684703,0.37684062622395753,00s
2004,215.44814367592497,29.919049663318695,0.5859583469237983,4.101708428466588,7,1.6559383368615206,2.2857142857142856,1.109069812033796,0.3882802822200626,2.0794415416798357,0.8722573083371142,2.717961975540438,1.0609355817710435,0.7257000040251641,00s
2006,140.09390009472295,63.15502548604165,1.7768839012266633,21.32260681471996,12,2.719009861760274,5.583333333333333,0.9879125952404473,0.7798016592041862,2.5649493574615367,0.9022093921988652,9.357619910450234,1.605645833898714,0.5033117426800267,00s
2007,311.71973762417207,10.865831924755614,0.5039629891363779,1.5118889674091338,3,1.788822277473865,2.3333333333333335,1.162734480358012,0.3982451217219845,1.3862943611198906,1.0072583060995504,1.1947353651659536,1.1337324605540517,0.7596698592740764,00s
2008,193.6477521920669,5.477402910936206,1.049247028847438,15.738705432711571,15,1.1019145229239007,2.6666666666666665,0.5306289016317858,0.5024865371884437,2.772588722239781,0.5482488426475297,7.537298057826656,1.067749930306686,0.3893437942243448,00s
2011,343,0,1.292589166945368,1.292589166945368,1,4.293173465937276,6,1.073293366484319,0.8296818194609522,0.6931471805599453,1.6664179650456716,0.8296818194609522,1.9459101490553132,0.7291383412819018,00s
2012,196.00000000000003,0,0.2165159241631627,0.2165159241631627,1,0.2146586732968637,1,0.2146586732968637,0.19599097330222018,0.6931471805599453,0.19446310999735394,0.19599097330222018,0.6931471805599453,0.19446310999735394,10s
2013,203.45295093582072,10.659488591182571,0.3889841631470859,1.9449208157354294,5,0.3005221426156092,1.8,0.2146586732968637,0.30315643478662846,1.791759469228055,0.2549940300151549,1.5157821739331423,0.9128696382935673,0.19446310999735394,10s
2014,218.710856238036,102.45128817237955,1.1424207581812797,11.424207581812798,10,3.456004640079507,3.7,1.4927721905519402,0.6746797952994208,2.3978952727983707,1.3386265198513436,6.746797952994208,1.3697915504638105,0.8870949144264622,10s
2015,189.7626651350337,3.8674823654195665,2.691806701464824,10.767226805859297,4,1.4489460447538303,5.75,0.44944159721530846,0.9275825977639117,1.6094379124341003,0.7385025201704091,3.710330391055647,1.5556440670178422,0.35774135990431405,10s
2016,260.66794515852666,4.743380612372192,0.6473776464783499,1.9421329394350497,3,1.0017404753853643,2.6666666666666665,0.5485721650919851,0.46173988215435646,1.3862943611198906,0.6588888688487012,1.3852196464630693,1.2296264847046454,0.4356441613526795,10s
2017,298.00000000000006,0,0.2165159241631627,0.2165159241631627,1,1.073293366484319,1,1.073293366484319,0.19599097330222018,0.6931471805599453,0.7291383412819018,0.19599097330222018,0.6931471805599453,0.7291383412819018,10s
2018,251.1566438245611,28.829758491879463,0.6854558335555212,19.192763339554595,28,0.8126364060524128,3,0.48731412873277813,0.42647365217437894,3.367295829986474,0.47385554083709347,11.941262260882612,1.0971748014529386,0.3428076353486503,10s
2019,196.11410797074228,4.278902891201694,0.9487642394978731,9.487642394978732,10,1.5884741823967918,1.4,1.5240765804077328,0.4296776967879661,2.3978952727983707,0.662441229486049,4.296776967879661,0.8435549202375727,0.6293872893283093,10s
2020,212.83692716493383,4.968658615520126,0.9701378442842811,3.8805513771371243,4,1.0732933664843187,3.25,0.48298201491794346,0.5076030359013451,1.6094379124341003,0.6147974293194302,2.0304121436053806,1.1193342036195517,0.3921771402355786,10s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
