ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,227,-0,0.21651592416286466,0.21651592416286466,1,0.2146586732964777,1,0.2146586732964777,0.19599097330197524,0.6931471805599453,0.19446310999703625,0.19599097330197524,0.6931471805599453,0.19446310999703625,00s
2007,206.19112086772427,7.668796204008142,4.410785076185269,79.39413137133485,18,2.4327982973600815,3.8333333333333335,0.8245560420763198,1.0630790417688931,2.9444389791664403,0.8460431722264725,19.135422751840075,1.3264685562262475,0.4964752984547679,00s
2008,144.57121766300165,64.303183419041,1.5857403902345895,31.71480780469179,20,0.7405724228728483,4.3,0.3431344447248161,0.7106394500130445,3.044522437723423,0.46990429639112075,14.21278900026089,1.391282214826226,0.28254413744115936,00s
2009,196.5,0,0.21651592416298387,0.43303184832596775,2,0.2146586732964777,1,0.2146586732964777,0.19599097330207324,1.0986122886681098,0.19446310999703625,0.3919819466041465,0.6931471805599453,0.19446310999703625,00s
2011,318.1420161674215,12.229962886570886,1.0772355245741903,8.617884196593522,8,0.5098143490791347,3.25,0.2763730418692151,0.5024980147508762,2.1972245773362196,0.3541284673827358,4.0199841180070095,1.1193342036195517,0.23776496351387721,00s
2012,232.96966249961085,9.112584654450414,4.135167361449538,20.67583680724769,5,3.391607038084349,7.2,0.8956633143295535,1.1252840076940955,1.791759469228055,0.9642278668183208,5.626420038470477,1.7629255110621393,0.4768218765167256,10s
2013,289,-0,0.8623451949186921,0.8623451949186921,1,0.8586346931859111,1,0.8586346931859111,0.6218365509950043,0.6931471805599453,0.619842182267282,0.6218365509950043,0.6931471805599453,0.619842182267282,10s
2017,262,0,3.2282237283459305,3.2282237283459305,1,1.5026107130753446,6,0.5366466832411945,1.4417819824892468,0.6931471805599453,0.9173344722177835,1.4417819824892468,1.9459101490553132,0.42960256385753454,10s
2019,311.6436794016365,7.623842202334497,1.1144784603920876,6.686870762352526,6,0.5008702376917815,3.6666666666666665,0.24393031056417924,0.5905177661015137,1.9459101490553132,0.3775601836707141,3.543106596609082,1.3275909288549985,0.21697113788674222,10s
2020,111.81171119715297,30.482375742952108,0.3602394566492239,1.0807183699476717,3,0.2146586732964777,3.3333333333333335,0.1699381163597115,0.29711804751174403,1.3862943611198906,0.19446310999703625,0.8913541425352322,1.1945063128187035,0.1554491142545386,10s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2006,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2016,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
