ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,147.91559395320834,142.79288886533865,1.1381662495363196,41635.25957428812,36581,0.7403644009497629,1.7997867745550968,0.47249775113822956,0.5178448896324274,10.50731159513587,0.43014457006791296,18943.283907643825,0.9328773183669076,0.3425626469852842,00s
2004,134.78459299891082,140.20368970682466,1.2958813837762964,39087.670178844426,30163,0.8512191729268203,1.9067731989523589,0.4870998059738523,0.5463884059666642,10.314404439322537,0.45220027812878183,16480.713489172493,0.9587930004773736,0.34930335048756855,00s
2005,161.9500466656106,147.74191911733737,1.1077018857987868,48755.49850343361,44015,0.725703841020919,1.8591843689651255,0.4471828264732256,0.5159801986044389,10.692308483164355,0.42284585309565537,22710.868441574377,0.9485874431270763,0.33147795332779567,00s
2006,189.7259084931735,148.52542539343366,1.2577034474391433,46992.83161011616,37364,0.9396573692778764,1.918665025157906,0.48826973786837125,0.5428959645701888,10.52848971636439,0.444223698758539,20284.764820200533,0.9620365591953516,0.34462532559239095,00s
2007,117.2002760269402,122.69350925219672,1.0608474210565915,40377.97454025599,38062,0.6992508256531543,1.803452262098681,0.4492392780575994,0.5093001933274692,10.546997960654972,0.4210886750366879,19384.983958430133,0.9333635519366015,0.33416593652816506,00s
2008,165.90557809807183,151.4088123158528,1.2399203254359967,44203.15960179329,35650,0.7780639300055409,1.9690603085553997,0.4662564851041979,0.5540032263162226,10.481532475939918,0.4470654436407751,19750.215018173334,0.9778875845065085,0.34310142724877696,00s
2009,185.7216370978945,145.39059089072816,1.1503361322618841,40016.74303299417,34787,0.7314327530550111,1.8912812257452496,0.4582148138853014,0.5303804949778663,10.457027778709655,0.4322618822253009,18450.346278795034,0.9575923897128082,0.3374517510084883,00s
2010,166.9535616024065,152.49838206275996,1.1544603327259433,33679.07128661395,29173,0.7433769734273655,1.9166695231892503,0.4540380217210462,0.5339610331995769,10.281033180646158,0.4357645834969804,15577.245221531257,0.963252259328439,0.33690348506363066,00s
2011,142.2764974904552,141.12405075196074,1.0535739787224263,40210.70447192013,38166,0.6829245948665879,1.8546874181208406,0.44047921405819207,0.5114805418971698,10.549726546894638,0.4178814918302887,19521.166362047385,0.9464897428024601,0.32985841910812264,00s
2012,115.24157928927704,135.97494680067226,1.2318324500842333,47681.770477860504,38708,0.766466997872604,1.9293686059729254,0.46575834992890586,0.5435077581080147,10.563827410119956,0.4423628905162484,21038.09830084503,0.964133344266622,0.34229807419185715,10s
2013,162.3473457194672,146.45382283990668,1.0252793573727015,43760.97353138165,42682,0.6755396259437106,1.8173468909610608,0.429349386405341,0.4973536076602999,10.661555993479634,0.4082019647774323,21228.04668215692,0.9352770114192872,0.3236233615269505,10s
2014,134.3812227760371,130.13623646272066,1.2227867018733451,40124.52283527195,32814,0.7537715697342574,1.937435241055647,0.4483556230723611,0.5331667303558828,10.398641006907823,0.4327064418894109,17495.333089897937,0.9679323662699169,0.333206089541887,10s
2015,135.76318747542823,131.229246504257,0.9938891009537488,32532.971941519067,32733,0.6562654633794152,1.7826963614700762,0.4216484874048862,0.48545148103261665,10.39616957206583,0.4009185752467829,15890.28332864064,0.9275441716852062,0.31893430159186203,10s
2016,101.54305414740598,137.08400691776413,0.9848911829672249,60877.10891038715,61811,0.6831216827228749,1.6521007587646213,0.4512405078292159,0.47205917307953593,11.031852799353585,0.40249756139485665,29178.449547219196,0.8888838739030117,0.3313289584949607,10s
2017,167.9643873698503,139.45233749303108,1.1925733084636247,43955.86700335229,36858,0.7313700198755128,1.9082424439741712,0.4445488745323267,0.5252939901192683,10.514855101175929,0.425227026804979,19361.285887815986,0.9607823539158141,0.3301413563014923,10s
2018,128.04945095193685,130.02575393716074,1.0248479765802623,29656.025898303054,28937,0.6666829417873666,1.7726094619345474,0.4322577092451494,0.4889091930542473,10.272910889297027,0.4051158297162338,14147.565319410753,0.923227093146676,0.3236406913464558,10s
2019,152.94693021649402,144.53647865528941,1.0925903524931924,37669.237582907794,34477,0.6721928922211214,1.9225570670301941,0.4155465385248094,0.51061142589382,10.448076718454924,0.4098972679247901,17604.350130541236,0.9631813383376909,0.3172149458051582,10s
2020,138.07102060183485,137.2278351430161,1.220896665506012,37878.31904732403,31025,0.7468184540515226,1.9513295729250604,0.4548666181115658,0.5406267787619541,10.342580841624276,0.43595346661579515,16772.945811089623,0.9734599885023171,0.33625523167575855,10s
