ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2005,352.0972319871386,23.245314834282084,2.196564820916748,10.98282410458374,5,0.6010442852301371,4.8,0.31662154311230434,0.7907572708420032,1.791759469228055,0.4280369565869641,3.953786354210016,1.3408828709928213,0.27051459518286547,00s
2006,11,-0,0.21651592416286466,0.21651592416286466,1,0.2146586732964775,1,0.2146586732964775,0.19599097330197524,0.6931471805599453,0.19446310999703606,0.19599097330197524,0.6931471805599453,0.19446310999703606,00s
2007,129.43190676264655,15.987492362848574,0.25244680728467306,1.5146808437080381,6,0.2504351188458904,1,0.2504351188458904,0.22318293648807638,1.9459101490553132,0.22158541671165974,1.3390976189284582,0.6931471805599453,0.22158541671165974,00s
2009,15.000000000000002,1.9301146490769125e-15,6.536847697302341,6.536847697302341,1,3.649197446040118,10,1.8031328556904116,2.0198040173203355,0.6931471805599453,1.5366946124540717,2.0198040173203355,2.3978952727983707,1.030737668737052,00s
2011,356,-0,0.4321012228927612,0.4321012228927612,1,0.429317346592955,1,0.429317346592955,0.35914275241791616,0.6931471805599453,0.3571969502847781,0.35914275241791616,0.6931471805599453,0.3571969502847781,00s
2014,137.79948288423972,1.4729276423667934,0.5398938722572326,1.0797877445144652,2,0.32198800994471627,2,0.2504351188458904,0.40916247946121165,1.0986122886681098,0.27583003014090707,0.8183249589224233,1.0397207708399179,0.22308211790413596,10s
2016,339,-0,0.21651592416286466,0.21651592416286466,1,0.2146586732964775,1,0.2146586732964775,0.19599097330197524,0.6931471805599453,0.19446310999703606,0.19599097330197524,0.6931471805599453,0.19446310999703606,10s
2018,332,-0,0.1064305250172615,0.1064305250172615,1,0.2146586732964775,1,0.2146586732964775,0.10113909048282238,0.6931471805599453,0.19446310999703606,0.10113909048282238,0.6931471805599453,0.19446310999703606,10s
2020,270.0881190615298,6.5393226375642275,0.8290356681241989,10.777463685614585,13,0.3632685240401928,2.769230769230769,0.21495006516068085,0.3728486154003976,2.6390573296152584,0.26768273911319845,4.847032000205169,1.017156995781367,0.19258991781455415,10s
2003,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2017,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
