ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,212.7433302117894,15.020314521814818,0.6836174047435124,4.101704428461074,6,0.46509379214320473,1.5,0.45316831029337895,0.47416500050691424,1.9459101490553132,0.36114038860760683,2.8449900030414854,0.876249228671297,0.3537237408742739,00s
2004,196.33333333336367,0,0.21651592416318255,0.6495477724895476,3,0.2146586732968637,1,0.2146586732968637,0.19599097330223655,1.3862943611198906,0.19446310999735394,0.5879729199067096,0.6931471805599453,0.19446310999735394,00s
2006,251.1260481337965,12.926753172632008,1.2102713719685076,12.102713719685076,10,1.0732933664843185,1.7,0.7656159347588138,0.658597653380891,2.3978952727983707,0.6308235242175375,6.5859765338089105,0.9534161491043837,0.51481444444503,00s
2007,283.87574074039685,2.2400615196449305,0.5758247553799947,1.727474266139984,3,0.5008702376926819,1.3333333333333333,0.39354090104425016,0.42898400214840593,1.3862943611198906,0.39050074751692837,1.2869520064452178,0.8283022165960001,0.32708754138027835,00s
2008,155.8266905009597,11.282846201990717,1.7067149019257226,5.120144705777167,3,0.8586346931874548,2.3333333333333335,0.6296654416708002,0.7515638547867874,1.3862943611198906,0.5424401025804385,2.2546915643603622,1.0593512767826485,0.453458208677892,00s
2009,189.00000000000003,0,0.4321012228927612,0.4321012228927612,1,0.4293173465937274,1,0.4293173465937274,0.35914275241791616,0.6931471805599453,0.35719695028531856,0.35914275241791616,0.6931471805599453,0.35719695028531856,00s
2010,241.66666666666865,0,0.21651592416318255,0.6495477724895476,3,0.2146586732968637,1,0.2146586732968637,0.19599097330223655,1.3862943611198906,0.19446310999735394,0.5879729199067096,0.6931471805599453,0.19446310999735394,00s
2011,267.4111019218273,57.12232981282859,1.151389231540978,4.605556926163912,4,0.9122993615116707,1.75,0.6708083540526991,0.6262096437258365,1.6094379124341003,0.5967708124526171,2.504838574903346,0.9678002527269727,0.4872101239014075,00s
2012,227.42400198303602,30.523141864762817,0.4511677590759065,4.0605098316831585,9,0.47701927399303046,1,0.47701927399303046,0.3605885123868264,2.302585092994046,0.3734619616314834,3.2452966114814377,0.6931471805599453,0.3734619616314834,10s
2013,230.30931598361104,1.9557556729830239,0.6548151215305328,1.3096302430610656,2,0.2146586732968637,3.5,0.2146586732968637,0.49614207791055465,1.0986122886681098,0.19446310999735394,0.9922841558211093,1.4978661367769954,0.19446310999735394,10s
2015,210.48715299815822,21.11831699227563,1.009781326057136,4.039125304228544,4,0.8586346931874549,1.25,0.778137690701131,0.6492209180853732,1.6094379124341003,0.5927751863027808,2.5968836723414928,0.7945134575869864,0.5548565897472345,10s
2017,170.70566353757363,5.3211109362515705,0.2805400129183928,1.6832400775103569,6,0.2862115643958183,1,0.2862115643958183,0.239983954186503,1.9459101490553132,0.24490554334552142,1.439903725119018,0.6931471805599453,0.24490554334552142,10s
2018,162.00000000000003,0,0.21815812657356262,0.21815812657356262,1,0.4293173465937274,1,0.4293173465937274,0.19733998563423863,0.6931471805599453,0.35719695028531856,0.19733998563423863,0.6931471805599453,0.35719695028531856,10s
2020,195.19862664850518,3.5862407848129436,0.5403571849749088,1.0807143699498176,2,0.4293173465937274,1.5,0.3756526782695115,0.4295808890869058,1.0986122886681098,0.35719695028531856,0.8591617781738116,0.8958797346140275,0.3181668110203879,10s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2016,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
