ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,225.20836462877762,50.25105517242855,0.46709010946777,7280.066446164663,15586,0.3869392676937884,1.2138457590145002,0.34596844637002194,0.33352657772638966,9.65419251248905,0.29908656615707274,5198.345240443509,0.7720322862762785,0.2805896077608962,00s
2004,255.795427951062,37.31401980695211,0.5027407199130444,24243.162995646828,48222,0.40293794926559473,1.2341047654597486,0.35299345018534983,0.34357182678555787,10.78359136464851,0.3046838936811834,16567.72063125317,0.7781647546618868,0.28376385629067374,00s
2005,200.03829903839133,79.81680860839505,0.4985162071982593,7463.2861379651395,14971,0.40679187897303587,1.219424220158974,0.3587507939060017,0.3416620924587712,9.61393706902432,0.30719582956160546,5115.023186200264,0.7737596894558748,0.28700795566528325,00s
2006,264.13096514967356,33.93102869709077,0.5334611920773747,30428.09293490138,57039,0.41948743276895123,1.248671961289644,0.36215714671293747,0.3519417890065777,10.951508055088178,0.31113579864409546,20074.40770314619,0.7826312088386688,0.2884442437703924,00s
2007,238.06019355033195,56.92926748978532,0.49415747280852607,3295.5361861600604,6669,0.4057882582476474,1.2165242165242165,0.3550987911082778,0.33966849044177044,8.80537513890967,0.3051248124182966,2265.249162756167,0.7725162229512178,0.2846448781514746,00s
2008,211.50706145708708,58.62385999123259,0.4887942184280305,2210.327455731554,4522,0.39708531670240266,1.2308712958867758,0.3489369843165621,0.3376948009396052,8.416930769477844,0.30114271409077464,1527.0558898488946,0.7779695668325031,0.2809343783448408,00s
2009,241.9869956627174,38.43339416079452,0.5082253771591139,17947.979194374107,35315,0.4106323469699256,1.223729293501345,0.3608356439559837,0.34589793157038684,10.472091398021472,0.30866755602748075,12215.38545340821,0.7749694661291785,0.2881051031643426,00s
2010,194.35829939279142,92.55594890671198,0.4765613934189141,1127.5442568291508,2366,0.3942062280113579,1.2016060862214708,0.3521817573980412,0.33326553116070035,7.769378609513984,0.30093534948631245,788.5062467262171,0.7672113121300084,0.28383840033636276,00s
2011,230.59898037805553,40.80237191954911,0.47002398584966665,8098.043252203906,17229,0.3830316090989309,1.2345464043183005,0.3417949910639804,0.3350180677688812,9.754407329521975,0.2971117579864593,5772.026289590054,0.7783629971937908,0.27798613401653754,00s
2012,250.37238043325291,41.384095015124316,0.4865755382956784,8821.127933762355,18129,0.39371259009289067,1.2208064427160903,0.3492158397451203,0.33757564007889335,9.805323303748898,0.30125903224297734,6119.908778990258,0.7734366897563163,0.28188541410561907,10s
2013,223.66758891557535,51.90383912440601,0.5222490947805007,5668.4916747475545,10854,0.421861448322775,1.2213009028929427,0.3647270216731709,0.34538491131092314,9.292381082312392,0.3094711552317806,3748.8078273687597,0.7742015367963091,0.2884236594038341,10s
2014,240.38279195731252,74.68442244279852,0.5354585486950394,20554.64730875648,38387,0.43497082091323996,1.2272123375100945,0.37874697975070964,0.3556768365290304,10.555500189737518,0.31896932722307203,13653.36672383989,0.7756763602618816,0.29697637092088686,10s
2015,265.7629016633078,34.44782908485799,0.5520758106806639,25280.655522688965,45792,0.42964548485217385,1.243361285814116,0.3709744966980674,0.3552691601299316,10.731886519993346,0.3160079989495215,16268.485380669828,0.7803489569318189,0.2932351490821334,10s
2016,164.53795666058608,104.75406392167348,0.5891117774539872,2315.798397171624,3931,0.46262739256449487,1.2551513609768508,0.3912311054872881,0.36973340062951615,8.276903481267057,0.328549313022864,1453.421997874628,0.784704359450287,0.3036180386721942,10s
2017,242.69069884600827,36.292177793620525,0.540900389031603,1487.4760698369084,2750,0.43407886625594877,1.2294545454545454,0.37439659979031076,0.3564219182597924,7.919719760924575,0.31900882297310273,980.1602752144292,0.7772406545782592,0.29558934574578016,10s
2018,252.0485183032593,45.116210112406534,0.6090446444454471,6923.010473411398,11367,0.4743188085860232,1.2582915457024721,0.3968273215825281,0.37401907870080603,9.338557669776936,0.3320436423093769,4251.474867592062,0.7854701334108223,0.30546884094395815,10s
2019,261.39905196186845,40.118656542739984,0.6159288215599068,20139.640607365833,32698,0.4719037681998426,1.272585479234204,0.3943175004081081,0.3783727646751025,10.39509977537798,0.33351407170231123,12372.032659346502,0.7902548916859777,0.30556373516261764,10s
2020,226.02060702457956,78.43986201430883,0.5686344419337491,1611.510008440245,2834,0.4538584228633759,1.2533521524347213,0.39091582824750554,0.3672078526424995,7.949797216161852,0.32855956583691603,1040.6670543888436,0.7841448536541048,0.3033403389704076,10s
