ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,183.9061054283493,66.02514279813225,1.6829655344251877,2303.979816628082,1369,1.3017504059221021,3.2191380569758947,0.6230763384079866,0.5885259748018171,7.222566018822171,0.5814911075163511,805.6920595036876,1.1948506420360059,0.4132552956843837,00s
2004,147.86799750631192,90.47866295851203,1.700846799094762,2881.234477666527,1694,1.5287144242318222,3.39728453364817,0.6871731821921393,0.6003342937537152,7.43543801981455,0.6265481786194934,1016.9662936187935,1.2211568983020455,0.4370237871930925,00s
2005,180.65269122068952,98.18194514297564,1.558985540771244,2877.8873082637165,1846,1.440050384671495,3.438786565547129,0.72115379044821315,0.6007351701635951,7.52131798019924,0.6632862236237975,1108.9571241219967,1.2265687534558674,0.4741645850595834,00s
2006,179.27272891896948,101.54443275909381,1.741204269805843,3158.544545427799,1814,2.005058743294111,3.2816979051819186,0.8179003184674775,0.6124616144690618,7.503840746698951,0.697394762776341,1111.005368646878,1.207689319279608,0.4919914901047197,00s
2007,174.28531239733456,76.5812384423151,1.501815431061911,3171.834190402756,2112,1.3207809940756285,3.022253787878788,0.7204497716577576,0.5584612103834552,7.655864017616056,0.625616393602433,1179.4700763298572,1.1438614595873904,0.46780104082128326,00s
2008,197.09707136685736,134.8721466658708,2.0874589246253104,2651.0728342741445,1270,2.6888111612601313,3.225984251968504,0.9646303215457612,0.6027575255338697,7.147559271189454,0.7419367623558367,765.5020574280146,1.1852332253250346,0.5434619018825273,00s
2009,157.7382897706464,86.31737175293327,1.0897451540632503,1555.0663348482583,1427,1.1372246461957751,2.688156972669937,0.6494140230587924,0.49586818913847386,7.2640301428995295,0.5703520961682357,707.6039059006022,1.0818114395528067,0.43350900634708883,00s
2010,211.91674879861588,75.68719976260029,1.4439848509254745,3442.459884606331,2384,1.1648654599146526,3.214765100671141,0.6217965360860557,0.5829032665748523,7.776954403322442,0.6030021270552417,1389.6413875144476,1.1924593949875637,0.4314227291626914,00s
2011,146.73174127866787,103.50882634720597,1.678612338652723,2672.350843135135,1592,1.9394788672716927,3.0113065326633164,0.9120893885995603,0.5774207132514737,7.373374309910049,0.6657829141990462,919.2537754963462,1.1510151249746836,0.49411765654350537,00s
2012,162.9055002928294,92.19672367732154,1.2138931404987936,1056.0870322339506,870,1.1628578474095395,3.2517241379310344,0.6410394796060673,0.5592634106674651,6.769641976852503,0.6284393710510067,486.5591672806947,1.2007260278017589,0.4529189128064773,10s
2013,162.37849612895027,103.78109181507199,1.2752911142679473,1935.891911458744,1518,1.5866075852348351,2.961133069828722,0.8077353481670523,0.5489198307865302,7.325807502595773,0.6924806675185915,833.2603031339529,1.138354207620217,0.516999239049496,10s
2014,202.70760737268793,101.75600760372186,1.1263763177126924,1870.9110637207823,1661,1.3724714692405737,2.7874774232390127,0.7523898168015756,0.5132539827416726,7.415776975415394,0.6545361497048808,852.514865333918,1.113842280875875,0.4939581497761365,10s
2015,131.99471638208726,81.74944670180327,1.1670234580053818,1938.4259637469393,1661,1.3971552781506442,2.9578567128236,0.7204593173223944,0.5335749458045135,7.415776975415394,0.6368469996517098,886.267984981297,1.1439784343807178,0.4661267253920173,10s
2016,163.5340062372458,108.64784340610629,1.2369193332643273,2085.445995883656,1686,1.403302430055621,3.170818505338078,0.743789146856886,0.5583818625044265,7.430707082545968,0.672767816246489,941.4318201824631,1.1758738764198535,0.49321154419842167,10s
2017,175.47268300215043,106.65123367443572,1.0492323795198855,2029.2154219914587,1934,1.1587572643305206,2.9932781799379526,0.6718312512213236,0.5074425454119647,7.5678626054638825,0.6237109933385127,981.3938828267397,1.1395175072048136,0.46867108003500196,10s
2018,162.07042224965855,102.19054338985468,0.993196724022286,1450.0672170725375,1460,1.5550991694909893,2.611643835616438,0.7692880360718457,0.47440079142563096,7.2868764117507,0.6247111565445294,692.6251554814212,1.0852332943561522,0.4830649500904876,10s
2019,186.89046225428493,89.25495757011774,1.1356182750666852,2965.099316199115,2611,1.3766600859247486,3.0317885867483723,0.7629988185921339,0.5389556959917869,7.867871490396322,0.6781680565500738,1407.2133222345558,1.1560730188856763,0.5077067492929102,10s
2020,145.5685133731142,86.74619212993797,1.2483549649843826,2923.6473279934244,2342,1.407288330398855,2.8573868488471392,0.7403024253579988,0.5343399231231887,7.759187438507795,0.6450331607112315,1251.4240999545077,1.1220051928691837,0.4835105861753907,10s
