ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,79.8630944632611,16.342270962444143,3.3828449757732137,33.82844975773214,10,1.3094179071108683,4.3,0.39777444710093823,0.6777934971174046,2.3978952727983707,0.4884151468744552,6.777934971174045,1.30382162581457,0.29512708486765943,00s
2004,84.20791572031399,14.389467519551115,3.470988845774233,27.767910766193864,8,2.092922064644421,4.25,0.4787335620089429,0.9393923022754348,2.1972245773362196,0.7490069740687978,7.515138418203478,1.4436330639482626,0.34866333752327394,00s
2005,91.4409195635047,17.542482740816855,2.996139478327155,35.95367373992586,12,2.0213691735454664,4.333333333333333,0.6186343709597114,0.9588347021827194,2.5649493574615367,0.7607492327825041,11.506016426192632,1.3252433557744405,0.4037666913278992,00s
2006,77.1592297631445,3.0712328798769626,2.704635513597541,24.34171962237787,9,1.3833558945797884,2.888888888888889,0.4633901518789439,0.7264184954537509,2.302585092994046,0.5795311834479535,6.537766459083758,1.0551579070067767,0.3466880942518758,00s
2007,84.42170027325143,25.465119476546427,4.115543756563067,65.84870010500907,16,3.018637593237146,2.875,0.8404923763392114,0.8085417331062572,2.833213344056216,0.71328431800101,12.936667729700115,1.046837591860871,0.4735963888194289,00s
2008,80.23736736821554,15.20826128814808,1.7801509283858725,67.64573527866315,38,0.9885596796566092,3.4210526315789473,0.47148623666513556,0.634732018508695,3.6635616461296463,0.47533880393830097,24.11981670333041,1.1886607999425418,0.30659270148665074,00s
2009,76.12453278341681,6.483459810103863,3.0300059818107896,39.39007776354026,13,1.5686595356309272,4.538461538461538,0.6841056832901447,1.002715838405603,2.6390573296152584,0.7381172323603615,13.035305899272839,1.3793707779819142,0.441966866869745,00s
2010,79.41646143455992,6.665780672625974,3.3997033002026518,50.995549503039776,15,2.2324502022873824,3.2,0.6227373045961395,0.76452709700591,2.772588722239781,0.6210551508709601,11.46790645508865,1.1449523109159467,0.40206477989202444,00s
2011,74.32913374816388,13.246935331533052,2.7247791649490223,95.36727077321578,35,1.153023730851725,3.5428571428571427,0.4995323269552813,0.7376457210245964,3.58351893845611,0.5456280822856621,25.817600235860873,1.300720069180213,0.33462812763566824,00s
2012,82.52084412406006,16.109940331346078,1.597053191672914,27.14990425843954,17,0.7954997892766126,3.176470588235294,0.36867868563693573,0.6268449403264218,2.8903717578961645,0.44698931317356866,10.65636398554917,1.177704785772512,0.28706996686467584,10s
2013,79.11626058370283,29.55598052349398,1.2484319878625638,77.40278324747896,62,0.8586346931874548,2.564516129032258,0.4110175868965923,0.5643456621966241,4.143134726391533,0.4475345249590924,34.989431056190696,1.0886617607045517,0.3146316630709087,10s
2014,69.31028833593645,14.39756659110602,2.2445612070005168,123.45086638502842,55,1.096710676298522,3.4727272727272727,0.35591247202507537,0.6272577007193214,4.02535169073515,0.4562414668973482,34.499173539562676,1.1513726356867087,0.2795863223468511,10s
2015,70.40638491303184,12.43745210420174,4.039958200084224,52.519456601094916,13,1.1393421890371997,6.769230769230769,0.46697503621769343,1.0876091680293165,2.6390573296152584,0.6226867871414226,14.138919184381116,1.7250462407549996,0.3428764350523537,10s
2016,61.69421018327272,15.716421989789888,4.144692404306054,33.15753923444843,8,1.529443047240154,8.375,0.42371499110933125,1.3457288377718468,2.1972245773362196,0.8092454192043461,10.765830702174775,2.0536367712507597,0.3367546674555126,10s
2017,67.56285225378213,5.993999558194141,2.582189118336743,25.82189118336743,10,1.5455424477374187,3.5,0.45813984233726734,0.8408677150289257,2.3978952727983707,0.6427439093673407,8.408677150289256,1.2124428656489663,0.36075550666444356,10s
2018,75.41729695135719,12.959498359008808,3.0742484386470097,92.22745315941029,30,1.7172693863749096,3.3333333333333335,0.47442974079135397,0.7126913147873285,3.4339872044851463,0.5817325574150682,21.380739443619852,1.2031917294784216,0.33215402667868793,10s
2019,66.65641498871814,14.913525883569896,0.9964718842588225,102.6366040786587,103,0.5585293635297036,2.3883495145631066,0.320795461760313,0.4532520216574409,4.6443908991413725,0.3622194162084898,46.68495823071641,1.0165626530045413,0.26014930418994336,10s
2020,78.54676177100228,10.38386048901485,1.943668840776338,71.9157471087245,37,1.2299361821333812,2.810810810810811,0.42267628894934656,0.592691141822044,3.6375861597263857,0.48385642793509764,21.929572247415628,1.0845758034167718,0.306110308630624,10s
