ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2005,167,-0,0.8724822788110971,0.8724822788110971,1,15.455424477346392,4,4.829820149170748,0.627264972445147,0.6931471805599453,2.8006551783157847,0.627264972445147,1.6094379124341003,1.7629861506877123,00s
2010,148,0,2.3455144451930523,2.3455144451930523,1,15.455424477346392,1,15.455424477346392,1.2076204770293661,0.6931471805599453,2.8006551783157847,1.2076204770293661,0.6931471805599453,2.8006551783157847,00s
2013,156.74299568630298,5.103188479903129,1.042756137482315,2.08551227496463,2,7.727712238673197,4,1.9319280596682993,0.5667484510594525,1.0986122886681098,1.7734051376460067,1.133496902118905,1.3862943611198906,1.0509375726121803,10s
2015,161,0,1.0779304936473368,1.0779304936473368,1,6.43976019889433,1,6.43976019889433,0.7313724434397223,0.6931471805599453,2.006838616994153,0.7313724434397223,0.6931471805599453,2.006838616994153,10s
2017,198,0,2.5137728800661563,2.5137728800661563,1,7.727712238673196,3,5.151808159115465,1.256690354797954,0.6931471805599453,2.166503278082713,1.256690354797954,1.3862943611198906,1.8167460482183408,10s
2020,179.99999999999997,0,0.8373769306475818,0.8373769306475818,1,6.43976019889433,4,4.829820149170748,0.6083389733435047,0.6931471805599453,2.006838616994153,0.6083389733435047,1.6094379124341003,1.7629861506877123,10s
2003,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2006,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2007,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2016,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
