ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,161.95394629694073,109.45222551715399,0.9556732075746673,721.5332717188738,755,0.6266327363515715,1.8251655629139072,0.4158068126109541,0.4966794194438966,6.628041376179533,0.40035176914671855,374.99296168014195,0.9447188295071743,0.31985728947070263,00s
2004,182.40920436555882,84.15006880565271,1.0281275713505271,300.2132508343539,292,0.6704407878300942,1.797945205479452,0.43361699622564254,0.4975026017612804,5.680172609017068,0.4026804749412735,145.2707597142939,0.9300679005161778,0.3267544854641888,00s
2005,166.2823368235457,111.58734134976184,1.2088186057800603,598.3652098611299,495,0.7467519907404733,1.6888888888888889,0.4506911485143828,0.4828182465085247,6.206575926724928,0.40933974968152603,238.9950320217197,0.9011902863014231,0.32722444025933706,00s
2006,118.6082695062212,109.28027305921854,0.75059424899683,153.87182104435016,205,0.505756776596091,1.829268292682927,0.35233607588138205,0.4493818038752718,5.327876168789581,0.3556908046862582,92.12326979443073,0.9371649373487846,0.2867222203316725,00s
2007,259.0082041238981,61.84488245854004,1.3270151398033208,467.1093292107689,352,0.8744901633725818,1.7954545454545454,0.46791141873167696,0.5040221158138946,5.8664680569332965,0.4243820676198252,177.41578476649087,0.9205752277860225,0.3344640015517643,00s
2008,128.67027023226842,101.62832726397198,1.1047564694826248,383.3504949104708,347,0.6872789222835347,1.8011527377521614,0.42379776637499067,0.5015383746945138,5.8522024797744745,0.4055589308119039,174.03381601899628,0.9352670630767934,0.32398567092092334,00s
2009,77.47294253716326,40.47100558056431,1.0609718736917997,329.96225271814967,311,0.6122258624243587,1.7845659163987138,0.3851601960908478,0.4525174625857624,5.7430031878094825,0.36577631147628115,140.73293086417212,0.9237442502587623,0.29204179121715335,00s
2010,216.052599076818,81.27704189097577,0.9076156545296558,206.02875357823186,227,0.6619430454076399,1.6079295154185023,0.41003581626292057,0.43479396577510193,5.429345628954441,0.37100040848593263,98.69823023094814,0.8793678890253308,0.3079571172822608,00s
2011,92.61587185394724,78.3540402979774,1.2955086144213412,595.933962633817,460,0.7947037404867417,1.826086956521739,0.4702455725894876,0.5237114229877666,6.133398042996649,0.42736933954351924,240.90725457437267,0.9369768134090984,0.33874395446302163,00s
2012,115.38076659188064,88.394006499981,0.9682400725106914,398.9149098744048,412,0.6627326029930083,1.825242718446602,0.40270954560164585,0.4815876480611075,6.023447592961033,0.394805573924948,198.41411100117628,0.9340484718701281,0.30845701743728515,10s
2013,140.7537803571275,93.57475134066166,0.9410447229743828,402.7671414330359,428,0.6279267732878268,1.75,0.4142489777488493,0.4577577603751714,6.061456918928017,0.38376900301417655,195.92032144057336,0.9142224191956733,0.3109950330734271,10s
2014,145.68688045250255,102.6621942514703,0.9135065751522536,288.6680777481121,316,0.59438714915955,1.7563291139240507,0.39203107681567695,0.4570200510796686,5.75890177387728,0.36915539117804036,144.41833614117527,0.9126738515098455,0.3031655404072753,10s
2015,83.09143182785324,64.2026821261989,0.9178818714880055,547.0575954068513,596,0.5852690337362013,1.7600671140939597,0.37640107323659033,0.45130600105370067,6.391917113392602,0.37047559429608057,268.9783766280056,0.9136084260656997,0.2958396195304171,10s
2016,185.6551214562743,95.1746036818061,0.904438844417975,233.34522185983755,258,0.5990474603622629,1.748062015503876,0.4025890137260971,0.4689587787671044,5.556828061699537,0.38432384662690067,120.99136492191295,0.9140149611277502,0.3085771280697076,10s
2017,90.39062255744057,90.74498486845172,1.212579705533113,130.95860819757618,108,0.7214916519131606,1.9074074074074074,0.430337164584476,0.5138869811201676,4.6913478822291435,0.4131014864797676,55.4997939609781,0.958064631471482,0.3236765776482297,10s
2018,159.1099526716786,108.42394091640595,1.3816092577027823,175.46437572825337,127,0.6896121157871089,1.9606299212598426,0.39074873586885023,0.49391748783350853,4.852030263919617,0.39086073475214167,62.727520954855585,0.9640266338494066,0.29425696316931704,10s
2019,116.1146119554057,88.78424833049168,1.2331791734153201,368.72057285118075,299,0.6963843247410809,1.7224080267558528,0.42469187780859236,0.46518462265017474,5.703782474656201,0.3864900030105417,139.09020217240226,0.9008730520238641,0.30939661651939,10s
2020,246.951155208662,50.21206960360391,1.5177238921080052,311.1333978821411,205,0.7476404523594389,1.7414634146341463,0.44057118795502087,0.46293696039471444,5.327876168789581,0.3713076410562863,94.90207688091645,0.901517359716429,0.3148820297497598,10s
