ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,248.11613491241656,45.79781442774271,0.7548614206977983,4.529168524186789,6,0.500870237691781,2.5,0.31048843816097643,0.4945650387466888,1.9459101490553132,0.3866985674352209,2.967390232480133,1.0769113627256195,0.26427891514188256,00s
2004,290,-0,0.21651592416250703,0.21651592416250703,1,0.2146586732964775,1,0.2146586732964775,0.19599097330168117,0.6931471805599453,0.19446310999703606,0.19599097330168117,0.6931471805599453,0.19446310999703606,00s
2006,223,0,4.087785046964526,4.087785046964526,1,4.078514792633073,1,4.078514792633073,1.6268425780865299,0.6931471805599453,1.6250188551888984,1.6268425780865299,0.6931471805599453,1.6250188551888984,00s
2013,144.2528161299164,1.379312668357273,11.263499662924895,56.31749831462448,5,5.624057240367712,3.8,1.5539754670427144,1.2422791282811794,1.791759469228055,1.018496377584507,6.211395641405897,1.3523145537608112,0.6123004745841053,10s
2016,125,0,1.723759764403641,1.723759764403641,1,0.6439760198894326,7,0.2453241980531172,1.002013192182113,0.6931471805599453,0.49711771008565403,1.002013192182113,2.0794415416798357,0.21939589606112878,10s
2017,255,-0,0.21651592416250703,0.21651592416250703,1,0.2146586732964775,1,0.2146586732964775,0.19599097330168117,0.6931471805599453,0.19446310999703606,0.19599097330168117,0.6931471805599453,0.19446310999703606,10s
2020,144.31807658024627,20.381842906950414,2.5114593167786,7.5343779503358,3,1.7172693863718207,3.3333333333333335,1.073293366482388,1.1594680117287297,1.3862943611198906,0.9519158535056966,3.478404035186189,1.290400336969297,0.6668776496258599,10s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2007,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
