ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2004,156,0,0.21651592416262624,0.4330318483252525,2,0.2146586732964775,1,0.2146586732964775,0.1959909733017792,1.0986122886681098,0.19446310999703606,0.3919819466035584,0.6931471805599453,0.19446310999703606,00s
2006,199.3573625427463,26.54503592163993,0.4862292039326429,1.9449168157305716,4,0.42931734659295506,1.25,0.42931734659295506,0.38431432339492305,1.6094379124341003,0.34149133813653293,1.5372572935796922,0.7945134575869864,0.34149133813653293,00s
2008,180.99999999999997,0,0.21651592416238785,0.21651592416238785,1,0.2146586732964775,1,0.2146586732964775,0.19599097330158316,0.6931471805599453,0.19446310999703606,0.19599097330158316,0.6931471805599453,0.19446310999703606,00s
2015,178.7769806756162,15.88982932426891,0.32430857352713743,1.9458514411628245,6,0.32198800994471627,1,0.32198800994471627,0.2737464735924328,1.9459101490553132,0.2720278500597627,1.642478841554597,0.6931471805599453,0.2720278500597627,10s
2016,212,-0,0.43210122289228436,0.43210122289228436,1,0.429317346592955,1,0.429317346592955,0.35914275241758326,0.6931471805599453,0.3571969502847781,0.35914275241758326,0.6931471805599453,0.3571969502847781,10s
2018,205.79999999999876,28.083251887727297,0.21651592416248322,1.082579620812416,5,0.2146586732964775,1,0.2146586732964775,0.19599097330166157,1.791759469228055,0.19446310999703606,0.9799548665083079,0.6931471805599453,0.19446310999703606,10s
2003,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2007,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2017,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2020,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
