ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,133.2408192509417,53.795537310930996,2.1306408343679433,3948.0774660837988,1853,0.9267508830949324,3.3588774959525094,0.4206191091970445,0.6742611340678138,7.5251007461258,0.488610105034254,1249.405881427659,1.2138686562767398,0.31526242928012516,00s
2004,136.78737089621504,97.50286590134776,1.9041426860133916,2102.1735253587844,1104,0.8708842370440694,3.322463768115942,0.3776785124011946,0.6236299843640424,7.007600613951853,0.4545101223639497,688.4875027379028,1.1800847305101236,0.2906716183322676,00s
2005,135.22545067238332,41.52527016739217,3.262128917728614,7261.498970863895,2226,1.2146633642620375,3.6675651392632527,0.5004920112114299,0.7626670799742845,7.708410667257367,0.5426769733915685,1697.6969200227572,1.2724286663310167,0.3441523740339527,00s
2006,119.05895056412324,44.92158520722198,2.337135851331856,4800.477038635632,2054,0.9751607013305916,3.63777994157741,0.4209992653546795,0.7160870008851385,7.628031126930335,0.5083588666485688,1470.8426998180744,1.261840453546552,0.3169978117210359,00s
2007,136.94355202346065,41.15763376081876,2.5256423346064993,3492.9633487607884,1383,1.0163304358263656,3.6695589298626174,0.4506107673267374,0.7343560247131232,7.232733136177615,0.5244720989628058,1015.6143821782493,1.271507045017735,0.3313324058405672,00s
2008,127.47062639764059,43.46621549999872,2.5947851648514764,5568.408963771269,2146,0.9849692245825801,3.711090400745573,0.42758667886153595,0.7315303114621359,7.671826797878781,0.5116734436037729,1569.8640483977435,1.268377899590105,0.3210616068054024,00s
2009,120.61111124378216,41.24030867256671,1.7254455390509869,3442.2638504067186,1995,0.8192537034999099,2.9949874686716793,0.3944110075760434,0.5992700633010756,7.59890045687141,0.4437869492017831,1195.5437762856457,1.1489678376556578,0.29988898746426723,00s
2010,154.88173913209602,66.74643209430857,1.5057498072790358,1568.9912991847555,1042,0.7644897664152219,3.1660268714011517,0.37241615786018994,0.620816169786841,6.949856455000773,0.4516397457865841,646.8904489178883,1.1921925227954933,0.2932256018937627,00s
2011,128.35354803166692,30.3122467152872,4.001741032987381,11861.160421774597,2964,1.3293049758312865,4.261133603238866,0.5146720010230632,0.8612107534429793,7.994632311431825,0.5923496754668347,2552.6286732049907,1.362240135815154,0.3584245303055518,00s
2012,126.69124708277742,28.818115834436426,3.4856115134683416,5566.521587008941,1597,1.2276002900565162,4.210394489668127,0.4902429635521825,0.8378391350914386,7.37650812632622,0.5752290044869209,1338.0290987410274,1.3461553019771886,0.35039631879562155,10s
2013,123.7505391862541,39.04324392216291,2.096790707745445,4090.8386708113635,1951,0.9122168428007673,3.3577652485904665,0.41243346407532355,0.6735031840632696,7.5766097669730375,0.48502216489579364,1314.004712107439,1.2144527317914862,0.31174414891006685,10s
2014,137.82981008580117,54.25432709269074,2.5214210251760014,940.4900423906486,373,0.9524399579257625,3.10455764075067,0.439948285212624,0.6224814930420444,5.924255797414532,0.4649032377632157,232.18559690468254,1.1541718442914353,0.31638438667517443,10s
2015,133.58294978194868,67.35314880087832,1.2732319055754848,686.2719971051863,539,0.6276476235915718,2.543599257884972,0.36357131846086965,0.4524631878992496,6.29156913955832,0.3701282001343896,243.87765827769553,1.0445838164976524,0.27897371069008936,10s
2016,132.0250360686794,51.61155101404845,1.724448943176439,2724.6293302187737,1580,0.8091816823772913,3.212025316455696,0.3816908135159667,0.6221721539913023,7.365812837209472,0.4511513666082936,983.0320033062577,1.195507539691642,0.29486621874552155,10s
2017,134.39793613381502,46.31765146435523,2.4856554592295024,6656.585319816608,2678,0.9528183903957501,3.4410007468259893,0.41936164417087607,0.6745427892027781,7.893198869544609,0.4793418751847879,1806.4255894850398,1.2178125955851202,0.3096318814861703,10s
2018,124.67673414878111,39.47320365208416,2.9452790314111787,3507.827326410714,1191,1.105915717337998,3.7632241813602016,0.45523516225348326,0.7402262133246191,7.083387847625295,0.5193064318420121,881.6094200696214,1.2869711165257918,0.32432326942700207,10s
2019,126.86571145586751,32.472199842598485,2.7311853450132344,4446.369741681546,1628,1.0388794145614184,3.4527027027027026,0.42967333350436954,0.6814543408849821,7.395721608602045,0.49017596869767827,1109.407666960751,1.2245187081177564,0.3139132072231575,10s
2020,133.58424661946813,51.977779267161225,1.3249903026770664,1432.3145171939088,1081,0.7045411404785129,2.7113783533765035,0.3540109633668612,0.5223473511951078,6.9865664594064265,0.3943218364286733,564.6574866419115,1.0961010019050919,0.2765357618762477,10s
