ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,244.57860724765655,22.854730148894436,0.7694976480534375,8.464474128587812,11,3.3369666485179694,2.272727272727273,1.4538246509625072,0.40268579419241035,2.4849066497880004,1.0217036517185687,4.429543736116514,1.0469490258427294,0.7757431902374975,00s
2004,213.4673246614076,26.65908364566641,0.6397171815569241,9.595757723353863,15,1.1591568358009787,2.4,0.8492777766576022,0.38319099650045313,2.772588722239781,0.7186456550962643,5.747864947506796,0.9885349671494995,0.5991091045075516,00s
2005,202.6000271491773,77.43139605822677,0.6785937563925049,31.215312794055222,46,1.3066180113698633,2.6956521739130435,0.8830948934582805,0.42924563003145827,3.8501476017100584,0.7541816885861414,19.74529898144708,1.1031245514666153,0.6042073701687457,00s
2006,170.78286969350145,65.603163329138,1.0141567753574925,45.63705489108716,45,2.2515309732430535,3.022222222222222,1.191859739581336,0.49181952872370116,3.828641396489095,0.918416718669027,22.131878792566553,1.1570939472066983,0.6958649823317754,00s
2007,196.601735983167,11.258438794437502,1.1981281209264392,33.5475873859403,28,4.584495951117628,3.892857142857143,1.5382228790278452,0.5819658679323642,3.367295829986474,1.099315700547616,16.295044302106195,1.3108513895733653,0.7523810919292773,00s
2008,216.3861049100366,19.030183222601426,1.292259571730829,158.94792732289196,123,2.3717165610562034,3.3902439024390243,1.2410291386724113,0.5897474861010951,4.820281565605037,0.9768903360183295,72.5389407904347,1.2029851588937461,0.7318120289032893,00s
2009,226.15031807140582,23.091195626435116,0.6131928738257313,15.32982184564328,25,1.2192612643239924,3.44,0.8167251426851694,0.43550095385547255,3.258096538021482,0.7161425146251263,10.887523846386815,1.271023499816622,0.5494072943089631,00s
2010,209.11206514301313,43.81772630105398,1.7237830638850131,10.34269838331008,6,3.362985881644815,5.833333333333333,1.141438977052698,0.9397597386711676,1.9459101490553132,1.4106505806121603,5.638558432027005,1.7593021230959698,0.7540942982882863,00s
2011,156.90272125931168,104.73163284982049,0.9683492015619731,52.290856884346546,54,2.170437696664384,2.962962962962963,1.0998086342619329,0.5310174447150406,4.007333185232471,0.9346419948844226,28.674942014612192,1.224445845481916,0.682979650403096,00s
2012,95.22688353748467,53.88605474555432,0.9766891348619747,26.37060664127332,27,2.0273319144667323,2.3703703703703702,1.2450203051195698,0.5701502460055585,3.332204510175204,0.941968571526962,15.394056642150082,1.1218189638613607,0.7273167253784192,10s
2013,136.20359687203558,102.73400979362336,0.6734803135667534,18.857448779869095,28,1.2726192774005456,2.75,0.8213348000924976,0.4433141390149332,3.367295829986474,0.7407953451512833,12.412795892418131,1.1302584110146405,0.5729214568813521,10s
2014,171.30128113669096,80.87010855600715,0.9349683877538717,66.38275553052489,71,1.9137878900939478,2.563380281690141,1.2381796348903613,0.49508992584226036,4.276666119016055,0.8777388116309007,35.15138473480049,1.0357105053406686,0.6965020092947922,10s
2015,227.2820087014562,37.70662250381666,0.5491203210254253,26.357775409220416,48,2.6474569706565565,2.9166666666666665,1.1234688484960562,0.3902889834763498,3.8918202981106265,0.8559084148640534,18.73387120686479,1.1517662002541675,0.6507180013349417,10s
2016,203.00770665023222,34.091087972663864,1.188720833739538,74.8894125255909,63,1.9762227065389997,3.111111111111111,1.0496274318444467,0.5206975816092332,4.1588830833596715,0.8783087270764333,32.80394764138169,1.1243187083490418,0.6778435481974799,10s
2017,205.4161316037616,42.505708909179525,0.7915885709895476,17.414948561770046,22,1.6684833242589847,3.409090909090909,0.8985188829262091,0.4759292789497466,3.1354942159291497,0.8629854397018686,10.470444136894425,1.2638275170213065,0.6045294323821685,10s
2018,139.26975246812847,65.89098275745287,0.9855769289601787,24.639423224004467,25,2.885012569104658,3.48,1.5469809396232226,0.5361267309826541,3.258096538021482,0.956986651975542,13.403168274566351,1.2681597536891418,0.7226907494164388,10s
2019,65.715334246505,57.18052562945089,0.43568343058375764,10.456402334010184,24,1.4936666016879896,3.0833333333333335,0.9820837578572652,0.3320239460777289,3.2188758248682006,0.8240973238099064,7.968574705865493,1.179468783788157,0.6249721807267923,10s
2020,64.9058912230543,25.973272254366428,2.0555104405635434,30.832656608453153,15,6.182169790938554,5.666666666666667,1.9187372377313132,0.7912686945365193,2.772588722239781,1.6587193933783735,11.869030418047789,1.6778499217702358,0.9779623742705598,10s
