ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,224.23513493069385,5.444117991008627,1.9382446954323722,31.011915126917955,16,3.7162782814452675,5.1875,1.8527487164490057,0.8790851996663078,2.833213344056216,1.3942215161813116,14.065363194660925,1.638217053119765,0.9982846581003633,00s
2006,199.49937143864184,6.924123127135074,2.5840932708849906,15.504559625309943,6,7.5130535653767145,5,3.5980882381123855,1.1955374894784987,1.9459101490553132,2.0752068190023727,7.173224936870992,1.6026342466807244,1.4845144866041526,00s
2007,199.08312185708405,21.352892666308144,3.650969705405838,237.31303085137947,65,8.619371343135484,4.415384615384616,3.71663300794085,1.0471693554948698,4.189654742026425,1.8537055087758734,68.06600810716654,1.4893818142934654,1.3748132340377452,00s
2008,238.58111622377405,8.403727376215832,2.693392601679563,29.62731861847519,11,9.48401047473528,4.636363636363637,3.3704199482524855,0.957203166503135,2.4849066497880004,2.005388966706639,10.529234831534485,1.5659927072764421,1.3742331617096895,00s
2010,232.8166583416947,5.535278459857911,1.8296991629033386,3.659398325806677,2,5.15180815911546,3.5,2.3612454062612533,0.8436471643366051,1.0986122886681098,1.5659037034667862,1.6872943286732103,1.3195286648076292,1.1585403624448172,00s
2011,237.97642819470934,23.874681419240584,2.4643313997604324,71.46561059305253,29,7.461239402856875,4.931034482758621,2.977266772234602,1.0437938283954546,3.4011973816621555,1.8842198143020847,30.270021023468182,1.6078146658461498,1.2758678192173591,00s
2012,222.8248111990522,22.056212733941834,2.329355318684643,72.21001487922393,31,5.463409459061961,4.258064516129032,2.3631443906144622,0.8285682888897861,3.4657359027997265,1.5374887582215737,25.685616955583367,1.4572849966677583,1.1111831322425385,10s
2013,219.7446574991472,2.3247336841114525,2.7973620060312943,8.392086018093883,3,7.155289109882585,4.666666666666667,2.770119069683115,1.1402182343920833,1.3862943611198906,1.8337178137856702,3.4206547031762495,1.5728329570983648,1.2347546635222921,10s
2014,72,-0,0.2105076013587713,0.2105076013587713,1,1.0732933664823878,1,1.0732933664823878,0.19103977689610407,0.6931471805599453,0.7291383412809704,0.19103977689610407,0.6931471805599453,0.7291383412809704,10s
2015,203.0722713592464,13.477989884532601,3.4076928188676874,102.23078456603062,30,9.058596013111353,4.9,3.2079821379400895,1.1069677537264815,3.4339872044851463,1.8793781135555123,33.20903261179444,1.5449767456857693,1.2916570099938338,10s
2016,244.00000000000003,3.244068990119924e-14,4.30244372026223,4.30244372026223,1,11.591568358009788,4,6.439760198894327,1.6681677935884414,0.6931471805599453,2.5330274120222103,1.6681677935884414,1.6094379124341003,2.0068386169941523,10s
2017,208.71170890887976,25.49027973032352,3.3281362336252602,189.70376531663982,57,8.55621939876486,5.4035087719298245,3.219486951693873,1.0915469488137912,4.060443010546419,1.895291105370794,62.2181760823861,1.6771015270380771,1.2756267706399977,10s
2018,251.82359566486846,19.875803343905954,2.468198112147651,27.150179233624158,11,8.66440463123964,3.727272727272727,3.4172545678808075,0.9624192109466405,2.4849066497880004,1.8565510484096905,10.586611320413045,1.348238662631141,1.3682659782639375,10s
2019,115.78550356433523,81.36270782725255,1.5081744656755625,3.016348931351125,2,4.293173465929552,4.5,1.7172693863718207,0.8569439752229706,1.0986122886681098,1.57657845275065,1.7138879504459412,1.666102255087602,0.9707249516026295,10s
2020,207.0081308657477,43.35207392743404,2.7079385453549594,51.450832361744226,19,9.377194675582967,4.7368421052631575,3.0319376030220004,1.08442469178277,2.995732273553991,1.9967866127279414,20.604069143872632,1.554422479171541,1.3253791927844532,10s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
