ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2010,49.99989839037616,0,0.2886865655504862,0.8660596966514587,3,0.28621156439530426,1,0.28621156439530426,0.25059050961501866,1.3862943611198906,0.24870772342628408,0.751771528845056,0.6931471805599453,0.24870772342628408,00s
2012,324,-0,0.863271820350647,0.863271820350647,1,0.8586346931859128,1,0.8586346931859128,0.6223339856198004,0.6931471805599453,0.6198421822672829,0.6223339856198004,0.6931471805599453,0.6198421822672829,10s
2017,273.7865825804071,143.456189981062,0.5183353423849105,2.5916767119245527,5,0.4293173465929564,1.4,0.4293173465929564,0.40108770076402545,1.791759469228055,0.3339449243113721,2.0054385038201272,0.8553332238032111,0.3339449243113721,10s
2020,70,-0,0.21651592416381835,0.21651592416381835,1,0.2146586732964782,1,0.2146586732964782,0.19599097330275916,0.6931471805599453,0.19446310999703662,0.19599097330275916,0.6931471805599453,0.19446310999703662,10s
2003,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2006,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2007,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2016,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
