ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2006,254.8618391458528,5.470295011053864,1.508790882631302,9.052745295787812,6,0.9301875842847359,4.5,0.3740626140221951,0.7091322717509021,1.9459101490553132,0.5590587579383192,4.254793630505413,1.251464528439046,0.30546147665023055,00s
2012,302,-0,0.21651592416286466,0.21651592416286466,1,0.2146586732964775,1,0.2146586732964775,0.19599097330197524,0.6931471805599453,0.19446310999703606,0.19599097330197524,0.6931471805599453,0.19446310999703606,10s
2013,40.00000000000001,0,0.4321012228927612,0.4321012228927612,1,0.429317346592955,1,0.429317346592955,0.35914275241791616,0.6931471805599453,0.3571969502847781,0.35914275241791616,0.6931471805599453,0.3571969502847781,10s
2017,55,-0,0.21651592416381835,0.21651592416381835,1,0.2146586732964775,1,0.2146586732964775,0.19599097330275916,0.6931471805599453,0.19446310999703606,0.19599097330275916,0.6931471805599453,0.19446310999703606,10s
2018,7.750403171425524,8.13512449446863,0.24731382398183002,1.7311967678728102,7,0.24532419805311714,1,0.24532419805311714,0.2192983703188742,2.0794415416798357,0.21771080146671348,1.5350885922321194,0.6931471805599453,0.21771080146671348,10s
2019,341.25000000001927,0,0.2165159241633415,0.866063696653366,4,0.2146586732964775,1,0.2146586732964775,0.1959909733023672,1.6094379124341003,0.19446310999703606,0.7839638932094688,0.6931471805599453,0.19446310999703606,10s
2020,280.3750418403108,9.206611430633247,0.34614509103145596,3.46145091031456,10,0.23612454062612526,2.1,0.19728154260104838,0.275877123370705,2.3978952727983707,0.21073649402581027,2.75877123370705,0.9570529135214711,0.1793706526163174,10s
2003,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2007,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2016,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
