ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,102.69424430294814,4.511212555331414,7.456329347877889,22.36898804363367,3,8.300135367463799,8,1.5661100320158594,1.8495794497548192,1.3862943611198906,1.6706855389018518,5.5487383492644575,2.1700861135077165,0.7749357942429522,00s
2006,148.16861839006842,57.38737538262003,0.5131773662746847,8.210837860394955,16,0.6842245211325223,2.3125,0.4592801197405884,0.37709535102153374,2.833213344056216,0.4882446431407163,6.03352561634454,1.0962830661683802,0.37125585974898795,00s
2007,79.27209642172602,4.550782368885143,1.013625554203221,10.136255542032211,10,0.7513053565376714,2.8,0.3473892862847995,0.5707241300315024,2.3978952727983707,0.4610255138956748,5.707241300315023,1.2278579336316922,0.276498165219845,00s
2008,132.93556745793006,28.486273737227478,1.4771381764594742,51.6998361760816,35,1.8092659606417394,2.4285714285714284,0.9174567452191008,0.5509929008435585,3.58351893845611,0.7498966133907558,19.284751529524545,1.0310291564829264,0.5693641000982773,00s
2018,182.3956932148472,28.70613620647661,0.45584922821096413,4.102643053898677,9,0.500870237691781,2.2222222222222223,0.42931734659295506,0.358041373373805,2.302585092994046,0.39138876373924736,3.2223723603642447,1.0390933260277646,0.3370052582995657,10s
2019,97.10586103215697,0.5151653232192113,2.0452844616326167,4.090568923265233,2,1.073293366482388,7,0.2559391873919539,0.8899584011436179,1.0986122886681098,0.6350616787272468,1.7799168022872358,1.666102255087602,0.2273431965175176,10s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2016,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2017,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2020,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
