ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2007,193.91447669664177,27.114476827409234,1.2210362758464812,3.663108827539444,3,2.5759040795577324,4,1.1806227031306273,0.6982050020437468,1.3862943611198906,1.0803590893305195,2.0946150061312405,1.4255553730053518,0.6834908051340972,00s
2009,255,0,0.21651592416286466,0.43303184832572933,2,0.4293173465929553,1,0.4293173465929553,0.19599097330197524,1.0986122886681098,0.35719695028477844,0.39198194660395047,0.6931471805599453,0.35719695028477844,00s
2011,131,-0,0.4321012228927612,0.4321012228927612,1,0.6439760198894331,4,0.3219880099447165,0.35914275241791616,0.6931471805599453,0.4971177100856543,0.35914275241791616,1.6094379124341003,0.27913667175501916,00s
2014,175.2814642854607,0,0.2883776904061635,0.8651330712184906,3,0.35776445549412944,1.3333333333333333,0.35776445549412944,0.25037489967395554,1.3862943611198906,0.29534797669324225,0.7511246990218666,0.8283022165960001,0.29534797669324225,10s
2016,110.08928811605907,68.27688500544033,0.518335342384529,2.5916767119226454,5,0.7727712238673196,1.4,0.6869077545487285,0.4071965319379619,1.791759469228055,0.5673131358707811,2.0359826596898096,0.8317766166719344,0.5147840894742804,10s
2017,359.1226576724115,0.8213928945123424,4.413012245925664,8.826024491851328,2,5.795784179004897,4.5,1.2879520397788662,1.2293720286897465,1.0986122886681098,1.4277669628806988,2.458744057379493,1.4451858789480825,0.7517576193959631,10s
2019,348.8783041945744,16.642072859334423,1.9378624624403,9.6893123122015,5,4.121446527292371,1.8,1.983446141259454,0.7258885012307901,1.791759469228055,1.222256724993351,3.6294425061539504,0.9128696382935673,1.0125013785894794,10s
2020,241.92313041231608,3.3511652746928156,3.289554777858802,23.026883445011613,7,3.311876673717084,4.714285714285714,1.8114675880601658,1.0974455073970073,2.0794415416798357,1.0960963441205263,7.682118551779052,1.444589488235351,0.7692016218116736,10s
2003,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2006,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
