ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2004,161.60951457072804,27.787308260567773,1.7943984936762152,7.177593974704861,4,19.802262611600064,6.5,6.64696544603468,1.0104215682232611,1.6094379124341003,2.8767546626125613,4.0416862728930445,1.68777536723419,2.0047069905564046,00s
2005,195.02301058141165,1.6317607845947726,0.5336473648831447,1.600942094649434,3,4.507832139226031,1.3333333333333333,4.00696190153425,0.4111457093469523,1.3862943611198906,1.6803902814755436,1.233437128040857,0.8283022165960001,1.5741995354191007,00s
2006,163,-0,0.43210122289204594,0.43210122289204594,1,1.5026107130753437,3,1.0017404753835626,0.3591427524174167,0.6931471805599453,0.9173344722177831,0.3591427524174167,1.3862943611198906,0.6940170398144442,00s
2007,156.57901195293923,27.05650933414497,2.394540538285851,4.789081076571702,2,15.777412487291109,4,8.157029585266152,1.0187715542812088,1.0986122886681098,2.176502295412292,2.0375431085624176,1.6094379124341003,1.683758928072965,00s
2008,212.00000000000003,0,0.7759955372583865,0.7759955372583865,1,9.015664278452062,3,3.5060916638424686,0.5743611317618588,0.6931471805599453,2.304150295270831,0.5743611317618588,1.3862943611198906,1.505430184422423,00s
2010,122.32066026148377,15.57924388077017,1.610326918278262,4.830980754834786,3,12.951073288887486,2.6666666666666665,5.092180749866443,0.767922042720698,1.3862943611198906,2.098974442428,2.303766128162094,1.110734836725068,1.701348293038593,00s
2015,188.54937039421517,24.800732872984522,1.5173662119455098,7.586831059727549,5,8.715142135836993,2.6,4.32751885365699,0.8157450241381674,1.791759469228055,2.1058669793558,4.078725120690837,1.1901285105175454,1.6477025151738889,10s
2016,112.93584329282461,92.93320224348759,0.69407638561364,2.08222915684092,3,5.509572614609594,1.6666666666666667,3.756526782688359,0.48150343440583937,1.3862943611198906,1.503478908320031,1.4445103032175182,0.963457252632055,1.3536145360818836,10s
2017,158.99999999999997,3.227333928216193e-14,2.22771691928035,4.4554338385607,2,10.518274991527408,3,5.509572614609594,0.9274405166527336,1.0986122886681098,1.9697067817776681,1.8548810333054673,1.3862943611198906,1.5467466562611283,10s
2019,183.16367367090936,3.9125970959111362,0.6472232089052201,1.2944464178104402,2,4.507832139226031,1,4.507832139226031,0.463681708370825,1.0986122886681098,1.529467585642795,0.92736341674165,0.6931471805599453,1.529467585642795,10s
2020,168.98134780943332,27.158304796052487,0.3243085735273361,1.2972342941093444,4,1.770934054695941,1.25,1.6099400497235825,0.27183627895906964,1.6094379124341003,1.0065553625537418,1.0873451158362786,0.7945134575869864,0.9569159160277018,10s
2003,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
