ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2007,46,-0,0.2165159241633415,0.2165159241633415,1,0.6439760198905912,1,0.6439760198905912,0.19599097330236712,0.6931471805599453,0.4971177100863588,0.19599097330236712,0.6931471805599453,0.4971177100863588,00s
2012,67,-0,0.2165159241633415,0.2165159241633415,1,0.4293173465937274,1,0.4293173465937274,0.19599097330236712,0.6931471805599453,0.35719695028531856,0.19599097330236712,0.6931471805599453,0.35719695028531856,10s
2017,99,-0,0.21651592416286466,0.21651592416286466,1,0.4293173465937274,1,0.4293173465937274,0.19599097330197524,0.6931471805599453,0.35719695028531856,0.19599097330197524,0.6931471805599453,0.35719695028531856,10s
2018,33,0,2.1549303618614672,2.1549303618614672,1,3.005221426156092,3,1.4310578219790917,1.1489664234394263,0.6931471805599453,1.3875988664217649,1.1489664234394263,1.3862943611198906,0.8883264803160708,10s
2003,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2006,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2016,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2020,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
