ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2006,311,-0,0.21651592416286466,0.21651592416286466,1,0.2146586732964782,1,0.2146586732964782,0.19599097330197524,0.6931471805599453,0.19446310999703662,0.19599097330197524,0.6931471805599453,0.19446310999703662,00s
2008,179.5,0,0.21651592416286466,0.43303184832572933,2,0.2146586732964782,1,0.2146586732964782,0.19599097330197524,1.0986122886681098,0.19446310999703662,0.39198194660395047,0.6931471805599453,0.19446310999703662,00s
2009,261,-0,0.21651592416286466,0.21651592416286466,1,0.2146586732964782,1,0.2146586732964782,0.19599097330197524,0.6931471805599453,0.19446310999703662,0.19599097330197524,0.6931471805599453,0.19446310999703662,00s
2010,206,0,2.36866240972805,2.36866240972805,1,1.5026107130753474,9,0.2623606006956956,1.2145157545143008,0.6931471805599453,0.9173344722177847,1.2145157545143008,2.302585092994046,0.23298346078062274,00s
2011,257,-0,0.21651592416286466,0.21651592416286466,1,0.2146586732964782,1,0.2146586732964782,0.19599097330197524,0.6931471805599453,0.19446310999703662,0.19599097330197524,0.6931471805599453,0.19446310999703662,00s
2012,69,-0,0.4321012228927612,0.4321012228927612,1,0.4293173465929564,1,0.4293173465929564,0.35914275241791616,0.6931471805599453,0.35719695028477905,0.35914275241791616,0.6931471805599453,0.35719695028477905,10s
2015,220.8413885465419,21.820593710752707,1.546479441713352,77.3239720856676,50,0.8457551727881241,3.96,0.3492645295865854,0.6594760983525939,3.9318256327243257,0.4759461492233052,32.9738049176297,1.309406763747758,0.2811877674908201,10s
2017,190,-0,0.4321012228937149,0.4321012228937149,1,0.4293173465929564,1,0.4293173465929564,0.35914275241858207,0.6931471805599453,0.35719695028477905,0.35914275241858207,0.6931471805599453,0.35719695028477905,10s
2019,341.32807245907503,0,0.32430857352805137,0.6486171470561027,2,0.3219880099447173,3.5,0.2504351188458912,0.2775668628601121,1.0986122886681098,0.27583003014090784,0.5551337257202242,1.3195286648076292,0.21315292336640596,10s
2020,205,-0,0.4321012228927612,0.4321012228927612,1,0.2146586732964782,2,0.2146586732964782,0.35914275241791616,0.6931471805599453,0.19446310999703662,0.35914275241791616,1.0986122886681098,0.19446310999703662,10s
2003,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2007,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2016,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
