ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,60.45369539440382,11.725710031653747,0.5613288520723145,8.419932781084718,15,0.343453877274364,2.8,0.21844075468312973,0.3996351627383837,2.772588722239781,0.2785508621523566,5.994527441075755,1.1338153719384023,0.1959918856869174,00s
2004,110.07882693686484,9.858950383069018,0.539986534800911,5.39986534800911,10,0.3005221426150685,4.3,0.22861148706074855,0.4101715723744444,2.3978952727983707,0.2532744012528348,4.101715723744444,1.3670327548119277,0.19312580618573863,00s
2005,77.54632577484335,17.16410921135418,0.810947991453403,57.57730739319161,71,0.4837378553160057,2.6056338028169015,0.2951100854093877,0.46594341729145916,4.276666119016055,0.3483707084523011,33.0819826276936,1.0551235502909604,0.24684984436568733,00s
2006,113.61170112111728,57.721048300714074,0.2704122488451004,1.0816489953804016,4,0.2683233416205969,1,0.2683233416205969,0.236778918080794,1.6094379124341003,0.23514657006897158,0.947115672323176,0.6931471805599453,0.23514657006897158,00s
2007,54.55569585587059,19.50899968942204,0.43206558345284773,11.233705169774042,26,0.2889635986683351,1.6153846153846154,0.23908297746963442,0.3145854904112888,3.295836866004329,0.2466229543440732,8.179222750693508,0.8732291508339537,0.21275568477033677,00s
2008,106,-0,0.4330278483247757,0.4330278483247757,1,0.429317346592955,1,0.429317346592955,0.3597895822404402,0.6931471805599453,0.3571969502847781,0.3597895822404402,0.6931471805599453,0.3571969502847781,00s
2010,76.92749291686515,28.0312596589755,0.8403266907641129,145.37651750219155,173,0.4218725371144645,2.6705202312138727,0.2680657651905258,0.4471827687461469,5.159055299214529,0.31822867707183244,77.36261899308342,1.0765628655633996,0.23159699710856857,00s
2011,96.83681314557134,13.000139228579917,0.3245402298862934,1.2981609195451735,4,0.32198800994471627,1,0.32198800994471627,0.27197683436264786,1.6094379124341003,0.27012676001919056,1.0879073374505914,0.6931471805599453,0.27012676001919056,00s
2012,152.59508957930692,185.32221409351862,0.5183353423851013,2.5916767119255066,5,0.257590407955773,3.4,0.17888222774706458,0.40719653193835237,1.791759469228055,0.22700987805458447,2.035982659691762,1.3523145537608112,0.16381787432085435,10s
2013,51.705092752223074,31.540065586155187,0.770613370773369,21.57717438165433,28,0.4369837277821149,3.0357142857142856,0.2784174101863241,0.5123955971260471,3.367295829986474,0.3451141053155432,14.34707671952932,1.237333570218178,0.2390220628017395,10s
2014,65.33798839794474,59.07053641048121,0.5182426798413277,10.364853596826553,20,0.38638561193365956,1.65,0.2660234272638489,0.3556365683348528,3.044522437723423,0.29787205899890806,7.112731366697056,0.8867072311053398,0.2336382996548321,10s
2015,74.64102557297699,26.889416082959805,0.6043995805469831,36.26397483281898,60,0.3899632564886008,2.25,0.26961526882099235,0.4056198230574954,4.110873864173311,0.30796818819049704,24.337189383449722,1.0242053350342568,0.2346551892406514,10s
2016,47.905581210897076,78.64621686819414,1.0491254271910087,24.129884825393198,23,0.410651375001957,2.1739130434782608,0.27205653593879653,0.385089961682236,3.1780538303479458,0.28720605014524825,8.85706911869143,0.9488945776090331,0.23122381359410937,10s
2017,57.0285478602717,19.190661820867923,0.6291805485590696,7.550166582708835,12,0.4114291238182486,2.8333333333333335,0.21495681034272263,0.3913337475230003,2.5649493574615367,0.29284496768161894,4.696004970276004,1.1524313957273407,0.19153767904471963,10s
2018,253.78525355402473,140.5207263562376,0.7725179871152242,9.27021584538269,12,0.33987623271942274,2.8333333333333335,0.2508479239868452,0.4254332808870249,2.5649493574615367,0.2841559794488039,5.105199370644299,1.0850430567538583,0.22035957052060906,10s
2019,67.78043714515651,20.760487403836013,0.4059509518258644,40.18914423076057,99,0.3013894503859634,1.8686868686868687,0.24476453110680108,0.3134354064974152,4.605170185988092,0.2559698586042723,31.030105243244105,0.928525230843821,0.21530396219426803,10s
2020,64.14338070203412,20.08573350572291,0.9519558166192532,50.45365828082042,53,0.49411996494660865,3.018867924528302,0.26877496701140485,0.5097406295997462,3.9889840465642745,0.3574261726218949,27.01625336878655,1.1439169270402034,0.2339487564761418,10s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
