ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,175.07113307054945,90.1557865689684,1.3384478015915817,143.21391477029925,107,2.9410244397442624,3.616822429906542,1.3361790326481948,0.6006241588117879,4.68213122712422,1.0781910492960338,64.2667849928613,1.2580473014528346,0.7725286323223147,00s
2004,219.29008699165908,42.30556578334273,1.0381458102423815,404.87686599452877,390,2.0475134991356323,3.4564102564102566,1.0966164332093549,0.5216056089970065,5.968707559985366,0.9369118690196475,203.42618750883253,1.2322489719191856,0.697125439621204,00s
2005,229.5904153426641,37.354412495319295,0.9142157562847121,1112.6005753984946,1217,1.9821973463482454,3.006573541495481,1.1607769201890723,0.4681731552416443,7.1049654482698426,0.8919030999215066,569.7667299290812,1.12575904537464,0.7018588549239415,00s
2006,194.02568262988387,57.02176576944912,0.9623384086331208,1008.5306522475106,1048,2.108079261037545,3.0963740458015265,1.2415975526288572,0.5074477409036351,6.955592608396297,0.9466489362806076,531.8052324670095,1.1502493912603309,0.7342270488041797,00s
2007,185.35686214039393,71.34170650358702,1.5841007791926787,708.0930482991274,447,3.2078745808064206,3.480984340044743,1.517389875656148,0.6540590651343186,6.104793232414985,1.1330069751629976,292.3644021150404,1.2744167732059348,0.8182210958624709,00s
2008,217.78125291686086,29.19591116447572,1.5447471269744795,2604.4436560789723,1686,2.4252865169778177,3.522538552787663,1.259620705065738,0.57536499966536,7.430707082545968,0.9858284610425007,970.0653894357971,1.2181426623520601,0.7476875097117255,00s
2009,211.75869358969052,46.23416938849949,0.9177042950239505,333.126659093694,363,2.009394412841407,2.9834710743801653,1.1946303109899001,0.4996287196245177,5.8971538676367405,0.9390881990601622,181.36522522369992,1.150296768351674,0.7329245998033646,00s
2010,232.48502148280687,24.97062408506369,1.00659396938977,735.8201916239219,731,1.9354518682586643,3.5143638850889194,1.0684867405850853,0.5192807587018571,6.595780513961311,0.9263478625361096,379.5942346110576,1.2251750176940281,0.6918736601752542,00s
2011,236.48039861053215,64.73551210473038,1.3775118943925597,1074.4592776261966,780,2.8285408258220466,3.3525641025641026,1.3634113964570393,0.5796787842204693,6.660575149839686,1.040614477703501,452.1494516919661,1.2158263147229411,0.7736832004256847,00s
2012,107.93660660421469,77.23840412949626,1.380178332057854,409.9129646211826,297,2.976311167120857,3.3636363636363638,1.2981241859717014,0.5460446516385031,5.697093486505405,1.0298543546734824,162.17526153663542,1.213634139503103,0.7537363966807633,10s
2013,171.13450828871723,71.62570663501006,1.0782388147445567,158.50110576744981,147,2.334960670755562,3.17687074829932,1.1801918429030476,0.5092792252185196,4.997212273764115,0.9356410820668011,74.86404610712239,1.186182126928406,0.7214094757686916,10s
2014,226.48683675185492,45.44007563785427,0.8425623372655147,497.9543413239192,591,1.7913647659868484,3.16751269035533,1.1002835475980055,0.48674683619773346,6.3835066348840055,0.8992349272181086,287.6673801928605,1.1790300688970672,0.696537733271265,10s
2015,205.29468301586957,56.328702357438026,0.8378345689288266,247.99903240293267,296,1.8702862109176204,3.152027027027027,1.089269571452596,0.4700955122360211,5.6937321388027,0.9027441972921132,139.14827162186225,1.1734444625762706,0.6890526569136519,10s
2016,213.0459619568138,46.158446825533325,0.853613594935083,228.76844344260223,268,1.8550354005770224,2.9402985074626864,1.1591845926369302,0.49072039423617086,5.594711379601839,0.9233364931450182,131.5130656552938,1.1385750553268792,0.7279761948881472,10s
2017,226.61535351332662,78.16930361484678,1.1165410343036053,307.0487844334915,275,2.4260332967470992,2.6036363636363635,1.334205287307528,0.49829515268035857,5.62040086571715,0.971785383140508,137.0311669870986,1.0895213545432465,0.7670014926008027,10s
2018,259.0600275505889,38.39624438321288,0.9347179887798434,159.8367760813532,171,2.063736016955609,3.3625730994152048,1.2105827844040231,0.5161898996834833,5.147494476813453,0.9708807312267234,88.26847284587564,1.2078162759968751,0.7390325176301082,10s
2019,148.0235590997853,104.61290353345464,2.115363712665702,511.91801846509986,242,4.942471601685838,3.3264462809917354,1.7838693779036212,0.635207035592419,5.493061443340548,1.1730040434306555,153.7201026133654,1.2000450358430284,0.8607804854644063,10s
2020,96.42816591608478,82.5661422775168,1.793192002836092,123.73024819569034,69,4.934038490553817,2.652173913043478,2.2379077992801117,0.691221416608996,4.248495242049359,1.267220104176896,47.69427774602073,1.1274057428012503,0.9802531903972787,10s
