ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2004,85.29490657711818,52.64295396936991,1.5321464920894752,13.789318428805275,9,4.961000449518592,5.222222222222222,2.1155804801552844,0.7326457773087868,2.302585092994046,1.4977954183592117,6.593811995779081,1.43013686550555,1.0497260187067228,00s
2007,192.47997549960485,6.867716684237511,1.094046056985755,7.658322398900285,7,3.0972180004206047,2.7142857142857144,1.4978929400358598,0.44444112368597416,2.0794415416798357,1.0837967233177073,3.111087865801819,0.9711343447107043,0.8923918922103676,00s
2008,210.02034250695934,36.33219742165796,0.893764877595508,4.4688243879775404,5,3.1340166301285723,4.4,1.512321462581612,0.6079326237571935,1.791759469228055,1.338967753183332,3.0396631187859673,1.587474939232659,0.8944364200940346,00s
2010,292.47042867894027,13.87238015105751,0.7907923038207292,2.3723769114621875,3,4.1500676837318995,2.6666666666666665,1.9200025778184935,0.5190489726344034,1.3862943611198906,1.454071678940506,1.55714691790321,1.110734836725068,1.0550859904396888,00s
2011,243.37736442207466,95.11059407585316,0.4861133757542446,3.888907006033957,8,1.8514310571821189,3,1.1582624246622435,0.3746661609686386,2.1972245773362196,1.02049973155155,2.9973292877491087,1.2389319652731632,0.7552161082909715,00s
2012,75.0308421019196,16.914682461823602,2.1686500646055533,15.180550452238872,7,6.6850843969474445,4.857142857142857,2.4312650211222473,0.876670311634058,2.0794415416798357,1.714954361425178,6.136692181438406,1.678857907940399,1.1092957411386521,10s
2016,165,-0,0.21651592416298387,0.21651592416298387,1,1.0732933664823878,1,1.0732933664823878,0.19599097330207324,0.6931471805599453,0.7291383412809704,0.19599097330207324,0.6931471805599453,0.7291383412809704,10s
2018,280.1528325502574,35.52842675097179,0.9164731759597957,3.665892703839183,4,4.185844129281312,2.5,2.0750338418659497,0.5681182251331093,1.6094379124341003,1.4440526417036637,2.272472900532437,1.1077041997108283,1.087281582896312,10s
2019,165.13782163553708,0,0.30554357756894823,0.9166307327068448,3,5.3664668324119384,2.6666666666666665,3.076774317249512,0.24871489570599634,1.3862943611198906,1.6001637462919842,0.7461446871179891,1.110734836725068,1.3372893313987946,10s
2003,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2006,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2017,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2020,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
