ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,174.12603904271546,3.9944143626388557,1.533986867651383,4.601960602954149,3,1.1448462575812142,2.6666666666666665,0.5724231287906071,0.8069832694975826,1.3862943611198906,0.703808352068785,2.4209498084927477,1.2296264847046454,0.43714100078332413,00s
2004,177.03487090696768,4.6119930510375164,0.7490286172101952,21.72182989909566,29,0.9770670646598294,1.6206896551724137,0.55737234824913,0.3988867742789257,3.4011973816621555,0.4527430406082948,11.567716454088846,0.8902576976170059,0.3590674096596997,00s
2005,221.86864538951377,57.623221605408915,0.7019711405281561,42.820239572217524,61,0.6580519984662512,1.459016393442623,0.42691270025274886,0.3808249771617775,4.127134385045092,0.36231005188779336,23.230323606868428,0.8443400148546132,0.3048805980249374,00s
2006,9.116520020227387,7.597653939609482,0.5815664201892522,7.560363462460279,13,0.4458295522311459,1.6923076923076923,0.37840471254186764,0.44099854770204794,2.6390573296152584,0.35961788491817553,5.732981120126623,0.9326483581915126,0.31243066406099473,00s
2007,9.999999999999998,0,0.21651592416238785,0.4330318483247757,2,0.2146586732964776,1,0.2146586732964776,0.19599097330158316,1.0986122886681098,0.19446310999703625,0.3919819466031663,0.6931471805599453,0.19446310999703625,00s
2008,248.2053102914004,0,0.43210122289168834,0.8642024457833767,2,0.42931734659295534,1,0.42931734659295534,0.3476815846161174,1.0986122886681098,0.34579041004134525,0.6953631692322348,0.6931471805599453,0.34579041004134525,00s
2009,190.55790947410298,15.260958971169302,0.5554882573618967,19.442089007666382,35,0.6194436000841212,2.085714285714286,0.39120846264538583,0.3842495007669764,3.58351893845611,0.39870266831324336,13.448732526844173,0.9422967825891866,0.3080720208793525,00s
2010,230.17702985405617,24.100503154940636,0.4894239958579456,26.428895776329064,54,0.6519263411226358,1.537037037037037,0.3885719502727905,0.34290131412719105,4.007333185232471,0.35469618350482107,18.516670962868318,0.862891486865248,0.2911034977833073,00s
2012,75.25834131929169,90.3344466061979,0.3253627569713267,3.578990326684594,11,0.3317452223672836,1.1818181818181819,0.3122307975221493,0.275386051869739,2.4849066497880004,0.2832270228812593,3.029246570567129,0.7561605606108494,0.2684330374005554,10s
2013,237.81251339858022,24.14457502044356,0.3959102065828425,17.815959296227913,45,0.41977696111311186,1.4666666666666666,0.3358442840940129,0.3004274743656812,3.828641396489095,0.31311174977164546,13.519236346455655,0.8434043532000354,0.27193783772240915,10s
2014,190.2204636673111,0,0.32430857352721687,0.6486171470544337,2,0.32198800994471644,1,0.32198800994471644,0.2775668628595147,1.0986122886681098,0.27583003014090735,0.5551337257190294,0.6931471805599453,0.27583003014090735,10s
2015,188.66970633089792,5.944510282000339,0.9032308837846298,26.193695629754266,29,0.5255436484155143,2.2413793103448274,0.3077126794545566,0.40940892239167825,3.4011973816621555,0.3354679628966261,11.872858749358668,0.959991598577002,0.25404050931988215,10s
2016,190.23004530677878,104.00277871901677,0.5809666369999905,8.714499554999858,15,0.7870818020870848,1.8,0.5752852444345601,0.41071307359453546,2.772588722239781,0.4646506835526647,6.160696103918032,0.932048443123686,0.38764491583596694,10s
2017,174.70679385050846,15.476648256849428,0.8056025706821576,16.11205141364315,20,0.5151808159115464,2.15,0.3171709670975276,0.4486452340676037,3.044522437723423,0.3631223340011664,8.972904681352075,0.9933415339152722,0.2674649952153888,10s
2018,206.5576252705693,25.07857433078669,0.5883082505127647,10.001240258717,17,0.6566030006715787,2.235294117647059,0.37655460546756053,0.37831550552278914,2.8903717578961645,0.4087814646084769,6.431363593887416,0.96024316084527,0.29740899498122386,10s
2019,219.993980088963,5.738967542997094,0.8902240428143764,21.365377027545033,24,0.7155289109882589,1.5416666666666667,0.5351559980099686,0.498391437369321,3.2188758248682006,0.4444721226394088,11.961394496863704,0.8706854206452751,0.376311431496968,10s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2020,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
