ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,247.62692491013144,24.331900410251507,3.438392399292049,106.59016437805352,31,10.42133236487738,4.645161290322581,2.980517374100389,0.9203909774664346,3.4657359027997265,1.6368042319081402,28.53212030145947,1.4677279253199964,1.136381071817328,00s
2004,229.55027058974196,62.2152503154063,1.3503109030944531,136.38140121253977,101,3.868106786134546,3.4653465346534653,1.7053451066336671,0.5220710986512931,4.624972813284271,1.209127585247465,52.7291809637806,1.1969827899919852,0.9169990860807651,00s
2005,258.46301511613433,38.171784993901476,0.6889045590421616,21.35604133030701,31,2.1119643663040533,3.4193548387096775,1.314641740044542,0.44730797998803046,3.4657359027997265,1.0636132627599786,13.866547379628944,1.187333501110615,0.8257563924735666,00s
2006,275.5622851040763,32.06065210592697,1.5512795866367906,114.7946894111225,74,4.806613806111667,3.1216216216216215,2.073293366136519,0.6255930203850213,4.31748811353631,1.3443675640349588,46.293883508491575,1.1540996697280221,1.014163201665006,00s
2007,235.92229837869047,35.97746410263746,0.9927657739048992,89.34891965144092,90,3.379681556234541,3.1,1.8698457206832386,0.5100397705745213,4.51085950651685,1.2097947084122074,45.903579351706924,1.1606513379283228,0.9656398030342833,00s
2008,243.1093892594578,50.78441182873949,1.5410434153741706,294.33929233646654,191,5.054031695362616,2.858638743455497,2.8018682734112494,0.5706570185892758,5.2574953720277815,1.3307895260250107,108.99549055055166,1.0697191106330057,1.0914901080050143,00s
2009,259.2864003405455,51.127462403735,1.1533589766175376,123.40941049807653,107,3.8758930542878005,2.4953271028037385,2.501979578850794,0.5259147724472563,4.68213122712422,1.2324317664597364,56.272880651856426,1.0315918433012794,1.034806513624107,00s
2010,200.20369789652622,121.34089454795674,0.4788870160571777,11.014401369315086,23,2.426576306829746,1.391304347826087,2.144253486515901,0.34598370150980257,3.1780538303479458,1.1182216995736942,7.9576251347254585,0.8257113887370237,1.0522795988689473,00s
2011,270.0642244881591,32.23321986518096,2.085171055063838,277.3277503234904,133,7.078894293822184,2.8947368421052633,3.494867035716496,0.679683538391773,4.897839799950911,1.4297541731479781,90.39791060610581,1.1517709950329957,1.139398320021374,00s
2012,276.85190212901085,20.750992738363653,1.824532018277939,383.1517238383672,210,6.034975272106683,2.9285714285714284,2.5338419366257754,0.6068020255949393,5.351858133476067,1.3813766841485575,127.42842537493725,1.1396500331080526,1.0831237226071564,10s
2013,210.6003069819902,74.06722124683176,1.5556189971204035,28.001141948167263,18,4.29317346592955,4.5,2.071279280822028,0.7241562899366559,2.9444389791664403,1.470750332270403,13.034813218859806,1.3892388246802594,1.0542148018217445,10s
2014,231.124424621773,74.64888587982,0.9835540113648698,15.736864181837916,16,3.032053760312745,5.125,1.3193250136820047,0.591473987856789,2.833213344056216,1.2617030400124747,9.463583805708623,1.5833951266487096,0.8170632802457775,10s
2015,234.96518186112456,89.16839160564737,1.0156728187020208,14.219419461828291,14,3.4805370598786003,3.2857142857142856,1.6424795787709048,0.5395576467895862,2.70805020110221,1.2427199588849822,7.553807055054206,1.2238007415668997,0.9296677734588535,10s
2016,212.53485803247804,68.10981019972421,1.0603511460182469,25.448427504437923,24,3.4524269955183473,4.083333333333333,1.4850477307147218,0.6234833468353682,3.2188758248682006,1.341314243830097,14.963600324048837,1.4207656373219633,0.8880711328049221,10s
2017,225.19641400687868,37.56216164937672,1.3615763825384566,68.07881912692282,50,4.30175981286141,3.84,1.9161145609826822,0.6572813898898674,3.9318256327243257,1.3676281081372295,32.86406949449337,1.3355046044263643,0.965820833779981,10s
2018,278.08807802312714,10.642792512895754,2.0174152159796264,191.65444551806448,95,5.8274180887538485,3.8947368421052633,2.7260898320325295,0.7777211598086323,4.564348191467836,1.6001711622147323,73.88351018182007,1.372208016227156,1.184491498744453,10s
2019,267.074386241659,48.92065506493778,0.8571143185966648,109.71063278037309,128,3.5351600258513645,2.5625,2.051567770189111,0.49630684742160364,4.859812404361672,1.2642743525591826,63.527276469965265,1.0933466206281597,1.0130268755783252,10s
2020,260.92235288638847,25.04663602551828,2.0886327777371676,41.772655554743345,20,5.3342680314174675,3.95,2.2068253231585997,0.7009150393271076,3.044522437723423,1.4492042032292058,14.018300786542152,1.229635482844908,1.0936575712817918,10s
