ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2006,204.75361357543633,2.980588767652442,1.4356949491427042,4.307084847428113,3,4.865596594720158,1.6666666666666667,2.671307934356165,0.728888841534802,1.3862943611198906,1.4641323971018394,2.1866665246044064,0.9241962407465937,1.2043795921764637,00s
2012,224.99999999999997,3.6304034555452696e-14,2.5833210830237863,2.5833210830237863,1,3.863856119336596,2,3.863856119336596,1.276290047208682,0.6931471805599453,1.5818315634978517,1.276290047208682,1.0986122886681098,1.5818315634978517,10s
2016,220,0,3.227297102914333,3.227297102914333,1,4.5078321392260285,5,1.9319280596682984,1.4415628060591252,0.6931471805599453,1.7061711045897436,1.4415628060591252,1.791759469228055,1.0756602474574577,10s
2017,228.65226905576563,0,0.4616959797801077,0.9233919595602154,2,2.6832334162059697,1,2.6832334162059697,0.3405462428302902,1.0986122886681098,1.282541930342175,0.6810924856605804,0.6931471805599453,1.282541930342175,10s
2003,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2007,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2020,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
