ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2007,61,-0,0.2165159241633415,0.2165159241633415,1,0.2146586732968637,1,0.2146586732968637,0.19599097330236712,0.6931471805599453,0.19446310999735394,0.19599097330236712,0.6931471805599453,0.19446310999735394,00s
2011,149,-0,0.2165159241633415,0.2165159241633415,1,0.2146586732968637,1,0.2146586732968637,0.19599097330236712,0.6931471805599453,0.19446310999735394,0.19599097330236712,0.6931471805599453,0.19446310999735394,00s
2018,303,-0,0.43210122289228436,0.43210122289228436,1,0.4293173465937274,1,0.4293173465937274,0.35914275241758326,0.6931471805599453,0.35719695028531856,0.35914275241758326,0.6931471805599453,0.35719695028531856,10s
2003,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2006,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2016,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2017,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2020,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
