ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,83.8076534417502,8.654908710403067,3.313060242331948,26.504481938655584,8,3.890688453498655,3.75,1.4682717139988972,1.0253830829694996,2.1972245773362196,1.0948211562708192,8.203064663755997,1.3762585013566768,0.710097624033295,00s
2004,43.40152710023088,35.48869348372796,1.2416770011185148,65.80888105928128,53,0.8464842022446001,2.660377358490566,0.42409978283580424,0.6117575068573927,3.9889840465642745,0.49689531411401977,32.42314786344181,1.1417676514599229,0.32737282411244645,00s
2005,86.068121622216,20.016771338920357,2.3093730399743024,64.66244511928046,28,1.1116252724281872,3.142857142857143,0.4737823574900825,0.6986653094936682,3.367295829986474,0.5154829097575077,19.56262866582271,1.1666715924906284,0.3553668983597596,00s
2006,61.87742413672607,13.00702817537093,1.4274943497054773,7.137471748527387,5,1.2020885704602742,3.2,0.5123187002675931,0.7637358130908743,1.791759469228055,0.6858609448660238,3.8186790654543716,1.30205166810463,0.3974714972037267,00s
2007,118.6536310536616,3.847824072780809,2.3863359563298223,9.54534382531929,4,2.790562752854208,5.75,0.9142159568073195,0.8834265693750031,1.6094379124341003,1.1877224941221807,3.5337062775000123,1.762313710313959,0.6139228153754197,00s
2008,301.93516807980143,0,0.18118037055607636,0.543541111668229,3,0.57242312879060675,2.6666666666666665,0.3219880099447163,0.16560021750587745,1.3862943611198906,0.40552777721893807,0.4968006525176323,1.110734836725068,0.27284292795053544,00s
2009,91.46215947568764,18.204870873179175,2.017184395527377,34.292134723965404,17,1.7425233479361117,4.352941176470588,0.4830544424042447,0.7083335551403364,2.8903717578961645,0.6901386859485972,12.041670437385719,1.294577384548164,0.3687239205094918,00s
2010,86.84065214493967,66.86582167494375,1.0242443512643575,4.09697740505743,4,0.5903113515653132,1.75,0.49192612630442767,0.6181128649504484,1.6094379124341003,0.434476685885581,2.4724514598017935,0.9678002527269727,0.37938169228011603,00s
2011,72.13565148653365,10.910464251017538,4.325952737527885,103.82286570066925,24,3.0588860944748046,3.25,0.9432843188162174,0.9629138698306883,3.2188758248682006,0.8481909895940715,23.10993287593652,1.278189942785926,0.5200218959864565,00s
2012,94,-0,0.8632718203525542,0.8632718203525542,1,0.429317346592955,4,0.2146586732964775,0.6223339856208239,0.6931471805599453,0.3571969502847781,0.6223339856208239,1.6094379124341003,0.19446310999703606,10s
2013,114.20928939552465,76.83075525080302,2.4680608274273474,29.61672992912817,12,2.57590407955773,2.5833333333333335,0.9065495756181595,0.7972669134013498,2.5649493574615367,0.6916147465151439,9.567202960816198,1.0931400357916623,0.49911901006369397,10s
2014,62.80785972581632,16.072056945316433,5.299411527549791,52.99411527549791,10,2.1036549983054798,4.6,0.8273558579341377,1.1699531676093438,2.3978952727983707,0.8464885508856972,11.699531676093438,1.4611936087977722,0.5215976947040429,10s
2015,62.52635192204124,3.5400963290206713,4.140100617099324,53.82130802229121,13,2.080537910412013,4.3076923076923075,0.6547089535542564,1.1899536041092598,2.6390573296152584,0.8588934950743539,15.469396853420378,1.4529694005379827,0.4615959303138817,10s
2016,76.77888561027673,65.84562377803073,0.9214360208464143,20.271592458621114,22,0.6537332323119998,1.7727272727272727,0.47663982684240574,0.5197316789774193,3.1354942159291497,0.41978845883461996,11.434096937503226,0.9284748393745849,0.36086082245219314,10s
2017,43.58041804620935,40.22056318024904,0.7536358014913095,47.479055493952494,63,0.5144993598058429,2.4444444444444446,0.3299991754730712,0.484815992524674,4.1588830833596715,0.3796058486912203,30.543407529054463,1.089147243054448,0.271797737260054,10s
2018,289,-0,0.21651592416286466,0.21651592416286466,1,0.2146586732964775,1,0.2146586732964775,0.19599097330197524,0.6931471805599453,0.19446310999703606,0.19599097330197524,0.6931471805599453,0.19446310999703606,10s
2019,91.95033953377778,5.124068709868708,1.7665061739768981,8.83253086988449,5,1.0303616318230922,2.8,0.45936956085446184,0.6739150570403734,1.791759469228055,0.5131210270929569,3.3695752852018663,1.2136851176488221,0.33009384626961463,10s
2020,83.08075841124412,21.414569789664483,2.500590527384721,32.507676856001375,13,1.6016839469044861,5,0.6888538359275148,1.0234793451406223,2.6390573296152584,0.8579767517102687,13.305231486828088,1.5716846397633333,0.48270150242428744,10s
