ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,79.34464499501713,2.3763456371467697,1.6518979981584547,4.955693994475364,3,0.930187584284736,1.6666666666666667,0.6439760198894325,0.7002806544966578,1.3862943611198906,0.5337459273061201,2.100841963489973,0.9241962407465937,0.435420230737285,00s
2005,291.53647052059256,1.997493273120589,1.4013084417390822,2.8026168834781644,2,0.6439760198894326,4.5,0.26832334162059684,0.7365282509148139,1.0986122886681098,0.46180072563900326,1.4730565018296278,1.4451858789480825,0.23679989087602754,00s
2006,68.00430280825819,0,0.2883776904067993,0.865133071220398,3,0.2146586732964775,2.3333333333333335,0.171726938637182,0.2503748996744388,1.3862943611198906,0.19446310999703606,0.7511246990233165,1.0593512767826485,0.15710057158101495,00s
2007,284,-0,0.8632718203496933,0.8632718203496933,1,0.429317346592955,6,0.1431057821976517,0.6223339856192884,0.6931471805599453,0.3571969502847781,0.6223339856192884,1.9459101490553132,0.13374892838484864,00s
2009,315,-0,0.21651592416286466,0.21651592416286466,1,0.2146586732964775,1,0.2146586732964775,0.19599097330197524,0.6931471805599453,0.19446310999703606,0.19599097330197524,0.6931471805599453,0.19446310999703606,00s
2011,75.30902178650669,17.454964366824974,1.073892690076192,3.2216780702285766,3,0.6439760198894325,3.6666666666666665,0.31006252809491197,0.7255897613942244,1.3862943611198906,0.4913856142125712,2.176769284182673,1.5214493971559453,0.26778706203101665,00s
2013,66.50250907181518,23.514544857855213,0.2596329839090347,1.2981649195451737,5,0.257590407955773,1,0.257590407955773,0.2286213291253202,1.791759469228055,0.22700987805458447,1.143106645626601,0.6931471805599453,0.22700987805458447,10s
2014,96,0,4.7354675685858725,9.470935137171745,2,2.146586732964775,4,1.0446722100428574,1.5565826460057397,1.0986122886681098,1.0844725282359853,3.1131652920114794,1.5890269151739727,0.6785568408442376,10s
2016,96.0191496043552,50.28126142567811,1.249472107199478,6.24736053599739,5,0.6869077545487281,3.2,0.3541868109391879,0.6699191801910889,1.791759469228055,0.4557783519431694,3.349595900955444,1.2922936352707435,0.2852317624377998,10s
2017,34,-0,0.4321012228927612,0.4321012228927612,1,0.429317346592955,1,0.429317346592955,0.35914275241791616,0.6931471805599453,0.3571969502847781,0.35914275241791616,0.6931471805599453,0.3571969502847781,10s
2019,291.57063538145474,1.8044583906263243,0.7564057964177131,1.5128115928354262,2,0.5366466832411938,3.5,0.2146586732964775,0.5136441095113434,1.0986122886681098,0.4071526461321588,1.0272882190226869,1.3195286648076292,0.19446310999703606,10s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2020,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
