ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,190,-0,0.21651592416256665,0.21651592416256665,1,0.2146586732964776,1,0.2146586732964776,0.19599097330173026,0.6931471805599453,0.19446310999703625,0.19599097330173026,0.6931471805599453,0.19446310999703625,00s
2005,184.50000000000003,0,0.21651592416298793,0.43303184832597585,2,0.2146586732964776,1,0.2146586732964776,0.19599097330207652,1.0986122886681098,0.19446310999703625,0.39198194660415303,0.6931471805599453,0.19446310999703625,00s
2007,162.5,0,0.2165159241625741,0.4330318483251482,2,0.2146586732964776,1,0.2146586732964776,0.19599097330173637,1.0986122886681098,0.19446310999703625,0.39198194660347274,0.6931471805599453,0.19446310999703625,00s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2006,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2016,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2017,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2020,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
