ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,192,-0,0.2165159241632223,0.2165159241632223,1,1.073293366484319,1,1.073293366484319,0.19599097330226908,0.6931471805599453,0.7291383412819018,0.19599097330226908,0.6931471805599453,0.7291383412819018,00s
2012,161,-0,0.2165159241631627,0.2165159241631627,1,1.073293366484319,1,1.073293366484319,0.19599097330222018,0.6931471805599453,0.7291383412819018,0.19599097330222018,0.6931471805599453,0.7291383412819018,10s
2014,112,-0,0.2165159241631627,0.2165159241631627,1,1.073293366484319,1,1.073293366484319,0.19599097330222018,0.6931471805599453,0.7291383412819018,0.19599097330222018,0.6931471805599453,0.7291383412819018,10s
2016,341.9999999999993,0,0.21651592416319249,0.43303184832638497,2,1.073293366484319,1,1.073293366484319,0.19599097330224463,1.0986122886681098,0.7291383412819018,0.39198194660448926,0.6931471805599453,0.7291383412819018,10s
2017,237.99999999999997,0,0.2165159241631627,0.6495477724894881,3,1.073293366484319,1,1.073293366484319,0.19599097330222018,1.3862943611198906,0.7291383412819018,0.5879729199066606,0.6931471805599453,0.7291383412819018,10s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2006,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2007,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2020,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
