ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,287.4246348601705,21.774110408633273,1.4542781409930587,5.817112563972235,4,3.434538772743641,4,2.1036549983054798,0.7527768197358442,1.6094379124341003,1.2473619673396532,3.011107278943377,1.393987275786579,0.9530260085987139,00s
2004,260.959525425147,21.194779882941038,1.508020028104186,9.048120168625116,6,4.436279248127203,2.1666666666666665,2.909817571352251,0.8347671028943168,1.9459101490553132,1.5296542168163145,5.0086026173659,1.1072982888579452,1.2814284871462054,00s
2005,295.03466193642623,2.9114820189071606,3.337406315863132,6.674812631726264,2,13.738155090974562,5.5,2.7458421959174415,1.270476168683446,1.0986122886681098,2.143249931949879,2.540952337366892,1.791759469228055,1.2197866291387518,00s
2006,274.9200193060457,28.483373675813137,0.6476865216232538,2.590746086493015,4,2.146586732964775,2.25,1.8603751685694718,0.4612014477546756,1.6094379124341003,1.0140144716861097,1.8448057910187023,1.0063379226837872,0.8772620591096524,00s
2007,221.00000000000003,0,0.2165159241633415,0.2165159241633415,1,1.0732933664823878,1,1.0732933664823878,0.19599097330236712,0.6931471805599453,0.7291383412809704,0.19599097330236712,0.6931471805599453,0.7291383412809704,00s
2008,330,-0,0.2165159241633415,0.2165159241633415,1,1.0732933664823878,1,1.0732933664823878,0.19599097330236712,0.6931471805599453,0.7291383412809704,0.19599097330236712,0.6931471805599453,0.7291383412809704,00s
2010,311.42912393411996,6.9547318634609985,2.045284461634159,4.090568923268318,2,6.010442852301371,3,1.9748597943275934,0.8899584011440352,1.0986122886681098,1.55908957887195,1.7799168022880705,1.2424533248940002,1.0143261863819504,00s
2013,301.2970009082218,18.07671231991747,1.562765759433329,6.251063037733316,4,3.7028621143642373,2.5,2.24318313594819,0.8283024817923879,1.6094379124341003,1.4058918905263618,3.3132099271695514,1.170532806781055,1.1348283350939616,10s
2014,271,-0,0.8632718203525542,0.8632718203525542,1,4.293173465929551,1,4.293173465929551,0.6223339856208239,0.6931471805599453,1.6664179650442124,0.6223339856208239,0.6931471805599453,1.6664179650442124,10s
2020,294,-0,0.8632718203535079,0.8632718203535079,1,1.7172693863718205,6,0.57242312879060675,0.6223339856213357,0.6931471805599453,0.9996274739915354,0.6223339856213357,1.9459101490553132,0.45261782368570624,10s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2016,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2017,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
