ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,241.1636856911873,65.99774378641003,1.52126269919726,17768.348326623996,11680,0.8503828315155239,1.8768835616438355,0.4927564538962782,0.5495187572248674,9.365718869155696,0.4427374787054967,6418.379084386452,0.9478206954072781,0.34855282746249244,00s
2004,236.46193293563834,47.052254013713984,1.4225764870552808,9182.731223941839,6455,0.8177314913029258,1.9093725793958172,0.47696072843122217,0.5453919532947127,8.772765209949785,0.43742365484385887,3520.5050585173703,0.9589821506996462,0.3418696921030787,00s
2005,261.3556556415608,52.900288523273446,1.3337775777450305,13989.993012967625,10489,0.7685267573937101,1.8950328916007246,0.4633962886307152,0.5362843747051549,9.258177701390343,0.4295808193233792,5625.08680628237,0.9523535898844206,0.3388091110680285,00s
2006,243.12235805587542,45.68628173736796,1.3717278114371367,6109.6756721410075,4454,0.8436943724131428,1.924113156713067,0.5133463348576754,0.5828054117521402,8.40178233990491,0.4704156267590926,2595.815303944032,0.9689977814395536,0.3664014366646523,00s
2007,235.80943132727575,53.526279514843914,1.416425464898381,14362.554214069583,10140,0.7672036468380322,1.7898422090729782,0.45453861690057157,0.5041451502692306,9.224341891611996,0.4079397881744528,5112.031823729998,0.9225833684599956,0.32766507039158466,00s
2008,246.12413741079183,52.50032856221412,1.3203916530975295,9072.411048433125,6871,0.7674414655112755,1.8745451899286858,0.46785153616102565,0.5350729822573481,8.835210463664092,0.4285337960602943,3676.486461090239,0.947440905720757,0.3396686892891931,00s
2009,249.47250660926358,47.462084916694195,1.3165640861529135,10191.522590909704,7741,0.7652119996920683,1.867071437798734,0.45860139073976547,0.5328799024080032,8.954415331137593,0.427929559020179,4125.023324540353,0.9464930420971474,0.3374481311823312,00s
2010,253.34770512200373,49.75862649472139,1.6104262013535944,13831.950643426022,8589,0.8665822374993674,1.919315403422983,0.4907708527197145,0.5557584069164002,9.0583540149783,0.4447095553887263,4773.408957004962,0.959146395268957,0.3478530590242792,00s
2011,256.14858940281755,49.070252475634355,0.9701560468836308,8045.504096805949,8293,0.6302832141286906,1.6412637163873145,0.43970289879296354,0.4763470295933138,9.023287640806327,0.3955189917682287,3950.3459164173514,0.888885488039184,0.32949030769278226,00s
2012,252.4061001575067,46.67895076860352,1.1332623358536582,9384.545403204143,8281,0.6937459332729902,1.763796642917522,0.4496041787246818,0.5088309475725078,9.021839764105513,0.4138016918677044,4213.6290768479375,0.9210208215848914,0.33436627053841794,10s
2013,245.63029279602014,53.09151212196342,1.3262529638441927,9907.10963991612,7470,0.7743804455145221,1.7603748326639892,0.4765833125248206,0.5189649258172088,8.918784137975802,0.4236467007720589,3876.667995854549,0.9197401866902896,0.34226508702259006,10s
2014,243.37923004658347,51.81944839631434,1.1912039235005953,6424.162759438711,5393,0.7264880595229576,1.677359540144632,0.46278661642930286,0.49180119566416997,8.593042503699674,0.4054710775038637,2652.2838482168686,0.8986475447546515,0.3341481825919566,10s
2015,239.1450987493761,65.30537202302874,1.1776602169298125,8867.781433481487,7530,0.6995079050928246,1.744090305444887,0.44914454528157316,0.5013555615223102,8.926783114101351,0.40824783253112973,3775.2073782629964,0.9149412546398963,0.3322025659767026,10s
2016,248.35745413849378,54.001430542032175,1.6289779546243257,10897.86251643674,6690,0.8550089188835934,1.7907324364723467,0.4892842580068292,0.5229552440615848,8.808518618782816,0.42655241233586655,3498.570582772002,0.9245695023566833,0.3416949321387879,10s
2017,254.99393179161086,42.97222347530914,1.2145550127302411,5842.00961123246,4810,0.723725510363613,1.7424116424116425,0.4619465555828052,0.511787556570456,8.478660241699453,0.41694513218880214,2461.6981471038935,0.9140441284489509,0.3385342099882537,10s
2018,248.91541984691852,42.09451917706584,1.1042620124130678,5129.2970476587,4645,0.6621838815210395,1.736060279870829,0.42764829734742327,0.48560277915184713,8.443761913330354,0.3953213896955251,2255.62490916033,0.9127970037659475,0.32069492063457844,10s
2019,234.23164502545092,62.11592827536404,1.1616724558523392,6033.726735697051,5194,0.6920820452489055,1.6932999614940316,0.44368064210666147,0.48626918705731004,8.555451903533328,0.4002947001305795,2525.6821575756685,0.8999349871356855,0.3263914658197342,10s
2020,247.05476687968647,39.525264322047306,1.6408917324746397,9866.68198737001,6013,0.7611047588027446,1.7023116580741726,0.45814625819697374,0.4794475047385301,8.701845363548474,0.39218695553785354,2882.9178459927816,0.9002493174790389,0.3227265388851712,10s
