ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,207.43982301643052,80.99382659531489,2.9045672887221112,2640.251665448399,909,3.81072278436222,2.3993399339933994,1.4718729300368907,0.5865202755578787,6.813444599510896,0.6064561359173511,533.1469304821118,1.0429945291203377,0.47047929468423727,00s
2004,170.29821222700335,68.75485966043304,2.746175014012573,1496.6653826368522,545,3.3207105955277103,3.2972477064220183,1.2485935175442193,0.7223039367013164,6.302618975744905,0.6612005121859056,393.65564550221745,1.2376709336040057,0.45628020897173693,00s
2005,169.45477479081018,76.75950921657076,2.172272535636673,1259.9180706692705,580,2.435635739593308,3.1534482758620688,1.0402035412296153,0.6680030654007973,6.364750756851911,0.6236642056474988,387.4417779324625,1.2047635557092855,0.4406268196094686,00s
2006,152.80117990719378,90.36788344752563,2.7351420127230393,741.2234854479436,271,3.1620569143894404,3.066420664206642,1.2146685468237997,0.7265692103085005,5.605802066295998,0.7415716921864213,196.90025599360365,1.229917398627779,0.5346736509890831,00s
2007,170.56407496891038,103.58099022320015,1.4390158740357042,782.8246354754231,544,1.3968597490248722,3.0698529411764706,0.6670256666940134,0.5860417797462469,6.300785794663244,0.5061407664070634,318.8067281819583,1.177610791333758,0.35331799914971146,00s
2008,164.31012225728537,81.69304462458622,1.3062664224263099,289.99114577864077,222,1.5538580539974747,2.72972972972973,0.755470240729156,0.5618230143589769,5.407171771460119,0.6132653659781592,124.72470918769287,1.1555116798500804,0.44549170953243444,00s
2009,202.69710382251859,91.64514715921656,1.1449071045414874,683.509541411268,597,1.1991401598722824,3.046901172529313,0.6162767948433816,0.5905098183232079,6.393590753950631,0.5743540485961651,352.5343615389551,1.1912697534468526,0.4072267396121609,00s
2010,202.5841002354053,49.689597848194566,3.546041417966125,1109.9109638233972,313,3.4969475244049164,3.1789137380191694,1.5429778790306097,0.7451992453402223,5.749392985908253,0.6944743370884744,233.2473637914896,1.2456974786971087,0.5013352248747094,00s
2011,137.9212339509489,72.08769672904528,1.3458536084926922,343.1926701656365,255,1.2719578641214806,3.462745098039216,0.5934868883670852,0.6166695021720642,5.545177444479562,0.552656441520088,157.25072305387636,1.266613781539407,0.38007041710375955,00s
2012,193.97751051203701,94.67081312168393,2.3137337448784083,782.042005768902,338,2.7632541050679698,2.937869822485207,1.3424220547446424,0.70342477295895,5.82600010738045,0.68962598609222,237.7575732601251,1.1934790482651365,0.49800972241752944,10s
2013,142.58014267781988,85.21855121706142,1.3836873024848035,827.4450068859126,598,1.3884611175765469,3.0785953177257523,0.7085645364404147,0.6129330921865699,6.395261598115449,0.6140292813811178,366.53398912756876,1.1960962960565316,0.43575069562053775,10s
2014,64.42189914309667,60.56994538599808,4.383566859348454,1906.8515838165777,435,3.222840908734011,3.1632183908045977,1.2305163595879798,0.8499822899089905,6.077642243349034,0.7976121524263176,369.74229611041085,1.2371839182975026,0.5520059545615242,10s
2015,207.449820276279,71.1559589423416,1.9800230543588488,679.1479076450852,343,2.6697781349351986,3.0466472303206995,1.3279407736885382,0.6046421742968837,5.840641657373398,0.6397275342952254,207.3922657838311,1.1826019887451313,0.46441171974535217,10s
2016,180.57535949213764,74.20063156122835,1.4909723764904783,694.793127444563,466,1.6836425984949042,2.9141630901287554,0.784937686396914,0.571241015606114,6.1463292576688975,0.543810473891801,266.19831327244907,1.1536968008380675,0.3858611349158111,10s
2017,139.40835665479227,86.42005592889632,2.1577002980994844,539.4250745248711,250,2.7974318303996952,3.156,1.2950095244499407,0.7090670593556276,5.5254529391317835,0.7337999703066495,177.2667648389069,1.2277810447261883,0.5171593522122919,10s
2018,107.23466706200637,89.05455403169344,0.9934637657208389,333.8038252822019,336,0.982574522410662,2.8333333333333335,0.5361907106037389,0.5218388002913819,5.820082930352362,0.5286693842896344,175.33783689790428,1.1306947821796438,0.3838179078884882,10s
2019,205.27329952129395,33.1672360502107,3.784348928144924,3190.206146426171,843,5.290585118719945,3.2158956109134045,1.5198998539496997,0.6081446322168147,6.7381524945959574,0.5082465776744913,512.6659249587748,1.2042160944034783,0.35615230987805696,10s
2020,91.54363681243365,90.96935334961894,1.6606423043502916,1609.1623929154325,969,1.7591377963336718,2.7688338493292055,0.7917642247785781,0.5912688584732441,6.877296071497429,0.5816479530435713,572.9395238605736,1.1138540262926926,0.41451493081942337,10s
