ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,200.35585162863103,27.774054696996163,23.305893201075456,1048.7651940483954,45,42.936504852035426,3.088888888888889,13.104010968343523,1.5353260224659133,3.828641396489095,2.0111616501658434,69.0896710109661,1.2268889060639723,1.5596412719614343,00s
2004,153.5627236342487,35.19908061198597,30.571985608673508,1070.0194963035729,35,49.61068595129162,2.657142857142857,15.518564006524796,1.451664867915982,3.58351893845611,1.8751681341364574,50.80827037705937,1.0943842217587476,1.5455297669281571,00s
2005,194.31746449263306,22.67027729555587,13.878954098475736,235.9422196740875,17,15.430170515782091,2.823529411764706,6.010382723821456,1.6340641956823485,2.8903717578961645,1.9728214670752344,27.779091326599925,1.1610443315311942,1.5901758243216122,00s
2007,216.47807742194797,24.47575018097822,65.38618186110575,1111.5650916387979,17,72.26421101622006,4.235294117647059,23.33546990725033,2.810579188946466,2.8903717578961645,3.1117894105563106,47.77984621208992,1.4923069060135277,2.4027482755734413,00s
2008,168,0,3.8291789761543273,3.8291789761543273,1,7.298394892080236,2,5.15180815911546,1.5746764689824657,0.6931471805599453,2.1160621096046155,1.5746764689824657,1.0986122886681098,1.8167460482183402,00s
2009,210.52328397691596,19.195111225049292,39.315745291319764,235.8944717479186,6,47.54689613516977,3.6666666666666665,13.135066437427314,2.097159818809825,1.9459101490553132,2.5402280181040826,12.582958912858949,1.3862943611198906,1.8152276350843464,00s
2010,169.78714638384838,28.92100146621679,46.06495925509849,1612.2735739284474,35,76.22222833510351,3.7142857142857144,26.615106549015287,2.560114500379881,3.58351893845611,3.1897774173170292,89.60400751329584,1.392036421633088,2.5434454189999514,00s
2012,222.86937630120374,25.527884252599158,10.971476739683057,153.6006743555628,14,12.940851447301931,3.5,5.112624433037532,1.7659788796166738,2.70805020110221,1.9532060587707094,24.723704314633434,1.3713397953784012,1.4835437319677351,10s
2013,197.4069435764516,15.06005025431494,12.483668822796673,174.77136351915343,14,17.602011210311158,2.642857142857143,7.75424035135949,1.5020848245976384,2.70805020110221,1.9808583937809403,21.029187544366938,1.1341319022672265,1.6058881440179555,10s
2014,190.97876894146495,37.22022276592746,4.018085406730652,12.054256220191954,3,4.865596594720157,4.333333333333333,1.5741636041741687,1.3934136522773988,1.3862943611198906,1.511462832725469,4.180240956832196,1.5283224928901906,0.9205291778882538,10s
2015,179.7026178199144,31.268872061847304,27.39013162003677,547.8026324007353,20,44.691935780326624,2.5,18.875294907414762,2.0393754005248814,3.044522437723423,2.462266822750097,40.78750801049763,1.1601744769415014,2.0743511203588865,10s
2016,172.22266208857346,27.184502465073706,49.05233357872044,686.7326701020861,14,53.11268887849987,4.714285714285714,18.14685970453885,2.8655198793566905,2.70805020110221,3.2295467283689576,40.11727831099367,1.6944488094460854,2.328520315984689,10s
2017,269.12718990404954,23.283198765648525,19.558776031595038,97.79388015797518,5,30.95378068935206,3.4,15.062905760461394,1.8506246379412883,1.791759469228055,2.1992218431400103,9.253123189706441,1.396943264023653,1.7213560420356322,10s
2018,92.97599977010341,12.281403333541514,0.836671142548263,6.693369140386104,8,1.7172693863718203,1,1.7172693863718203,0.490807028134519,2.1972245773362196,0.7987182016136786,3.926456225076152,0.6931471805599453,0.7987182016136786,10s
2019,187.31373223797476,27.935515723305535,52.11389481359792,416.9111585087834,8,77.49178106002837,3.25,26.829778701663304,2.630267121413273,2.1972245773362196,3.0984960584525774,21.042136971306185,1.3782270459776942,2.38918593294638,10s
2020,207.2364784278041,24.467986992711666,34.485529941760305,344.8552994176031,10,56.69135561759972,3.9,16.51134071313334,2.402043133428236,2.3978952727983707,2.8190015039063434,24.020431334282357,1.4271009501007128,2.0761507794464764,10s
2006,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
