ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,96.33333435969162,1.5533956776162423,0.2598183089957923,1.2990915449789613,5,0.25759040795623644,1,0.25759040795623644,0.22875069509007873,1.791759469228055,0.22700987805494688,1.1437534754503935,0.6931471805599453,0.22700987805494688,00s
2005,111.33333333333331,0,0.21651592416316767,0.649547772489503,3,0.2862115643958183,1,0.2862115643958183,0.19599097330222426,1.3862943611198906,0.2487077234266755,0.5879729199066728,0.6931471805599453,0.2487077234266755,00s
2011,105.99999999999996,0,0.21651592416317017,0.43303184832634034,2,0.2146586732968637,1,0.2146586732968637,0.19599097330222628,1.0986122886681098,0.19446310999735394,0.39198194660445257,0.6931471805599453,0.19446310999735394,00s
2019,111,-0,0.2165159241631776,0.2165159241631776,1,0.2146586732968637,1,0.2146586732968637,0.1959909733022324,0.6931471805599453,0.19446310999735394,0.1959909733022324,0.6931471805599453,0.19446310999735394,10s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2006,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2007,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2013,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2016,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2017,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2020,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
