ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,262.02586852800994,76.15208471310795,0.7554791709883213,1.5109583419766426,2,2.146586732964775,2.5,1.3952813764271041,0.5454805165713957,1.0986122886681098,1.1369227537765765,1.0909610331427915,1.1512925464970227,0.8643829076362529,00s
2004,198.8297638096034,34.372910797087386,2.4527578626077173,19.62206290086174,8,6.573921869704624,2.375,3.502514019287525,1.008191733070995,2.1972245773362196,1.6871375700686,8.06553386456796,1.155809927324007,1.3579178345935268,00s
2005,318.31838724067035,67.64208865488901,8.663867858047482,86.63867858047482,10,21.122413452373387,5.2,7.196687568304047,1.3577124529340268,2.3978952727983707,2.3072970701340565,13.577124529340267,1.6372923898539022,1.584590438713616,00s
2006,166.80181888730618,54.4112555908833,3.049032625457406,18.294195752744436,6,9.80274608053914,2.6666666666666665,3.935409010435422,1.0643934503563925,1.9459101490553132,1.919516526431415,6.386360702138355,1.1552453009332422,1.4326951684241782,00s
2007,265.82344689897747,53.061256057248926,1.7237597644068399,5.17127929322052,3,3.720750337138944,3.3333333333333335,2.003480950767124,0.9320511257462143,1.3862943611198906,1.4455954505372264,2.796153377238643,1.4391627045121034,1.0561908434878353,00s
2008,277.446979281442,61.31016858371171,2.1098828178017137,16.87906254241371,8,5.071311156629282,3.75,2.1952977395974376,0.8261810516228457,2.1972245773362196,1.3811862889876354,6.609448412982766,1.3027851682439118,1.0174454457116178,00s
2009,209.74111170453835,16.896609992522894,2.8525710500772,11.4102842003088,4,6.439760198894325,2.75,2.647456970656556,0.9333892702156295,1.6094379124341003,1.4846452512434611,3.733557080862518,1.2090704767378695,1.125329585529189,00s
2010,290.0946600176846,46.55275141506259,1.6510737797117552,24.766106695676328,15,5.037323533357339,3.7333333333333334,1.7223121615540233,0.6980136685312316,2.772588722239781,1.2406420234879638,10.470205027968474,1.4004176640995873,0.8254558896647107,00s
2011,186.52537648932602,5.721712129680297,2.691113732390165,5.38222746478033,2,6.869077545487281,4,2.261071358722896,1.0712775944374207,1.0986122886681098,1.6251282916377574,2.1425551888748413,1.5890269151739727,1.0259743749525878,00s
2012,262,0,11.179860894644737,11.179860894644737,1,23.183136716019572,3,14.883001348555773,2.499783841415608,0.6931471805599453,3.1856555603472816,2.499783841415608,1.3862943611198906,2.7652494397586223,10s
2013,241.80186512030193,55.37742913132036,3.3086049026552438,26.46883922124195,8,7.00323921629758,3.25,3.659930379704942,1.1893113078011985,2.1972245773362196,1.7299804098518106,9.514490462409588,1.3169512539072874,1.3497606464008944,10s
2014,161.77223458824426,62.89598407481374,5.645913679234922,22.583654716939687,4,13.952813764271038,2.75,6.9227422138114,1.536170821582948,1.6094379124341003,2.4425882430383683,6.144683286331792,1.2526588235240639,1.892749432903849,10s
2016,215.78854667916679,91.0028695541592,1.1861864557323456,2.372372911464691,2,3.4345387727436405,2.5,1.9319280596682984,0.7809521007341512,1.0986122886681098,1.470317999302915,1.5619042014683024,1.2424533248940002,1.0729728812493415,10s
2017,207,0,7.31507814988327,7.31507814988327,1,13.738155090974562,3,9.731193189440315,2.1180705112637748,0.6931471805599453,2.6904397154930324,2.1180705112637748,1.3862943611198906,2.373154751712798,10s
2018,133.62045472406928,114.99153416177921,3.831473857311636,11.494421571934907,3,76.99091082233662,3.3333333333333335,16.02784760613699,1.3707405930027807,1.3862943611198906,2.9393862735720244,4.112221779008342,1.3417838969117164,2.2732615247200374,10s
2020,183.66334022659586,0,0.4325645356097221,0.8651290712194442,2,1.7172693863718205,1,1.7172693863718205,0.3594661673298437,1.0986122886681098,0.9996274739915354,0.7189323346596874,0.6931471805599453,0.9996274739915354,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
