ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2004,218.99999999999997,0,0.4321012228938341,0.8642024457876682,2,1.2879520397788653,2,0.8586346931859101,0.3476815846175736,1.0986122886681098,0.8097348281294084,0.6953631692351472,1.0397207708399179,0.6198421822672815,00s
2005,248.6227792980267,2.875408465110196,0.4323328792517185,1.729331517006874,4,1.5026107130753428,1.25,1.5026107130753428,0.3435263786169602,1.6094379124341003,0.8372375400071841,1.374105514467841,0.7945134575869864,0.8372375400071841,00s
2006,204.50000000000003,0,0.2165159241633415,0.433031848326683,2,0.965964029834149,1,0.965964029834149,0.19599097330236712,1.0986122886681098,0.674490261774126,0.39198194660473423,0.6931471805599453,0.674490261774126,00s
2010,255.3795076316917,22.58799666399523,0.709596929634107,9.934357014877499,14,2.0852556834514964,2.357142857142857,1.3267950378039421,0.4741021824802255,2.70805020110221,1.0343450755356745,6.637430554723157,1.067557681635634,0.7939097004027635,00s
2013,269.66762318926004,0,0.3243085735282898,0.6486171470565796,2,1.2879520397788653,1,1.2879520397788653,0.2775668628603081,1.0986122886681098,0.8097348281294084,0.5551337257206161,0.6931471805599453,0.8097348281294084,10s
2003,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2007,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2008,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2011,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2014,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2016,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2017,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2019,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2020,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
