ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,80.10133647592143,88.90914344148116,2.1863140874148326,34567.812036115916,15811,0.9912774885882636,3.753779014610082,0.40811380372362926,0.6910656891332742,9.668524424416576,0.49198995349164515,10926.439610886197,1.2668483540391133,0.30461263592915583,00s
2004,103.22647718380142,121.7107710342782,2.571716948110676,25411.13516428159,9881,1.1831101455041175,4.003339742940998,0.4570694052349278,0.7651696526724235,9.198470199405696,0.5437664232817635,7560.641338056216,1.3260588960455781,0.3277219570147562,00s
2005,110.10648915968511,113.68716376796097,2.3025952793920372,30099.525492212706,13072,1.0461982922061357,3.919905140758874,0.41602852204075064,0.7170549605952593,9.47830431356186,0.5077122689172797,9373.34244490123,1.3008218019074658,0.30781661084927403,00s
2006,117.94903257556923,117.89651049012093,2.1125634447415242,26907.720595672796,12737,0.9735226711918855,3.900447515113449,0.38803155735449185,0.6921027122711345,9.45234493093131,0.4884482472184914,8815.31224619744,1.2951732594495697,0.2946549305642929,00s
2007,84.2272668980432,99.80910911108332,2.388125946488498,29347.679756397152,12289,1.054253741297821,3.8711856131499713,0.42318075992549864,0.7165115647274991,9.416541202560081,0.5079044085413102,8805.210618936235,1.296729402237904,0.3095299077300969,00s
2008,97.84403402840708,104.20734355929629,2.265061468824593,26338.134759492372,11628,1.0526360689747563,3.8881148950808395,0.41402051904942344,0.7046038772863508,9.361257257293044,0.5006644006037683,8193.133885085686,1.2919227440892187,0.3039379607436372,00s
2009,154.68090588007476,131.44423287527738,2.2737113311956447,28173.557104845233,12391,0.981061684081417,3.979259139698168,0.39422896250661466,0.706273541034905,9.424806382096705,0.4963263587754919,8751.435446963507,1.3010252623926641,0.2987836375174283,00s
2010,69.53471586599484,89.36869086593552,2.203836596677599,25546.873828686726,11592,0.9975739638677157,3.693064182194617,0.4057486535567909,0.6761685640704814,9.358156746670401,0.4849773189830475,7838.145994705021,1.2542734802353612,0.3014741817725743,00s
2011,90.48006423449294,114.55549453301909,2.4471054485267487,16072.588585923686,6568,1.0819215470168397,3.918848964677223,0.4281209465776009,0.7291213743132783,8.790116892892472,0.5153582981318786,4788.869186489611,1.307927530770295,0.31420909126955665,00s
2012,130.79128538925193,137.3233957515209,2.168409057739596,18177.77313103103,8383,0.9970374283842252,3.8649648097339853,0.39894589981372225,0.6912111709186878,9.034080406560824,0.4867257920754455,5794.423245811359,1.2941068154047577,0.2968915757230047,10s
2013,101.83209651806806,110.16177227304122,2.2680018461500735,26673.969712571015,11761,1.0081164153437343,3.8099651390187907,0.39934385085817936,0.6900246971474587,9.372629275019902,0.4901086054096653,8115.380463151262,1.278687744013781,0.2990078329225383,10s
2014,106.2923517586493,112.60490233427433,2.2894290785537676,28544.601751408376,12468,1.0171839169898307,3.9002245749117743,0.4040179106503878,0.7059480566804096,9.431000842996585,0.49492901909168907,8801.760370691347,1.2975411193081106,0.30112080057172375,10s
2015,116.30081048693029,115.71323291784033,2.175019428761879,24240.591533551145,11145,0.9809198360086426,3.7683266038582324,0.3985799265897304,0.684949713867058,9.318835968129482,0.4853563829100174,7633.764561048361,1.2711338383526642,0.2992318632960219,10s
2016,73.75103586634725,92.72366127691292,2.6413400999418237,26246.9965731219,9937,1.172943206465951,3.867666297675355,0.44661939941455275,0.7286547583910389,9.204121072162266,0.5205538873621837,7240.642334131753,1.2874802003629824,0.3182499077538639,10s
2017,138.94384282193866,133.0764572969933,2.031204112581728,22660.11307996176,11156,0.9171674723332659,3.771064897812836,0.38293530433623424,0.6759813989179696,9.31982238259318,0.47445739378057356,7541.248486328869,1.2710561612445552,0.29295672363623365,10s
2018,125.25421266017354,126.33576923590032,2.2241858041944047,32312.971363336314,14528,1.00101155000618,3.845195484581498,0.3997645864869653,0.6941610698285847,9.583901931071338,0.4895603731424703,10084.772022469679,1.2850671001774188,0.2990140484150926,10s
2019,104.53885921435067,108.87746001435865,2.1193081186468063,35877.76714057178,16929,0.9465573844634694,3.8022919250989426,0.38636703093174435,0.6742574901434586,9.736842475127181,0.4745169709695972,11414.505050638609,1.2683338950025562,0.2926342657055299,10s
2020,88.19984262017394,86.73782955213946,2.5174796923206744,46276.31170423863,18382,1.13092259903152,3.9784571863779785,0.42512801099990793,0.7253664527565926,9.819181603482871,0.5120353854846919,13333.686134571684,1.3027563934751647,0.30996131890554,10s
