ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2007,25,-0,0.21651592416286466,0.21651592416286466,1,0.4293173465929553,1,0.4293173465929553,0.19599097330197524,0.6931471805599453,0.35719695028477844,0.19599097330197524,0.6931471805599453,0.35719695028477844,00s
2008,33,-0,0.21651592416286466,0.21651592416286466,1,0.4293173465929553,1,0.4293173465929553,0.19599097330197524,0.6931471805599453,0.35719695028477844,0.19599097330197524,0.6931471805599453,0.35719695028477844,00s
2011,187,-0,0.6476865216225386,0.6476865216225386,1,0.6439760198894331,1,0.6439760198894331,0.49937219593159227,0.6931471805599453,0.4971177100856543,0.49937219593159227,0.6931471805599453,0.4971177100856543,00s
2013,351.6647536214789,0,0.32430857352805137,0.6486171470561027,2,0.2146586732964776,2,0.17888222774706464,0.27756686286014165,1.0986122886681098,0.19446310999703625,0.5551337257202833,1.0397207708399179,0.16410601919094245,10s
2014,52,-0,0.4321012228927612,0.4321012228927612,1,0.4293173465929553,3,0.2862115643953035,0.35914275241791616,0.6931471805599453,0.35719695028477844,0.35914275241791616,1.3862943611198906,0.25170112581123605,10s
2016,137,0,4.39553200735718,8.79106401471436,2,3.0052214261506878,4.5,1.252175594229453,1.6683316591929787,1.0986122886681098,1.3818208233942553,3.3366633183859573,1.666102255087602,0.8087324107979913,10s
2017,164,-0,0.26874313692450524,0.26874313692450524,1,0.2146586732964776,3,0.1431057821976517,0.238026754472743,0.6931471805599453,0.19446310999703625,0.238026754472743,1.3862943611198906,0.13374892838484864,10s
2019,238,-0,0.21651592416286466,0.21651592416286466,1,0.4293173465929553,1,0.4293173465929553,0.19599097330197524,0.6931471805599453,0.35719695028477844,0.19599097330197524,0.6931471805599453,0.35719695028477844,10s
2003,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2004,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2005,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2006,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2009,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2010,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,00s
2012,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2015,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2018,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
2020,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,10s
