ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,220.23447231456774,44.00497056299778,3.447752278478262,5299.195252021089,1537,1.8917057448281003,2.545217957059206,0.8729664364261888,0.8974394470184366,7.338238150065589,0.7340335109271681,1379.364430067337,1.1310132440697096,0.5161590693751177,00s
2004,228.0264039146268,32.39435961990134,2.9726460441127385,6394.1616408865,2151,1.7396234276635048,2.513714551371455,0.8159637308066213,0.8616316031917359,7.674152921281675,0.7033496885070288,1853.369578465424,1.1237838709013621,0.4965003502229948,00s
2005,211.46871252810834,46.84521323778757,3.382728541202723,6697.802511581392,1980,1.6093979823667732,2.6424242424242426,0.7798239805955358,0.8823740091947441,7.591357046698551,0.6977010754859381,1747.1005382055932,1.1556109641029606,0.4916827942716431,00s
2006,240.33347074927718,32.47580931671644,3.1879751375294703,6465.213578909766,2028,1.6049652185377175,2.4585798816568047,0.7368395329486257,0.8054652078422715,7.615298339825815,0.6493389843620161,1633.4834415041266,1.113600392467553,0.4618301300196201,00s
2007,211.40813580186332,39.09587725067707,3.316568584295981,7342.882845631302,2214,1.6191507877376592,2.5709123757904244,0.7767263554380134,0.8641736269050013,7.703007682479236,0.691081132876636,1913.2804099676728,1.1360064110303243,0.4850296158798589,00s
2008,230.90877506301058,35.43125866136155,3.4836630295167614,8001.9739788000015,2297,1.673066707891528,2.454941227688289,0.7737181084104516,0.8259175289700235,7.739794458408701,0.6673816036806125,1897.132564044144,1.1044126537324026,0.478130013818433,00s
2009,223.56732945993008,33.89613552638392,3.2648984315253746,7143.59776817752,2188,1.5943409962253468,2.3747714808043874,0.7649842162144153,0.8013119025243141,7.691200097522863,0.6513436788838954,1753.2704427231993,1.088187864947119,0.47124220181973564,00s
2010,235.46560832412945,31.60243497360153,3.1454929306950827,7303.8345850739825,2322,1.5634399150689193,2.463393626184324,0.7368515660817255,0.8178913627362923,7.750614732770409,0.6573684944564914,1899.1437442736706,1.1035583887055933,0.46532016826673156,00s
2011,208.2842769228146,38.15793456564221,3.611169618858273,7800.126376733869,2160,1.7981639049196607,2.638425925925926,0.8147785443217594,0.8851662011628074,7.6783263565068856,0.7072511457678452,1911.958994511664,1.1465869405920928,0.49300249625384734,00s
2012,194.1197199880534,46.55272141773808,2.875168792893294,8294.861967497152,2885,1.7003794318351488,2.455112651646447,0.7897533604074156,0.8226234853221721,7.9676267393338165,0.6701052021703686,2373.268755154467,1.1076094701243324,0.47211826367502746,10s
2013,195.43012691673087,47.807279501488594,2.8712746080812113,7327.4927998232515,2552,1.6246599822576278,2.477664576802508,0.7577271037004413,0.8291696636989551,7.845024417241484,0.6763350481869842,2116.0409817597333,1.1187220592462253,0.472769309869448,10s
2014,216.53922145784975,35.72441574546433,3.216149688555891,7416.441181809885,2306,1.6670954813818815,2.485255854293148,0.7694326259137518,0.8393550477297411,7.7437032581737535,0.6703660120631241,1935.552740064783,1.1184232572277562,0.4733000859652634,10s
2015,208.62739853756145,43.3173212316041,2.819129846909448,7270.535875179467,2579,1.5235022706547994,2.456378441256301,0.7332683720041335,0.8104123352657527,7.855544677915663,0.6517312986488317,2090.0534126503762,1.1071365078274273,0.4638307590479433,10s
2016,218.38991830513908,39.3865025208378,3.1689540377019503,6778.392686644472,2139,1.683550211884857,2.4885460495558673,0.7706462462483269,0.8377284108236318,7.668561108015897,0.6838107815646786,1791.9010707517484,1.1153327837422478,0.4799995048164193,10s
2017,241.33099723296272,29.407863542451757,2.929956808286711,6425.395280572757,2193,1.5709334462996671,2.5193798449612403,0.7673474259053695,0.8398964954549918,7.693481640835175,0.6744455845014502,1841.893014532797,1.12419940565675,0.47883764545735524,10s
2018,246.14003887858502,33.38109678936164,2.71045248487639,5290.8032504787125,1952,1.420024307519168,2.463627049180328,0.7178054320943464,0.8114006696503175,7.577121930876679,0.649164107582699,1583.8541071574198,1.11199807078595,0.46327991614103703,10s
2019,218.9914072655908,44.75962288112021,2.9305756997463015,5345.370076337254,1824,1.4980209717055177,2.6052631578947367,0.7323182947632043,0.8505294715084603,7.509335266016592,0.6701996583551163,1551.3657560314316,1.1403551253219206,0.4698788108608551,10s
2020,227.2531597077268,35.75947632750842,3.0726336491414394,5112.862392171355,1664,1.7243644747319815,2.4314903846153846,0.8205766123608915,0.845160736057759,7.417580402414544,0.6901698461051835,1406.3474648001109,1.10160255252631,0.49237545424645957,10s
