ig_year,peak_season,season_length,size,total_ba,n_fires,mx_grw,dur,fsr,log_size,log_n_fires,log_mx_grw_km2,log_tba,log_dur,log_fsr_km2_dy,decade
2003,226.15519069611562,35.34070220233047,2.6279142626243654,196378.7770173936,74728,1.2109193125308246,2.397990043892517,0.5998893321515428,0.7178618479959455,11.221623515328044,0.561646250983621,53644.380177041014,1.0850630921189424,0.40311998570367197,00s
2004,225.82654333440337,33.567998646607776,2.5136224697120992,199827.95909717245,79498,1.148344786949263,2.388701602556039,0.5794708068496541,0.7009072516256999,11.28349972194696,0.5471231803093292,55720.72468973989,1.0798898599748836,0.39287019661744627,00s
2005,204.8110729649449,48.23498018846004,2.5494453554663217,213276.40065689062,83656,1.1737202474649544,2.3982141149469256,0.580788022960671,0.7036636315708908,11.334480384922195,0.5496523981264096,58865.684762694436,1.0830347020115492,0.3938110062835139,00s
2006,228.50719976854054,32.509400373588434,2.4584400719926878,173841.21437074692,70712,1.1385725285845416,2.353094241430026,0.5738371035845046,0.6894170603831077,11.166384710512041,0.5404662130577073,48750.0591738103,1.0748432857116084,0.3901231206362664,00s
2007,218.36522041599335,38.271203250049155,2.4713166864493714,186129.68755662086,75316,1.1447826051872525,2.370611822189176,0.5749105281140113,0.6939284798297995,11.229461151919434,0.5423552843342173,52263.91738686118,1.077755476026169,0.39027123060445357,00s
2008,222.05616622243522,36.267454124781146,2.605780809114495,193593.8794323523,74294,1.1427640254957745,2.3979998384795542,0.5681281135791062,0.6932302763797767,11.215798933690447,0.5399351496563606,51502.85015335913,1.085159966030758,0.386340367994525,00s
2009,223.96567142776786,35.84462089350338,2.3656556238620117,160836.19455513044,67988,1.106366108771919,2.326057539565806,0.5613811407712129,0.6727668328218902,11.12710120636704,0.5274121403731226,45740.07142989466,1.067927659822119,0.38298275399615056,00s
2010,224.5108593936793,32.90679636398426,2.4436062445379227,189245.08560823946,77445,1.088169383004852,2.353179675899025,0.5550952663869284,0.6766384820027177,11.257336198287932,0.5277168477898283,52402.26723870047,1.0717043154617556,0.38164251307128716,00s
2011,216.90935890270325,35.22060690839729,2.4825950404668613,182867.95068078898,73660,1.175135297729904,2.3947732826500134,0.5751789680389323,0.6981459324346515,11.207228765796126,0.546515021646911,51425.42938313643,1.082765094903268,0.39098483986327626,00s
2012,214.25931808337063,37.2043646650537,2.335892820082835,192152.87927283408,82261,1.1073392899515797,2.394281615832533,0.5543715564085553,0.6887265968656568,11.31766455464227,0.5374537542204486,56655.3385847658,1.0832175405257818,0.3838112932317852,10s
2013,213.4823103712163,42.82869559495032,2.1084757775937817,171362.1518723794,81273,1.0846030073108988,2.387053511006115,0.5501470349605707,0.6848194014418963,11.305581441189922,0.533987620461349,55657.32721338723,1.081233456850613,0.38207747807847126,10s
2014,219.82385305141568,36.71615475694574,2.4044692805410737,185795.7457766893,77271,1.1209249179356038,2.387299245512547,0.5588914062739593,0.6879749943452771,11.255086943859132,0.5363024782511254,53160.5157880539,1.0799165279748628,0.38365672371889153,10s
2015,221.6820205451433,34.186842024945875,2.4606704045158105,195214.82587185732,79334,1.1528129135808605,2.4551012176368268,0.5681255720779873,0.7082285712310434,11.28143467216819,0.5499536750370434,56186.6054700436,1.0963327603891853,0.390267753152884,10s
2016,223.57858434573765,36.0575480509735,2.307033170301652,192159.7138539355,83293,1.1104584671224003,2.3952312919453016,0.5549659903146441,0.6872924769737417,11.33013179674921,0.5339952933708937,57246.652284573865,1.0818185737800365,0.38252919719543294,10s
2017,231.67959418487723,29.536883375017993,2.4487321950698675,168911.09808372438,68979,1.1289193364902825,2.4150683541367663,0.5622890393962725,0.6910566899575284,11.141571886490832,0.5369010019499234,47668.39941658035,1.0848507964492538,0.384173412630791,10s
2018,229.1200915641915,30.298830489744738,2.382887254610303,170774.3808761566,71667,1.0987437794618653,2.395509788326566,0.5502596714253247,0.6815797300736006,11.179799622919788,0.5279938411238138,48846.774515184734,1.079989762509881,0.3786977456140016,10s
2019,211.73624476014362,39.05411820385033,2.4109536905803215,182183.715628702,75565,1.1286589132639453,2.4290081386885465,0.5560695483076918,0.6934126670709602,11.23276172555657,0.5366997258598014,52397.7281872171,1.089834604580738,0.38275857585610024,10s
2020,224.19679305393055,33.432220924180235,2.3175563802409545,168032.10779299017,72504,1.1247671568102677,2.2464277832947146,0.560883343628093,0.6564284021055026,11.191410803981995,0.5182266595743158,47593.684866257354,1.0438652916995628,0.38033351425503464,10s
